code,title,credits,description
ACCT 2301,Principles of Financial Accounting (52.0301.51 04),3,"This course is an introduction to the fundamental concepts of financial account-
ing as prescribed by U.S. generally accepted accounting principles (GAAP) as 
applied to transactions and events that affect business organizations. Students 
will examine the procedures and systems to accumulate, analyze, measure, and 
record financial transactions. Students will use recorded financial information 
to prepare a balance sheet, income statement, statement of cash flows, and 
statement of shareholders’ equity to communicate the business entity’s results 
of operations and financial position to users of financial information who are 
external to the company. Students will study the nature of assets, liabilities, 
and owners’ equity while learning to use reported financial information for 
purposes of making decisions about the company. Students will be exposed to 
International Financial Reporting Standards (IFRS). Recommended co-requi-
site: MATH 1324 Mathematics for Business & Social Sciences. Fee charged."
ACCT 2302,Principles of Managerial Accounting (52.0301.51 04),3,"This course is an introduction to the fundamental concepts of managerial ac-
counting appropriate for all organizations. Students will study information 
from the entity’s accounting system relevant to decisions made by internal 
managers, as distinguished from information relevant to users who are external 
to the company. The emphasis is on the identification and assignment of prod-
uct costs, operational budgeting and planning, cost control, and management 
decision making. Topics include product costing methodologies, cost behavior, 
operational and capital budgeting, and performance evaluation. Fee charged. 
Prerequisite: ACCT 2301."
ACNT 1303,Introduction to Accounting I,3,"A study of analyzing, classifying, and recording business transactions in a man-
ual and computerized environment. Emphasis on understanding the complete 
accounting cycle and preparing financial statements, bank reconciliations, and 
payroll. Fee Charged."
ACNT 1311,Introduction to Computerized Accounting,3,"Introduction to utilizing the computer in maintaining accounting records with 
primary emphasis on a general ledger package. The student will utilize an ap-
plication software to perform accounting tasks; maintain records; prepare re-
ports; analyze reports for a business entity; complete a comprehensive project; 
and explain the components of general ledger software."
ACNT 1331,Federal Income Tax: Individual,3,A study of the federal tax law for preparation of individual income tax returns.
AGRI 1131,The Agricultural Industry (01.0103.52 01),1,"Overview of agriculture and the American agricultural system, including an 
examination of career opportunities and requirements."
AGRI 1309,Computers in Agriculture (01.0101.51 01),3,"Use of computers in agricultural applications. Introduction to programming 
languages, word processing, electronic spreadsheets and agricultural software."
AGRI 1311,Dairy Science (01.0905.51 01),3,"Survey of the dairy industry including dairy breeds, standards for selection 
and culling, herd replacements, feeding, management, physiology, and health 
maintenance. Food value for milk, tests for composition and quality, and use 
and processing of market milk and dairy products. Fee charged."
AGRI 1325,Marketing of Agricultural Products (01.0102.51 01),3,"Essential marketing functions in the movement of agricultural commodities 
and products from producer to consumer."
AGRI 1329,Principles of Food Science (01.1001.51 01),3,"Biological and scientific aspects of modern industrial food supply systems. 
Food classification, modern processing, and quality control."
AGRI 1407,Agronomy (01.1102.51 01),4,"Principles and practices in development, production and management of field 
crops; plant breeding; plant diseases; soils; and insect and weed control. Labo-
ratory activities will reinforce the fundamental principles and practices in the 
development, production, and management of field crops including growth 
and development, climate, plant requirements, pest management, and produc-
tion methods."
AGRI 1415,Horticulture (01.0601.51 01),4,"Structure, growth, and development of horticultural plants. Examination of 
environmental effects, basic principles of reproduction, production methods 
ranging from outdoor to controlled climates, nutrition, and pest management. 
Laboratory activities will reinforce the structure, growth, and development of 
horticultural plants. Examination of environmental effects, basic principles of 
reproduction, production methods ranging from outdoor to controlled cli-
mates, nutrition, and pest management. Fee charged."
