code,title,credit,description
ACCT 2301,Principles of Accounting I,3,"This course is an introduction to the fundamental 
concepts of financial accounting as prescribed by U.S. generally accepted accounting principles (GAAP) 
as applied to transactions and events that affect business organizations. Students will examine the 
procedures and systems to accumulate, analyze, measure, and record financial transactions. Students will 
use recorded financial information to prepare a balance sheet, income statement, statement of cash flows, 
and statement of shareholders’ equity to communicate the business entity’s results of operations and 
financial position to users of financial information who are external to the company. Students will study 
the nature of assets, liabilities and owner’s equity while learning to use reported financial information for 
purposes of making decisions about the company. Students will be exposed to International Financial 
Reporting Standards (IFRS). 48 lecture hours."
ACCT 2302,Principles of Accounting II,3,A continuation of
ACNT 1303,Introduction to Accounting I,3,"A study of analyzing, classifying, and 
recording business transactions in both a manual and a computerized environment. Emphasis is on 
understanding the complete accounting cycle and preparing financial statements, bank reconciliations, and 
payroll. Does not meet requirements for Associate of Science or B.B.A. degree. 48 lecture hours."
ACNT 1311,Introduction to Computerized Accounting,3,"Introduction to utilizing the 
computer in maintaining accounting records, with primary emphasis on a general ledger package. 
Prerequisite:"
ARCE 1452,Structural Drafting,4,"A study of structural systems including concrete 
foundations and frames, wood framing and trusses, and structural steel framing systems. Includes detailing 
of concrete, wood, and steel designed to meet industry standards including the American Institute of Steel 
Construction and the American Concrete Institute, with emphasis on framed and seated connectors, beam 
and column detailing, including units on concrete detailing conforming to the American Concrete Institute. 
32 lecture and 64 lab hours. Lab fee. Prerequisite:"
ARCE 2452,Mechanical and Electrical Systems,4,"The properties of building materials 
(assemblies), specifications, codes, vendor references and uses of mechanical, plumbing, conveying, and 
electrical systems as they relate to architecture for residential and commercial construction. 32 lecture and 
64 lab hours. Lab fee. Prerequisite:"
ARTC 1327,Typography,3,"A study of letterforms and typographic concepts as elements 
of graphic communication. Emphasis on developing a current, practical typographic knowledge based on 
industry standards. 32 lecture hours and 64 lab hours. Lab fee."
ARTC 1402,Digital Imaging I,4,"Digital imaging using raster image editing and/or image 
creation software: scanning, resolution, file formats, output devices, color systems, and image-acquisitions. 
32 lecture hours and 64 lab hours. Prerequisite:"
ARTC 1413,Digital Publishing I,4,"The fundamentals of using digital layout as a primary 
publishing tool and the basic concepts and terminology associated with typography and page layout.  
Prerequisite:"
ARTC 2388,Internship – Commercial & Advertising Art,3,"A work-based learning 
experience that enables the student to apply specialized occupational theory, skills and concepts. A learning 
plan is developed by the college and the employer. 144 contact hours."
ARTC 2405,Digital Imaging II,4,"Principals of digital image processing and digital 
painting.  Emphasis on raster-based imaging and the creative aspects of electronic illustration for 
commercial or fine art applications.  Prerequisite:"
ARTC 2413,Digital Publishing II,4,"Includes layout procedures from thumbnails and 
roughs to final comprehensive and print output. Emphasis on design principles for the creation of 
advertising and publishing materials, and techniques for efficient planning and documenting projects. 
Prerequisite:"
ARTS 1301,Art Appreciation,3,"A general introduction to the visual arts designed to create 
an appreciation of the vocabulary, media, techniques, and purposes of the creative process. Students will 
critically interpret and evaluate works of art within formal, cultural, and historical contexts. 48 lecture 
hours."
ARTS 1303,Art History I (Prehistoric to the 14th Century),3,"A chronological analysis 
of the historical and cultural contexts of the visual arts from prehistoric times to the 14th century. 48 lecture 
hours."
ARTS 1304,Art History II (14th Century to the Present),3,"A chronological analysis of 
the historical and cultural contexts of the visual arts from the 14th century to the present day. 48 lecture 
hours."
ARTS 1311,Design I (2-Dimensional),3,"An introduction to the fundamental terminology, 
concepts, theory, and application of two-dimensional design. 32 lecture hours and 64 lab hours. Lab fee."
ARTS 1316,Drawing I,3,"A foundation studio course exploring drawing with emphasis on 
descriptive, expressive, and conceptual approaches. Students will learn to see and interpret a variety of 
subjects while using diverse materials and techniques. Course work will facilitate a dialogue in which 
students will engage in critical analysis and begin to develop their understanding of drawing as a discipline. 
32 lecture and 64 lab hours. Lab fee."
ARTS 2316,Painting I,3,"Exploration of ideas using painting media and techniques.  32 
lecture and 64 lab hours each week.  Prerequisite:"
ARTS 2323,Life Drawing,3,"Basic study of the human form.  32 lecture and 64 lab hours. 
Prerequisite:"
ARTS 2348,Digital Arts I,3,"Studio course that explores the potential of the computer 
hardware and software medium for their visual, conceptual, and practical uses in the visual arts. 32 lecture 
and 64 lab hours. Prerequisites:"
ARTS 2356,Photography I (Graphic Arts emphasis),3,"Introduction to the basics of 
photography, which includes camera operation, techniques, knowledge of chemistry, and presentation 
skills. In addition, emphasis on design, history, and contemporary trends as a means of developing an 
understanding of photographic aesthetics will be discussed. Cross-listed with journalism emphasis as"
ARTS 2366,Watercolor Painting,3,"Exploration of ideas using water-based painting media 
and techniques. Conceptual development through transparent paint; work in transparent and non-
transparent aqua-based media on paper surfaces. 32 lecture and 64 lab hours. Lab fee."
ARTV 1351,Digital Video,4,"Producing and editing video and sound for multimedia or 
Web productions. Emphasizes capture, editing, and outputting of video using a desktop digital video 
workstation. 32 lecture and 64 lab hours. Prerequisite:"
AUMT 1407,Automotive Electrical Systems,4,"An overview of automotive electrical 
systems including topics in operational theory, testing, diagnosis, and repair of charging and starting 
systems, and electrical accessories. Emphasis on electrical principles schematic diagrams, and service 
manuals. May be taught manufacturer specific. Utilizing appropriate safety measures, the student will 
define basic electrical principles; interpret wiring schematics and symbols; explain operation of batteries, 
starting/charging systems, and automotive circuits; use test equipment; and perform basic electrical repairs. 
Concurrent enrollment in"
AUMT 1410,Automotive Brake Systems,4,"Operation and repair of drum/disc type brake 
systems. Topics include brake theory, diagnosis, and repair of power, manual, and anti-lock brake systems, 
and parking brakes. May be taught manufacturer specific. Utilizing appropriate safety measures, the student 
will explain operation of modern brake systems; and diagnose and repair hydraulic systems, drum/disc 
brake systems, and anti-lock brake systems. Concurrent enrollment in"
