code,title,credit,description
AH101,Career and Life Development,3,Career and Life Development teaches the foundational skills required for success as a student and professional. The three primary areas of focus are:
ACC1223,Financial Accounting,3,"This course will prepare students to measure and record financial data. Students will also learn to create journal entries, post, and adjust entries in an"
ACC1303,Accounting Software: QuickBooks I,3,"This course will prepare students to perform common bookkeeping tasks using QuickBooks. Procedures covered include setting up, interpreting, and"
ACC2413,Managerial Accounting,3,This course continues to explore the accounting cycle. Students will be introduced to the accounting reports needed to support management decisions.
ACC1223,ACC2613   Accounts Receivable and Accounts Payable Management,3,"This course covers topics on Accounts Receivable, including sales on account, credit card sales, sales returns, trade and cash discounts, posting to"
ACC1403,Software Applications:  Excel I,3,This course is designed to introduce students to Excel for performing a wide range of accounting tasks in a business environment. The student will
ACC2513,Business Tax Fundamentals,3,"This course will provide the student with the fundamentals of small business tax practices. Students will learn the procedures for income tax, estimated"
ACC2343,Payroll Administration,3,This course focuses on the management of payroll procedures under the Fair Labor Standards Act and the Internal Revenue Code. Basic concepts
ACC2803,Software Certification Review,3,This course builds on Excel I and QuickBooks I. Students continue to work through the topics required for certification including advanced Excel topics
ACC2903,Bookkeeping Certification Review,3,This course will provide the student with an extensive review in preparation for the Bookkeeping certification exam.
AH101,Career and Life Development,3,Career and Life Development teaches the foundational skills required for success as a student and professional. The three primary areas of focus are:
ACC1203,Financial Accounting,3,"This course will prepare students to measure and record financial data. Students will also learn to create journal entries, post, and adjust entries in an"
ACC1303,Accounting Software: QuickBooks I,3,"This course will prepare students to perform common bookkeeping tasks using QuickBooks. Procedures covered include setting up, interpreting, and"
ACC2203,Managerial Accounting,3,This course continues to explore the accounting cycle. It is a more in-depth study of accrual and cash basis accounting; procedures for handling cash;
ACC2283,Accounts Receivable and Accounts Payable Management,3,"This course covers topics on Accounts Receivable, including sales on account, credit card sales, sales returns, trade and cash discounts, posting to"
ACC1403,Software Applications:  Excel I,3,This course is designed to introduce students to Excel for performing a wide range of accounting tasks in a business environment. The student will
ACC2403,Software Applications:   Excel II,3,This course builds on Excel I. Students continue to work through the topics required for certification including financial tools and functions; performing
ACC2503,Business Tax Fundamentals,3,"This course will provide the student with the fundamentals of small business tax practices. Students will learn the procedures for income tax,"
ACC2343,Payroll Administration,3,This course focuses on the management of payroll procedures under the Fair Labor Standards Act and the Internal Revenue Code. Basic concepts
ACC2303,Accounting Software: QuickBooks II,3,This course builds on QuickBooks I. Students continue to work through the topics required for QuickBooks certification including working with settings
BUS2213,Principles of Business,3,Principles of Business will teach students the basis for business operations and professionalism with an emphasis on entrepreneurship and the risks
MGT2123,Leadership Development,3,27
MKT2423,Introduction to Marketing,3,"Introduction to Marketing will provide the student with the knowledge to build customer relationships through effective marketing, to create and price"
MGT1373,Human Resources,3,"The study of Human Resources will familiarize students with the legal and regulatory environment that pertains to the business world. Hiring, training"
BUS2313,Business Law,3,"Business Law teaches students about contracts, criminal law, sales laws, property laws. The legal environment of business will also be discussed."
BUS2153,Business Ethics,3,"In business ethics, the course will consider business actions and decisions in the light of moral principles and values, ask whether ethical motives in"
ENG2343,Business Communications,3,Business Communications teaches the principles of professional communications. Students will learn to use communication technologies for personal
BUS1353,Business Math,3,"Business Mathematics students will receive a rapid review of basic mathematics (i.e., addition, subtraction, multiplication, division, fractions,"
MGT2213,Principles of Management,3,"Principles of Management teach the foundations of management: planning organizing, execution of objectives and the dynamics and impact of"
GEN1113,Critical Thinking and Problem Solving,3,The Critical Thinking and Problem Solving course teaches basic principles and techniques in these important skills. This course provides instruction in
AH101,Career and Life Development,3,Career and Life Development teaches the foundational skills required for success as a student and professional. The three primary areas of focus are:
BUS2153,Business Ethics,3,"In business ethics, the course will consider business actions and decisions in the light of moral principles and values, ask whether ethical motives in"
BUS2523,Customer Relations Management,3,"Students will learn strategies for managing a company’s interactions with customers, clients and sales prospects. This course will focus on using"
BUS2543,Information Technology and Trends,3,This is an introductory course to information systems in business. This course explains the difference between computer literacy and information
BUS2553,Project Management,3,This course is designed to provide insight into depth of Project Management. Students will become more aware of the roles of project managers and
BUS2563,Operations Management,3,"Fundamental concepts of operations including: productivity, quality, logistics, distribution, supply chain technology, inventory management, and"
BUS2573,Entrepreneurship,3,Developing a business plan is one of the most important challenges an entrepreneur will face. The process of developing a good business plan
BUS2583,Professional Sales,3,Students will obtain a broad overview of the basic concepts of sales management. They will gain valuable understanding of the topics of personal
BUS2593,Professional Development,3,"This course is an advanced study of business administration and management, and human resources. Students will be introduced to small business"
BUS2313,Business Law,3,"Business Law teaches students about contracts, criminal law, sales laws, and property laws. The legal environment of business will also be"
MKT2423,Introduction to Marketing,3,"Introduction to Marketing will provide the student with the knowledge to build customer relationships through effective marketing, to create and price"
ACC2213,Accounting Principles,3,Accounting Principles is designed to give the student a full understanding of the accounting cycle and how to record financial data.
MGT2123,Leadership Development,3,This course is designed to provide future and existing leaders the opportunity to explore the concept of leadership and to develop and improve their
MGT1373,Human Resources,3,"The study of Human Resources will familiarize students with the legal and regulatory environment that pertains to the business world. Hiring, training"
MGT2213,Principles of Management,3,"Principles of Management teach the foundations of management: planning organizing, execution of objectives and the dynamics and impact of"
ENG2343,Business Communications,3,Business Communications teaches the principles of professional communications. Students will learn to use communication technologies for personal
BUS2213,Principles of Business,3,Principles of Business will teach students the basis for business operations and professionalism with an emphasis on entrepreneurship and the risks
BUS1353,Business Math,3,"Business Mathematics students will receive a rapid review of basic mathematics (i.e., addition, subtraction, multiplication, division, fractions,"
GEN1113,Critical Thinking and Problem Solving,3,The Critical Thinking and Problem Solving course teaches basic principles and techniques in these important skills. This course provides instruction in
BUS3000,Capstone,3,"In this course, students will complete a project that culminates their experience in the Associate of Occupational Science Business and Industry"
AH100,Career and Life Development,3,Career and Life Development teaches the foundational skills required for success as a student and professional. The three primary areas of focus are:
PHI1153,Medical Law and Ethics,1,"This course covers legal relationships of physicians and patients, contractual agreements, professional liability, malpractice, medical practice acts,"
BIO1316,Anatomy & Physiology,1,This course is a study in human anatomy and physiology. This course will focus on an in-depth study of the human muscular system and skeletal
BIO1387,Nutrition,1,The student will learn tools for nutritional assessment and will be provided with the skills to educate patients on current trends and diets that work
AH225,Sterilization Procedures/OSHA,1,"This course introduces the infection and hazard control procedures necessary for the safe practice of healthcare. Topics include microbiology,"
AH115,Medical Emergencies and CPR,1,In this course the student will learn basic first aid and CPR training. The student will be instructed on the skills needed to recognize and respond to
DA1134,Introduction to Pharmacology,1,"This course is an introduction to pharmacology which includes terminology, drug category, use, side effects, contraindications, and interactions. Focus"
DA1115,Dental Terminology,1,"Students will learn the parts and functions of bodies being treated in dentistry. Emphasis is placed on abbreviations, prefixes, root words, suffixes and"
DA1111,Practice Management/Patient Relations,1,This course provides an overview of the business aspect of the dental practice and the role of the business office auxiliary. This course focuses on
DA1113,Introduction to Dental Assisting,1,This course covers an introduction to the basic knowledge of dentition and the principles of morphology. Student will also place their focus on
DA1114,Pre-Clinical,1,This course emphasizes the names and uses of a wide range of dental instruments and equipment. The student will be taught the ergonomics of
DA1213,Preventative,1,"This course covers the skills and concepts for preventing periodontal disease, oral hygiene instruction, nutritional counseling, and plaque control and"
DA1215,Periodontics,1,"This course covers different types of periodontal disease, treatment, prevention and instruments and materials used in this specialty."
DA1118,Introduction to Dental Radiography,1,"This course covers the basic concepts in radiation and principles of radiography, focusing on patient and operator safety. Students will learn the"
DA1119,Dental Laboratory,1,This course covers the use of dental materials and gypsum products.
DA1231,Fixed Prosthodontics I,1,This course will introduce the student to assisting with the preparation of fixed crowns and bridges. The student will be taught the fixed prosthodontic
DA1233,Fixed Prosthodontics II,1,This course will give each student addition chairside procedural experience at assisting with the preparation of fixed crowns and bridges and
DA1225,Operative,1,"This course includes instruction in assisting with the removal of dental caries, and placement of filling materials. The student will be taught the"
DA1227,Dental Implants,1,"This course includes instruction in assisting with the placement of dental implants, abutments, and implant supported restorations. The student will be"
DA1221,Pedodontics,1,"This course covers the prevention, diagnosis, and treatment of children’s dental health problems."
DA1223,Orthodontics,1,"This course will focus on the growth and development of the jaws and face, the positioning of teeth, influences on development, and prevention and"
DA1126,Endodontics,1,This course will focus on the dental specialty concerned with the treatment of pulpal and periapical diseases of the teeth. The student will learn proper
DA1181,Dental Sciences,1,"This course will focus on Embryology, histology of the life cycle of the tooth, tooth structure and components of the periodontium. Students will also be"
DA1129,Oral Pathology/Oral Surgery,1,"In the duration of this course, the student will focus on the aseptic techniques, suctioning, retracting, dental charting, proper instrument handling, tray"
