code,title,credit_hours,description
ACC 2301,Fundamentals of Financial Accounting,2,"Students will study the accounting cycle, financial statements, accounting analysis, assets, liabilities,
capital and analysis of financial statements.

Prerequisites: None; College Algebra or Intro to Statistics strongly recommended.

Corequisites: "
ACC 2302,Fundamentals of Managerial Accounting,2,"Students will study accounting for partnerships and corporation owner’s equity, management
accounting, and developing information for production decision making.

Prerequisites: ACC 2301

Corequisites: "
ACC 3301,Intermediate Accounting I,3,"Provides in-depth knowledge of basic accounting principles and procedures including analysis of 
traditional accounting statements to discern organizational strengths and weaknesses.

Prerequisites: ACC 2301 and ACC 2302

Corequisites: "
ACC 3302,Intermediate Accounting II,3,"A continuation of ACC 3301.

Prerequisites: ACC 2301, ACC 2302, and ACC 3301

Corequisites: "
ACC 3320,Fundamentals of Taxation,3,"Introduction to the role of taxes in contemporary society and their impact on individuals and 
business entities with emphasis on Federal income taxation.

Prerequisites: ACC 2301 and ACC 2302.

Corequisites: "
ACC 3370,Auditing Theory and Practice,3,"Principles and procedures applied by independent auditors and internal auditors, responsibilities of 
auditors, development of audit programs, accumulation of evidence, statistical and EDP auditing 
applications and reporting.

Prerequisites: ACC 2301 and ACC 2302

Corequisites: "
ACC 3382,Fraud Examination,3,"Develops an understanding and appreciation of the major methods employees use to commit 
occupational fraud.  Students will learn how and why occupational fraud is committed, how 
fraudulent conduct can be deterred, and how allegations of fraud should be investigated and 
resolved.

Prerequisites: ACC 2301 and ACC 2302

Corequisites: "
ACC 4310,Accounting Internship,4,"Provides students with job searching skills, on-the-job work experience and training related to 
academic education and long-term goals. May be repeated once for credit as an elective, but only 
three credit hours will count toward any accounting major. Fulfills experiential learning 
requirement.

Prerequisites: ACC 3301, ACC 3302, and 6 additional hours of upper level Accounting coursework

Corequisites: "
ACC 4380,Advanced Financial Accounting,4,"Accounting problems in respect to multiple ownership, consolidated financial statements and 
partnership accounts; modern currency translations; segmental reporting, and advanced accounting 
theory.

Prerequisites: ACC 2301, ACC 2302, ACC 3301 and ACC 3302

Corequisites: "
ASL 1401,American Sign Language I,1,"American Sign Language (ASL) is the language of the Deaf community in the United States and 
Canada. The course also treats Deaf culture.  This course, together with ASL 1402, meets 
 
 
requirement for modern language.

Prerequisites: None

Corequisites: "
ASL 1402,American Sign Language II,1,"American Sign Language (ASL) is the further study of the language of the Deaf community in the 
United States and Canada.  American Sign Language I and II (ASL 1401 and ASL 1402) together 
meet the requirement for modern language.

Prerequisites: Successful completion of ASL 1401

Corequisites: "
ART 1302,Survey of Art History,1,"This class is designed as a survey of the history of Western art from ancient through contemporary 
times, with emphasis on the major artists and works of art. It will also introduce some of the major 
methodologies used to approach topics in art history. Class time will be divided between slide 
lectures and in-class discussions over the readings.

Prerequisites: None

Corequisites: "
ART 1305,Introduction to Art History: Modern,1,"This course covers the history of visual art from the Renaissance to the present. It is taught with a 
European-American perspective, and includes painting, sculpture, architecture and other major 
areas of study.

Prerequisites: None

Corequisites: "
ART 1306,Drawing Media,1,"Basic drawing using graphite as the primary media. Will also include some or all of the following: 
charcoal, ink, metal point, monoprint, and oil sticks.

Prerequisites: None

Corequisites: "
ART 1308,Introduction to Photography,1,"Basic photography course with emphasis upon technical skill development, camera use and 
operation, digital operation methods and techniques.

Prerequisites: None

Corequisites: "
ART 1315,Art Theory and Practice,1,"A survey which includes study of art history, art criticism, aesthetics, and studio production, 
including study and use of all principles and elements of art in a variety of media, practicing critical 
evaluation of art production in progress; and development of knowledge and skills for personal 
growth.

Prerequisites: None

Corequisites: "
ART 2310,Glass – Fusing and Slumping,2,"An introduction to the sculptural qualities of glass through fusing and slumping processes. Class 
content will emphasize the process of ideation and design utilizing surface, translucency, and 
 
 
transparency. May be repeated for credit with instructor permission.

Prerequisites: None. Course Fee: $45

Corequisites: "
ART 2320,Ceramics,2,"Study of hand building techniques, clay bodies, and glazes using low fire clay. May be repeated for 
credit.

Prerequisites: None. Course Fee: $45

Corequisites: "
ART 3308,Color,3,"This color course offers a new interdisciplinary model connecting diverse experiences and practical 
tools to navigate the complex network of color codes we inhabit. Exploration of color theories 
includes the practical use of color in its many different everyday engagements.

Prerequisites: None

Corequisites: "
ART 3312,Painting,3,"Study of oil painting techniques, color theory, design application, and styles of various well-known 
artists. May be repeated for credit.

Prerequisites: None. Course Fee: $45

Corequisites: "
ART 4306,Art as Vocation,4,"This course prepares you in professional concerns of aesthetics, studio practices, exhibitions, and 
working with art institutions. Emphasis will be placed on developing an audience, marketing art, 
planning programs/events, financial planning, writing proposals/grants, and art industry 
management. Readings will explore artistic vocation with a Biblical, historical, theological, and 
contemporary perspective.

Prerequisites: Successful completion of any 6 credit hours of ART

Corequisites: "
ART 4312,Painting II,4,"In this course you will continue to increase your skills in oil painting. You will have the opportunity 
to develop your ideas concerning genres of landscape, still life and the figure, while exploring and 
expanding your interests in abstraction, representation, collage and digital applications.

Prerequisites: Successful completion of ART 3312

Corequisites: "
BIO 1101-1106,Field Biology,1,"BIO 1101-1106 are a series of mini-course field experiences to study the ecosystems of selected 
areas of Texas; some courses require good physical conditioning due to strenuous hiking activity. 
Field Biology may be repeated for credit under each separate number; the same number course 
may not be repeated for credit. Up to three of these one-hour courses in any combination may be 
used as a non-lab Natural Science within the core. These courses require a special course fee to 
cover travel and special equipment. Fulfills one (1) credit hour of Experiential Learning

Prerequisites: Consent of instructor. Course Fee: $150

Corequisites: "
BIO 1101,Field Biology East and Southeast Texas,1,"BIO 1101-1106 are a series of mini-course field experiences to study the ecosystems of selected
areas of Texas; some courses require good physical conditioning due to strenuous hiking activity.
Field Biology may be repeated for credit under each separate number; the same number course
may not be repeated for credit. Up to three of these one-hour courses in any combination may be
used as a non-lab Natural Science within the core. These courses require a special course fee to
cover travel and special equipment. Fulfills one (1) credit hour of Experiential Learning

Prerequisites: Consent of instructor. Course Fee: $150

Corequisites: "
BIO 1102,Field Biology Rio Grande Valley,1,"BIO 1101-1106 are a series of mini-course field experiences to study the ecosystems of selected
areas of Texas; some courses require good physical conditioning due to strenuous hiking activity.
Field Biology may be repeated for credit under each separate number; the same number course
may not be repeated for credit. Up to three of these one-hour courses in any combination may be
used as a non-lab Natural Science within the core. These courses require a special course fee to
cover travel and special equipment. Fulfills one (1) credit hour of Experiential Learning

Prerequisites: Consent of instructor. Course Fee: $150

Corequisites: "
BIO 1103,Field Biology Southwest Texas,1,"BIO 1101-1106 are a series of mini-course field experiences to study the ecosystems of selected
areas of Texas; some courses require good physical conditioning due to strenuous hiking activity.
Field Biology may be repeated for credit under each separate number; the same number course
may not be repeated for credit. Up to three of these one-hour courses in any combination may be
used as a non-lab Natural Science within the core. These courses require a special course fee to
cover travel and special equipment. Fulfills one (1) credit hour of Experiential Learning

Prerequisites: Consent of instructor. Course Fee: $150

Corequisites: "
BIO 1104,Field Biology Panhandle and Northwest Texas,1,"BIO 1101-1106 are a series of mini-course field experiences to study the ecosystems of selected
areas of Texas; some courses require good physical conditioning due to strenuous hiking activity.
Field Biology may be repeated for credit under each separate number; the same number course
may not be repeated for credit. Up to three of these one-hour courses in any combination may be
used as a non-lab Natural Science within the core. These courses require a special course fee to
cover travel and special equipment. Fulfills one (1) credit hour of Experiential Learning

Prerequisites: Consent of instructor. Course Fee: $150

Corequisites: "
