code,title,credit,description
ACC 2213,Principles of Accounting I,3,"Study of the fundamentals and application of financial accounting principles that relate to business.
The topics to be covered include the accounting cycle and accounting systems for service and merchandising businesses. Three hours lecture per week."
ACC 2223,Principles of Accounting II,3,"A continuation of ACC 2213. The topics to be covered include corporate accounting concepts, managerial accounting concepts and internal business decision making. Three hours lecture per week."
AGR 1214,Animal Science,4,"Fundamental principles and practical application of livestock, dairy, and poultry science. Origin,
history, characteristics, market classes, and grades of the major breeds of livestock and poultry. Four hours lecture per week."
AGR 1313,Plant Science,3,"Scientific principles as the basis for practice in producing, handling, processing, marketing, and utilizing agronomic and horticultural crops. Three hours lecture per week."
AGR 2713,Principles of Agricultural Economics,3,"Economic principles applied to production, value, prices, credit, taxation, land tenure, marketing,
international trade, and related problems affecting agriculture. Three hours lecture per week."
AMR 1112,Foundations of Officership,2,"Introduction to the personal challenges and competencies which are critical for effective leadership
in the Armed Forces. Students will examine the role of leadership, officership, and the Army profession as well as develop life skills such as goal settings, time management, physical fitness, and stress
management. The focus is on developing basic knowledge and comprehension of Army leadership
dimensions. Includes a leadership lab and recommended physical training. One hour lecture and two
hours laboratory per week."
AMR 1122,Basic Leadership,2,"Fundamental leadership and training techniques with exposure to setting direction, map reading,
problem-solving, presenting briefs and using effective writing skills. Students will explore dimensions of leadership attributes and core leader competencies in the context of practical, hands-on, and
interactive exercises. Considerable attention is also placed on improving physical fitness. Includes
a leadership lab and physical training. One hour lecture and two hours laboratory per week."
AMR 2113,Individuals Leadership Studies,3,"Develop effective military leadership skills: problem analysis, decision making, planning and organizing, delegation and control, and interpersonal conflict resolution. Includes a leadership lab and
physical training. Two hours lecture and two hours laboratory per week."
AMR 2123,Leadership and Teamwork,3,"An application of leadership skills with emphasis on: beliefs, values, ethics, counseling techniques,
map reading, land navigation, basic first aid, and group interaction. Includes a leadership lab and
physical training. Two hours lecture and two hours laboratory per week."
ART 1113,Art Appreciation,3,A course designed to provide an understanding and appreciation of the visual arts. Three hours lecture per week.
ART 1313,Drawing I,3,"Includes the study of the basic elements and principles of organization in two dimensions and the
selection, manipulation and synthesis of these components to create an organized visual expression.
Students will apply overlapping foreshortening and diminished scale. Black and white media will be
stressed. Required of art majors. Six hours laboratory per week."
ART 1323,Drawing II,3,"Continuation of skills from Drawing I with an introduction to color and further study of composition.
Required of art majors. Six hours laboratory per week."
ART 1433,Design I,3,"Introduction to the fundamentals of two-dimensional design with emphasis in black and white media.
Required of art majors. Six hours laboratory per week."
ART 1443,Design II,3,Continuation of Design I with emphasis in color theory. Required of art majors. Six hours of laboratory per week.
ART 1453,Three-Dimensional Design,3,"To provide students with an understanding of spatial form in three-dimensions through the use of
applied design elements and principles to studio problems in mixed media. Three hours lecture per
week."
ART 1513,Computer Art,3,"An introduction to the theory and practice of using the computer to create art. A study of methods
and applications utilizing the computer and selected software applications. Three hours lecture/lab
per week."
ART 1913,Art for Elementary Teachers,3,Development of essential concepts of children’s art education in compliance with the National Standards for Arts Education. Two hours of lecture and two hours of laboratory per week.
ART 2513,Painting I,3,An introduction to painting compositions and techniques. Six hours laboratory per week.
ART 2523,Painting II,3,"A further study in the compositions, techniques, and concepts in painting. Six hours laboratory per
week."
ART 2613,Ceramics I,3,"This course is directed toward an introduction to different aspects and materials of ceramic design.
Instruction covers forming and shaping by hand and by mechanical means, various kiln operations,
understanding the nature of clay and glazes, and an appreciation of functional and non-functional
forms. Six hours laboratory per week."
ART 2623,Ceramics II,3,"Continuation of skills introduced in Ceramics I. Emphasis on individual problem solving. Six hours
laboratory per week."
ART 2713,Art History I,3,"Survey course of historical background of art forms from Prehistoric to Renaissance. Emphasis is on
painting, architecture, and sculpture as related to history. Three hours lecture per week."
ART 2723,Art History II,3,Survey courses of historical background of art forms from Renaissance to present with special emphasis on contemporary expression. Three hours lecture per week.
ART 2811,Exhibition Class III,1,A continuation of ART 1821. One hour lecture per week.
ART 2821,Exhibition Class IV,1,A continuation of ART 2811. One hour lecture per week.
BAD 1113,Introduction to Business,3,"This course is designed to introduce students to the basic concepts of business. Main topics include
current business and economic environment, entrepreneurship, marketing, management, financial
management, and business careers. Three hours lecture per week."
BAD 2113,Introduction to International Business,3,"This course is an introduction to international business concepts and practices. Emphasis is placed
on understanding cultural differences and foreign exchange markets. Three hours lecture per week."
BAD 2323,Business Statistics,3,"Introduction to statistical methods of describing, summarizing, comparing, and interpreting data to
include probability distributions, sampling, estimation, confidence intervals, and hypothesis testing.
Three hours lecture per week."
BAD 2413,Legal Environment of Business,3,"An introduction to interrelationships of law and society, jurisprudence, and business. Topics include
an introduction to law, law of contracts, agency, and employment. Three hours lecture per week."
BAD 2713,Principles of Real Estate,3,"The course is an introduction to the nature of the real estate market, types of ownership of property,
contracts, and methods of transferal of title. Three hours lecture per week."
BAD 2723,Real Estate Law,3,"Designed to give the student a general background in the law of real property and the law of real
estate brokerage. Three hours lecture per week."
BAD 2813,Business Communications,3,"This course develops written and oral communication skills for future professionals among multicultural audiences with emphasis on principles of writing business messages, generating reports
and presentations, and preparing communications for employment. Three hours lecture per week."
BAD 2853,Business Ethics,3,An exploration of the ethical problems faced in business theory and practice through which the student will recognize and analyze ethical dilemmas and implement ethical decisions within the context of today’s business environment. Three hours lecture per week.
BAD 2413,Legal Environment of Business,3,"An introduction to interrelationships of law and society, jurisprudence, and business. Topics include
an introduction to law, law of contracts, agency, and employment. Three hours lecture per week."
BAD 2713,Principles of Real Estate,3,"The course is an introduction to the nature of the real estate market, types of ownership of property,
contracts, and methods of transferal of title. Three hours lecture per week."
BAD 2723,Real Estate Law,3,"Designed to give the student a general background in the law of real property and the law of real
estate brokerage. Three hours lecture per week."
BAD 2813,Business Communications,3,"This course develops written and oral communication skills for future professionals among multicultural audiences with emphasis on principles of writing business messages, generating reports
and presentations, and preparing communications for employment. Three hours lecture per week."
BAD 2853,Business Ethics,3,An exploration of the ethical problems faced in business theory and practice through which the student will recognize and analyze ethical dilemmas and implement ethical decisions within the context of today’s business environment. Three hours lecture per week.
BIO 1111,"Principles of Biology I, Lab",1,"A laboratory course for non-science majors that contains experiments and exercises that reinforce the
principles introduced in BIO 1113 Principles of Biology I, Lecture. Two hours laboratory per week."
