code,title,credit,description
ACCT 1113,BASIC BUSINESS RECORDS I,3,The basic principles and practices of record keeping for businesses.
ACCT 1123,BASIC BUSINESS RECORDS II,3,The basic principles of record keeping for small businesses designed primarily for secretarial or occupational students.
ACCT 1113,Basic Business Records I.,3,ACCT 1133 PAYROLL ACCOUNTING
ACCT 1203,Fundamentals of Accounting or ACCT 2103 Accounting,3,I Financial. Traditionally offered every odd year fall semester only.
ACCT 1203,FUNDAMENTALS OF ACCOUNTING,3,An introduction to the fundamental principles of double entry accounting as applied to practical business situations.
ACCT 2003,SURVEY OF ACCOUNTING,3,Introduction to financial and managerial accounting concepts and objectives. This course provides a survey of accounting
ACCT 2103,and ACCT 2203.,3,ACCT 2103 ACCOUNTING I—FINANCIAL
MATH 1483,Math Functions or,3,MATH 1513 Algebra for STEM or concurrent enrollment with instructor permission.
ACCT 2123,MICROCOMPUTER ACCOUNTING I,3,An introduction to microcomputer applications related to accounting systems. Topics include general ledger; accounts
ACCT 1203,Fundamentals of Accounting or ACCT 2103 Accounting I-Financial. Traditionally offered in the fall semester,3,only.
ACCT 2203,ACCOUNTING II—MANAGERIAL,3,"An introduction to managerial accounting concepts and objectives, cost system designs, planning and control of sales and"
ACCT 2103,Accounting I-Financial.,3,AGRICULTURE
AGRI 1113,INTRODUCTION TO AGRICULTURAL ECONOMICS,3,An introduction to the role of agriculture within the U.S. economy. Topics will include economic analysis of the
MATH 1483,Math Functions. Offered fall semester only.,3,AGRI 1124 INTRODUCTION TO ANIMAL SCIENCES
AGRI 1223,INTRODUCTION TO PLANT AND SOILS SCIENCE,3,An introduction to plant and soil systems and the interactions necessary to produce the food and fiber to feed the world.
AGRI 2123,LIVESTOCK FEEDING,3,"Nutrients, their functions and the nutrient composition of feedstuffs; feed classification; nutrient requirements of the"
MATH 1483,Math Functions.,3,AGRI 2124 FUNDAMENTAL OF SOIL SCIENCE
CHEM 1014,Concepts of Chemistry or CHEM 1315,4,Chemistry I or concurrent enrollment. Offered spring semester only.
AGRI 2222,LIVE ANIMAL EVALUATION,2,"Modern tools for livestock selection including performance records, pedigree information, visual appraisal, and the"
AGRI 1124,Introduction,4,to Animal Science.
AGRI 2253,MEAT ANIMAL AND CARCASS EVALUATION,3,"Evaluation of livestock animals, carcasses and whoesale cuts of beef, pork, and lamb. The course will also include factors"
AGRI 2303,DEVELOPMENT OF AGRICULTURAL LEADERSHIP,3,This course focuses on the development of leadership skills used in the agricultural industry and career fields. The course
