code,title,credits,description
2113,ACCOUNTING PRINCIPLES I,3,"Purpose of accounting, recording transactions, preparing financial statements, the use of 
special journals and general and subsidiary ledgers, introduction of accounting principles, 
accounting for a merchandising firm, and payroll accounting. This course is offered in the 
fall and spring semester."
2213,ACCOUNTING PRINCIPLES II,3,"Prerequisite: ACCT-2113. Continuation of Accounting Principles I. Partnership accounting, 
corporation accounting, additional accounting principles, analyzing and interpreting financial 
statements, development of management decision-making accounting data, introduction to 
cost accounting, and cost-volume-profit analysis. This course is offered in the fall and 
spring semester."
3113,INTERMEDIATE ACCOUNTING I,3,"Prerequisite: ACCT-2213. Study of accounting theory and assumptions underlying 
Generally Accepted Accounting Principles related to financial statements, generally, and 
current assets, specifically. Special consideration is given to pronouncements of the 
Financial Accounting Standards Board, the American Institute of Certified Public 
Accountants, the American Accounting Association and the Securities and Exchange 
Commission. This course is normally offered in the fall semester."
3213,INTERMEDIATE ACCOUNTING II,3,"Prerequisite: ACCT-3113. Continuation of Intermediate Accounting I. Study of Generally 
Accepted Accounting Principles related to plant assets, liabilities and capital, financial 
statement analysis, price level accounting, and leasing transactions. This course is normally 
offered in the spring semester."
3313,COST ACCOUNTING,3,"Prerequisite: ACCT-2213. The development of cost and accounting data for internal use in 
planning, control, and decision making by managers. Topics and techniques studied are 
job-order and process cost accounting; accounting for materials, labor, and factory 
overhead costs; standard cost accounting; payroll; budgeting; responsibility accounting; 
cost-volume-profit analysis, and direct costing.  This course is offered in the fall and spring 
semester."
3413,INCOME TAXATION,3,"Prerequisite: ACCT-2213. An introduction to the federal income tax, considering income, 
deductions, payment of tax, and other matters relating to personal income tax returns. This 
course is normally offered in the fall semester."
3513,ADVANCED FEDERAL TAXATION,3,"Prerequisite: ACCT-3413. A continuation of the study of the federal income tax as it relates 
to corporations, partnerships and fiduciaries. Also included is the study of more specialized 
income tax problems and the federal Social Security, estate, and gift taxes. This course is 
normally offered in the spring semester."
3713,ACCOUNTING INFORMATION SYSTEMS,3,"Prerequisite: ACCT-3113 and INFO-3613. Concepts underlying the analysis, design, use, 
control and audit of accounting information systems. The flow of accounting information 
through computerized information systems is emphasized. This course is normally offered 
in the spring semester."
4113,ADVANCED ACCOUNTING I,3,"Prerequisite: ACCT-3113. A study of the application and theory of budgetary and fund 
accounting, with emphasis on governmental and not-for-profit entities. Other specialized 
accounting applications involving foreign operations and partnership accounting are also 
examined. This course is normally offered in the fall semester."
4213,ADVANCED ACCOUNTING II,3,"Prerequisite: ACCT-3113. A study of advanced accounting problems related to 
consolidations, mergers, acquisitions, branch operations, segment reporting, interim 
reporting, and the Securities and Exchange Commission. This course is normally offered in 
the spring semester."
