code,title,credits,description
ACCT 2103,Fundamentals of Financial Accounting,3,"An 
introduction 
to 
financial 
accounting 
including 
developing, 
analyzing, 
and 
interpreting 
financial 
statements."
ACCT 2203,Fundamentals of Managerial Accounting,3,"An 
introduction 
to 
management 
accounting 
and 
organizational performance measurements such as basic 
costing and capital budgeting."
ACCT 3113,Intermediate Accounting I,3,"Financial accounting theory and methodology including 
the conceptual 
framework of generally accepted 
accounting principles. Basic coverage of financial 
statement structure and detailed coverage of assets"
ACCT 3213,Intermediate Accounting II,3,"Continuation of Intermediate Accounting II. Liabilities, 
equity, pensions, leases, revenue recognition, earnings 
per share, disclosure, and other select financial 
accounting theory and methodology topics."
ACCT 3313,Individual Income Tax,3,"An introduction to basic income tax law and accounting 
requirements as they relate to individuals and sole 
proprietors. This would include income and deduction 
issues, filing requirements, and research."
ACCT 3323,Business Entity Taxation,3,"A continuation in the study of income tax law with 
emphasis on business entities. The major topics consist 
of 
income 
tax 
requirements 
for 
corporations, 
partnerships, and limited liability companies. The course 
also covers tax research, and a basic introduction to 
unified estate and gift statutes."
ACCT 3343,Computer-Aided Fraud Examination,3,"The use of spreadsheets, databases and fraud analysis 
software IDEA to detect and analyze fraud using 
information generated by computerized accounting 
systems. This course will teach students the concepts of 
fraud examination, fraud detection and analysis using 
Excel, Access and IDEA software and interpret the 
findings from an auditor's view point."
ACCT 3413,Forensic Accounting,3,"Forensic accounting covers the basic concepts related to 
business and accounting financial fraud including its 
origin, prevention and detection. Investigative techniques 
are used to study financial statement misrepresentation, 
financial 
corruption, 
and 
asset 
misappropriation. 
Computer forensic methods are used to study the scope 
of these financial crime."
ACCT 3513,Cost Accounting,3,"Cost management theory and practices: product costing, 
organizational 
planning 
and 
control, 
performance 
measurement, 
cost-volume-profit 
analysis, 
and 
managerial decision making."
ACCT 3613,Advanced Managerial Accounting,3,"Managerial cost control, capital budgeting, organizational 
performance, joint and process costing, cost analysis 
techniques, cost management practices."
ACCT 3713,Governmental Accounting,3,"Accounting 
and 
financial 
reporting 
standards 
for 
governmental and not-for-profit organizations including 
fund accounting for state and local governments."
ACCT 4113,Advanced Financial Accounting,3,"Consolidated statements, segments, interim reporting, 
bankruptcy and reorganization, translation of foreign 
currency."
ACCT 4223,Financial Analysis and Control,3,"This course examines the processes and methods of 
financial analysis and control. The course emphasizes the 
objectives of different users of financial statements and 
describes analytical tools and techniques to meet those 
objectives. 
Analytical 
methods 
range 
from 
the 
computation of ratio and cash flow measures to 
forecasting earnings for equity valuation. Topics include 
cash flow analysis, profitability analysis, short-term and 
long-term forecasting analysis, credit analysis, and equity 
analysis and valuation."
ACCT 4243,Accounting Research,3,"Research is an integral part of the financial, tax, and 
auditing fields of accounting. This course will introduce 
students to research methods and resources, including 
methods of communicating research findings."
ACCT 4613,Forensic Accounting & Internal Auditing,3,"Two major issues for corporate accountants of their 
auditors are forensic accounting and internal auditing. 
This course provides a survey of the major subject 
matters to enhance the student's knowledge of the 
problems and practices used within corporations."
ACCT 4713,Accounting Information Systems,3,"An introduction to AIS design methodology including 
accounting information flow, the transaction cycles, 
internal control, and auditing. The course focuses on 
automated information systems."
ACCT 4813,Auditing,3,"Principles and procedures followed by a certified public 
accountant to render an opinion concerning fairness of 
audited financial statements."
ACCT 4913,Accounting Theory,3,"Theory of accounting, how it has developed, and 
relationship of accounting theory to accounting and 
business practice."
ACCT 4950,Accounting Internship,0,"Supervised professional-level accounting assignment 
with a business firm, government agency, or non-profit 
organization. Faculty consent required."
ACCT 4960,Directed Reading,0,"Individualized literature study selected in consultation 
with the professor."
ACCT 4970,Special Studies,0,"Individualized project selected in consultation with 
professor."
ACCT 4980,Seminar,0,Small group study of topic announced by department.
ACCT 4990,Research,0,"Independent investigation designed in consultation with 
the professor."
ACCT 5233,Accounting for Managers,3,"The primary emphasis of this course is on management's 
use of accounting information to manage the resources of 
a complex organization. The course focuses on three 
major areas: fundamentals of cost systems; managerial 
decision 
making; 
and 
managerial 
planning 
and 
performance evaluation."
