code,title,credits,description
APS 3313,Portfolio Development,3,"This course focuses upon the preparation, development, 
and submission of an experiential learning portfolio for 
those students pursuing their Bachelor’s degree through 
the School of Distance Education, who desire credit for 
experiential learning. Credit granted may range from 3 to 31 
hours contingent upon approval of the portfolio.
BIBLE"
BIB 1133,Biblical Prayer as Ministry,3,"A survey of references and examples of prayer throughout 
the Scriptures. Biblical Prayer is viewed as Christian 
ministry. Practical interpretations of the concept are applied 
to the revealed purposes of God and to the unreached 
peoples of the world."
BIB 1223,The Church in Ministry and Mission,3,"A biblical study of the mandate and extraordinary potential of 
the local church in its efforts to worship God, edify believers, 
and evangelize the entire world. The priority of both personal 
and corporate participation in God’s great redemptive plan 
as expressed in the Old and New Testament is stressed. 
Additionally, students will explore leadership and ministry 
gifts within the Church and the central role of the Holy Spirit 
in advancing the kingdom of God."
BIB 2133,Book of Acts,3,"A study of the Book of Acts with special emphasis on 
distinctive themes in Lucan theology as it relates to 
Luke-Acts. Attention is given to the expansion of the 
early Church, the work of the Holy Spirit, and the many 
challenges faced by the rapidly growing New Testament 
Church. (Prerequisite: REL 1153)"
BIB 2213,Bible Study,3,"Representative passages of Scripture from a variety of 
genre in both Old and New Testament will be analyzed and 
studied in order to learn basic Bible study skills. Special 
emphasis will be placed on the meaning of Scripture 
in its historical and literary context. The student will be 
introduced to the proper use of basic Bible study tools."
BIB 2233,Pentateuch,3,"A study of Genesis through Deuteronomy with an emphasis 
on the prominent themes, historical events and legal codes.  
Attention is given to the concept of covenant and its 
significance throughout the Bible. (Prerequisite: REL 1163)"
BIB 2243,Prison Epistles,3,"An exegetical study of Ephesians, Philippians, Colossians, 
and Philemon emphasizing the message of each letter and 
its contribution to Pauline theology. (Prerequisite: REL 1153)"
BIB 2263,Historical Books,3,"A study of the history of Israel comprising the conquest, 
monarchy, captivity, and the restoration of Israel as 
portrayed in the Books of Joshua through Esther. 
(Prerequisite: REL 1163)"
BIB 2273,"Geography and Archaeology of the Ancient 
Near East",3,"An introduction to the history and geography of the Ancient 
Near East accented by archaeological discoveries that give 
insight to the biblical world. (Prerequisite: REL 1153 and 
1163)"
BIB 2313,Biblical Languages and Tools,3,"This course is a basic introduction to biblical Hebrew 
and Greek that introduces students to the alphabet, 
grammatical terminology, and basic features of each biblical 
language with an emphasis on equipping the student 
to use commentaries, lexica, Bible software, and other 
language resources. (Prerequisite: BIB 2213"
