code,name,credits,description
68-124,DESIGN,4,"An introduction to the history, theory and practice of design. This course deals with the 
analysis of visual perception directed toward understanding the expressive nature of creative design. 
The objective of this course is to encourage visual awareness and to promote the development of 
various skills necessary to visualize personal design concepts. Lab required. Contributes to Design 
Thinking. (FA)"
68-274,DIGITAL ART,4,"This studio art course is an introduction to the various digital media being used in 
interdisciplinary art today.  Students will produce digital art that responds to contemporary art issues. 
Contributes to Design Thinking. (Spring) (FA)"
68-294,PRINTMAKING,4,"A beginning study of fundamental techniques, history and theory of printmaking.  
Assignments are designed to explore the creative, technical, and formal means toward expressive 
form.  Previous drawing experience is desirable.  Lab required.  Repeatable with a change in content. 
Contributes to Design Thinking. (Spring) (FA)"
68-502,PROFESSIONAL PRACTICES,2,"A course in the professional practices in art including photographing 
artworks and constructing the elements of a professional portfolio and website.  This course is to be 
taken as a pre- or co-requisite course with the Intermedia Seminar: Ceramics, Design (68-504); the 
Intermedia Seminar: Painting, Printmaking, Drawing (68-514); or the Intermedia Seminar: Sculpture, 
Digital Arts, Photography (68-524). Prerequisite: two courses in the focus medium or permission of 
the instructor."
68-702,EXHIBITION PRACTICUM,2,"Professional gallery and museum practices and exhibition preparation, 
design, and execution are the course topics. B.A. students who have been approved by the department 
for senior exhibitions must take this course during the semester of their senior exhibition; B.F.A. 
students are required to take it twice with one during the semester of their senior exhibition. 
Coursework in the gallery will be required at irregular days and hours. Open to juniors and seniors; 
repeatable with a change in content. (Fall and Spring)"
"68-001, 002, 003, 004",SELECTED TOPICS,4,May be repeated with change in topic.
"68-301, 302, 303, 304",SELECTED TOPICS,4,May be repeated with change in topic.
"68-901, 902, 903, 904",TUTORIAL,4,"68-941, 942, 943, 944 
ACADEMIC INTERNSHIP. Related to specific field of study. Must be taken Pass/D/F."
68-984,HONORS,4,"At least eight credits of work over two semesters (beginning spring junior year or fall 
senior year) on a single in-depth project at the invitation of a faculty advisor and with the approval of 
the studio art faculty. Continuation of the honors project in the second semester, and final granting of 
honors, is dependent upon approval by the faculty committee. Otherwise the credits may count as 
independent study (68-954) or may in some cases be counted toward the studio art seminar and studio 
art capstone numbers in the appropriate medium. 
Art History (ARH)"
71-214,ARTS OF CHINA,4,"This course surveys the arts of China from the Neolithic to the contemporary 
period. Each lecture will consist of an in-depth examination of one of twenty-three landmarks of 
Chinese art. A variety of works will be considered including jades, ancient bronzes, calligraphy, 
Buddhist murals, landscape paintings, Chinese gardens, temples, contemporary works, and more. 
Each work will be examined in its historical context, introducing students to China’s social and 
political history, as well as its major religious and humanistic traditions including Confucianism, 
Buddhism, and Daoism. Contributes to East Asian Studies and International Studies. (Biennially) 
(FA) (WA)"
71-224,ARTS OF JAPAN,4,"This course introduces the visual arts of Japan from the Neolithic to the late 
twentieth century. It will consider the development of the pictorial, sculptural and architectural 
traditions in light of themes such as religion, gender, cross-cultural exchange, and changes in socio-
political life. Biweekly sessions will cover a range of subjects including ceramics, woodblock 
printing, ink painting, gardens, religious and castle architecture, calligraphy, tea ceremony, and 
contemporary works. Contributes to East Asian Studies and International Studies. (Biennially) (FA) 
(WA)"
71-234,ANCIENT CHINESE ART AND CIVILIZATION,4,"This course covers China’s rich and complex 
ancient civilization, beginning in the Neolithic and concluding with the fall of China’s first long-
lasting imperial administration, the Han dynasty. It considers the development and trajectory of 
Chinese art and architecture in relation to the formation of local states, kingdoms, and the early 
Chinese empires. Topics covered include painted ceramics, jades, oracle bones, bronze vessels and 
bells, lacquer works, mummies, gold ornaments, stone shrines, early palaces and cities, silk, and much 
more. Art works will be studied in the archaeological context in which they were discovered and in 
relation to the material culture surrounding them. Contributes to East Asian Studies and International 
Studies. (Biennially) (FA) (WA)"
71-314,ART OF MESOAMERICA,4,"A survey of the ancient Americas, concentrating on the archaeology and 
ritual aesthetics of the Mezcala, Olmec, Zapotec, Maya, Nayarít, Chupícuaro, Teotihuacan, Totonac, 
Toltec, Mixtec, Purépecha and Aztec, among others, and focusing on each culture’s sense of past and 
place. In so doing, this course examines the role of archaeology in shaping current understanding of 
the ancient past, and how that past is exhibited and made part of modern visual culture. Course 
themes explore social and ritual landscapes, cosmology, palaces, divine kingship, hieroglyphs and 
Mesoamerican calendars. Contributes to International Studies and Latin American and Border 
Studies. (Biennially) (FA) (WA) 
54"
71-324,ART OF THE ANDES,4,"A survey of the ancient Americas, concentrating on the archaeology and 
ritual aesthetics of the Valdivia, Chavín, Jama-Coaque, Tairona, Coclé, Paracas, Nazca, Moche, 
Tiwanaku, Wari, Chimu and Inca, among others, and focusing on each culture’s sense of past and 
place. In so doing, this course examines the role of archaeology in shaping current understanding of 
the ancient past, and how that past is exhibited and made part of modern visual culture. Course 
themes explore social and ritual landscapes, cosmology, mummification, warrior cults, shamanism, 
visual metaphors and formal processes of abstraction. Contributes to International Studies and Latin 
American and Border Studies. (Annually) (FA) (WA)"
71-414,GREEK AND ROMAN ART OF THE HELLENISTIC ERA,4,"A survey of the formation of Roman art 
and ancient art theory within the context of the Hellenistic world, c. 400 B.C. to c. A.D. 79. It covers 
Greek art from the Classical and Hellenistic periods (c. 480 - 30 B.C.) and contemporary Roman art 
of the Mid and Late Republic and early Empire (c. 390 B.C - c. A.D. 79). The course will involve 
considerable study of cultural context and social structure and will examine theoretical models of 
cultural formation. It uses extensive readings in ancient history and original ancient texts (in 
translation). Contributes to Classics and International Studies. (Annually) (FA) (WA)"
