code,title,credits,description
ACCA 2301,Principles of Accounting I,3,"Accounting concepts and 
their application in transaction analysis and financial statement preparation; analysis of 
financial statements; and asset and equity accounting in proprietorships, partnerships, 
and corporations. Equivalent courses: ACC 2330 (through Summer 2014), ACC 2301 
(through Summer 2022)NoneNone"
ACCA 2302,Principles of Accounting II,3,"Accounting concepts and 
their application in transaction analysis and financial statement preparation; analysis of 
financial statements; and asset and equity accounting in proprietorships, partnerships, 
and corporation. Introduction to cost behavior, budgeting, responsibility accounting, cost 
control, and production costing. Prerequisite: ACC 2301. Equivalent courses: ACC 2331 
(through Summer 2014), ACC 2302 (through Summer 2022)ACC 2301. Equivalent courses: ACC 2331 None"
ACCA 3312,Accounting Systems-QuickBooks,3,"The study of Accounting  
Information Systems with an emphasis on the practical use of Accounting Software 
(QuickBooks). A hands-on approach to the accounting cycle including the following 
business processes: banking, Customers and Sales; Vendors, Purchases, and 
Inventory; Employees and Payroll; reports and Graphs. Prerequisites: ACC 2301, 2302. 
Equivalent course: ACCR 3312NoneNone"
ACCA 3330,Intermediate Accounting I,3,"Concepts, principles, and practices of 
accounting with emphasis on determination of income and financial position of business 
corporations. Prerequisites: ACC 2301 and ACC 2302. Equivalent courses: ACC 3330 
(through Summer 2022), ACCR 3330NoneNone"
ACCA 3331,Intermediate Accounting II,3,"Continuation of Intermediate  
Accounting I. Prerequisite: ACC 3330. Equivalent courses: ACC 3331 (through Summer 
2022), ACCR 3331ACC 3330. Equivalent courses: ACC 3331 (through Summer None"
ACCA 3332,Cost Accounting,3,"The study of cost accounting fundamentals, the 
purpose of cost accounting-primarily product costing and planning and control; various 
methods of attaining these goals, such as job order costing, process costing, budgeting, 
standard costs, profit-cost volume relationships, analysis of variances, contribution 
approach, relevant costs, and inventory control. Prerequisite: ACC 2301 and 2302. 
Equivalent courses: ACC 3332 (through Summer 2022), ACCT 3332 (through Summer 
2022), ACCR 3332ACC 2301 and 2302. None"
ACCA 3333,Financial Statement Analysis,3,"This course provides an integrated 
approach to accounting. Concepts and issues in all functional areas of accounting are 
presented. Topics include budget and cost control, accounting data in planning, and 
policy formulation. Prerequisite: ACC 2301 & 2302.ACC 2301 & 2302.None"
ACCA 3334,Governments and Not-for-Profit Accounting,3,"In this course, 
students study the concepts and techniques of fund accounting, and financial reporting 
for government and not-for-profit agencies including state and local governments, 
universities, hospitals, and other public sector organizations. Prerequisite: ACC 2302. 
Equivalent courses: ACC 3334 (through Summer 2022), ACCR 3334ACC 2302. None"
ACCA 4330,Principles of Taxation,3,"Principles of taxation with emphasis upon 
federal income tax as it applies to individuals. Prerequisite: ACC 2301 & 2302.ACC 2301 & 2302.ACCT/ACC 4330 (through Summer 2022), ACCR 4330"
ACCA 4334,Accounting Information Systems,3,"Use of the computer in the 
processing of business transactions, analysis of accounting information and in auditing.  
(Various) Prerequisites: ACC 2301 and 2302. Equivalent courses: ACC 4334 (through 
Summer 2022), ACCR 4334NoneNone"
