code,title,credit,description
ACCT 2301,Principles of Financial Accounting,3,"This course is an introduction to the fundamental concepts of financial accounting as prescribed by U.S. generally accepted accounting principles (GAAP) as applied to transactions and events that affect business organizations. Students will examine the procedures and systems to accumulate, analyze, measure, and record financial transactions. Students will use recorded financial information to prepare a balance sheet, income statement, statement of cash flows, and statement of shareholders’ equity to communicate the business entity’s results of operations and financial position to users of financial information who are external to the company. Students will study the nature of assets, liabilities, and owners’ equity while learning to use reported financial information for purposes of making decisions about the company.

Students will be exposed to International Financial Reporting Standards (IFRS).
Prerequisite:	TSI ELAR (Reading and Writing)
and Math requirements met
Type:	ACAD"
ACCT 2302,Principles of Managerial Accounting,3,"This course is an introduction to the fundamental concepts of managerial accounting appropriate for all organizations. Students will study information from the entity's accounting system relevant to decisions made by internal managers, as distinguished from information relevant to users who are external to the company. The emphasis is on the identification and assignment of product costs, operational budgeting and planning, cost control, and management decision making. Topics include product costing methodologies, cost behavior, operational and capital budgeting, and performance evaluation.
Prerequisite:"
AGRI 1329,Principles of Food Science,3,"Biological and scientific aspects of modern industrial food supply systems. Food classification, modern processing, nutritional quality, and quality control.
Prerequisite:	None Type:	ACAD"
AGRI 1415,Horticulture,4,"Structure, growth, and development of horticultural plants. Examination of environmental effects, basic principles of reproduction, methods ranging from outdoor to controlled climates, nutrition, and pest management.
Prerequisite: None Type:	ACAD"
AGRI 1419,Introductory Animal Science,4,"Scientific animal production and the importance of livestock and meat industries. Selection, reproduction, nutrition, management, and marketing of livestock.
Prerequisite:	None Type:	ACAD"
AGRI 2303,Agricultural Construction,3,"Safety procedures, selection, use, and maintenance of hand and power tools, metal cutting and welding; and construction materials and principles.
Prerequisite:	None Type:	ACAD"
AGRI 2317,Introduction to Agricultural Economics,3,"Fundamental economic principles and their application in the agricultural industry.
Prerequisite:	TSI ELAR (Reading and Writing)
requirement met
Type:	ACAD"
AGRI 2330,Wildlife Conservation and Management Principles,3,"Wildlife Conservation and Management Principles and practices used in the production and	improvement	of	wildlife	resources. Aesthetic, ecological, and recreational uses of public and private lands.
Prerequisite:	TSI ELAR (Reading and Writing)
requirement met
Type:	ACAD"
ELPT 1321,Introduction to Electrical Safety,3,"Introduction to Electrical Safety and Tools Safety rules and regulations. Includes the selection, inspection, use, and maintenance of common tools for electricians.
Prerequisite:	None Type:	TECH"
ELPT 1325,National Electrical Code I,3,"An introductory study of the National Electrical Code (NEC) for those employed in fields requiring knowledge of the Code. Emphasis on wiring design, protection, methods and materials, equipment for general use, and basic calculations.
Prerequisite:	None Type:	TECH"
ELPT 1329,Residential Wiring,3,"Wiring methods for single family and multi- family dwellings. Includes load calculations, service	entrance	sizing,	proper	grounding techniques, and associated safety procedures. Prerequisite:	None
Type:	TECH"
ELPT 1345,Commercial Wiring,3,"Commercial wiring methods. Includes overcurrent protection, raceway panel board installation, proper grounding techniques, and associated safety procedures.
Prerequisite:"
ELPT 1357,Industrial Wiring,3,"Wiring methods used for industrial installations. Includes motor circuits, raceway and bus way installations, proper grounding techniques, and associated safety procedures.
Prerequisite:"
ELPT 2305,Motors and Transformers,3,"Operation of single and three-phase motors and transformers. Includes transformer banking, power factor correction and protective devices. Prerequisite:"
ELPT 2325,National Electrical Code II,3,"In-depth coverage of the National Electrical Code (NEC) for those employed in fields requiring knowledge of the Code. Emphasis on wiring protection and methods, special conditions, and advanced calculations.
Prerequisite:"
