code,title,credit,description
ACCT 2301,Principles of Financial Accounting,3,"This course covers the fundamentals of financial accounting, including double-entry accounting and the accounting cycle. Other topics include cash, receivables, inventories, plant assets, liabilities, partnerships, corporation, investments, statements of cash flows and interpretation of financial statements."
ANTH 2101,Physical Anthropology (Lab),1,"Physical Anthropology (lecture) and includes demonstrations of the major principese of the lecture course. This course is a 1-unit laboratory course. Students use physical anthropological methods and tools to solve problems in the areas of genetics, human variation, human osteology, primate biology and behavior, and human evolution. A problem solving approach is stressed in applying scientific fundamentals including the techniques of observation, measurement, and critical thinking."
ANTH 2302,Introduction to Archaeology,3,"The study of the human past through material remains. The course includes a discussion of methods and theories relevant to archeological inquiry. Topics may include the adoption of agriculture, response the environmental change, the emergence of complex societies, and ethics in the discipline."
ANTH 2301,Physical Anthropology (Lecture),3,"The study of human origins and bio-cultural adaptations. Topics may include primatology, genetics, human variation, forensics, health, and ethics in the discipline. Physical Anthropology explores the relationship between culture and biology through the methods, theory and research of biological anthropology. Students learn about basic mechanisms of genetic change in populations and the relationships between humans and the other primates. The appearance of humans and their bipedal ancestors approximately four million years ago and their culture through the Paleolithic age are examined in detail. Students learn about biological variation and adaptation in human populations, responses to the environment, race, and other issues and their applications."
ANTH 2346,General Anthropology,3,"The study of human beings, their antecedents, related primates, and their cultural behavior and institutions. Introduces the major subfields: physical and cultural anthropology, archeology, linguistics, their applications, and ethics in the discipline. This introductory survey of the four subfields of anthropology focuses on the cultural and biological diversity of humans including hominin prehistory, the emergence of Paleolithic cultures, and the agricultural and urban revolutions from an anthropological perspective. Past and present human adaptations and culture are surveyed and analyzed using the comparative and holistic approach of biological anthropology, archaeology, linguistics and ethnology."
SCIT 1320,Physics for Allied Health,3,"An introduction to physics with emphasis on applications to health related fields of study. Topics include forces, motion, work and energy, fluids, heat, electricity and magnetism, wave motion, sound, electromagnetic radiation, and nuclear radiation."
AGRI 1309,Computers in Agriculture,3,"Use of computers in agricultural applications. Introduction to programming languages, word processing, electronic spreadsheets and agricultural software."
ANTH 2351,Cultural Anthropology,3,"This course focuses on culture, the ways people live and give meaning, form and organization to their lives as they adapt to various environments and conditions both in and beyond the borders of the U. S. Study of the descriptions and analysis of cultural diversity provide the basis for evaluating cultural components of everyday life including recognition of ethnocentrism, intercultural communication and understanding local and global culture in a multicultural and transforming world."
SCIT 1408,Applied Human Anatomy and Physiology II,4,"A continuation of Applied Human Anatomy and Physiology I designed for students considering a career in the health field. The following body systems are included: digestive, respiratory, cardiovascular, lymphatic/immune, renal/excretory, and reproductive. Emphasis is on homeostasis."
ANTH 2389,Academic Cooperative in Anthropology,3,"An instructional program designed to integrate on-campus study with practical hands-on experience in anthropology. In conjunction with class seminars, the individual student will set specific goals and objectives in the study of human culture and social behavior and/or institutions and processes."
ACNT 2382,Cooperative Education-Accounting Technology/Technician and Bookkeeping,3,". Career related activities encountered in the student’s area of specialization are offered through a cooperative agreement between the college, employer, and student. Under supervision of the college and the employer, the student combines classroom learning with work experience. Directly related to a technical discipline, specific learning objectives guide the student through the paid work experience. Blend of academic and work-related activities in student’s major."
ACNT 2333,Advanced Accounting,3,"Methods of measuring and communicating economic information, including consolidated statements, partnerships, real estate, foreign operations, and fund units."
ACNT 2309,Cost Accounting,3,"A study of budgeting and cost control systems including a detailed study of manufacturing cost accounts and reports, job order costing, and process costing. Includes introduction to alternative costing methods such as activity-based and just-in-time costing. Coverage also includes historical cost systems, work-in-process inventories, material and labor control, multiple products, budgeting, applying overhead, standard costs, direct costing, evaluating profit performance, and distribution costs."
ACNT 2331,Internal Control and Auditing,3,"A study of internal control and auditing standards and processing used by internal auditors, managers, and independent public accountants."
ACNT 2304,Intermediate Accounting II,3,"Continued in-depth analysis of generally accepted accounting principles underlying the preparation of financial statements including comparative analysis and statement of cash flows. Topics also included are bonds, leases, pension plans, corporate paid-in- capital, special purpose securities, retained earnings, tax allocation, inflation accounting, funds statement, and financial statement analysis."
ACNT 2330,Governmental and Not-for-Profit Accounting,3,"Basic concepts and techniques of fund accounting, financial reporting for governmental and not-for-profit entities. Accounting cycle for funds and account groups and related financial statements."
MUSC 1396,Special Topics in Recording Arts Technology / Technician: Advanced Mixing and Mastering in Protocols,3,"Topics address advanced mixing and mastering concepts within the Protocols digital software environment. Topics include analysis of mixes by genre, use of advanced effects processing to emphasize depth, clarity, and frequency balance, and time-based editing processes such as time stretching. Students will also practice software-based mastering techniques to optimize mixes for various digital distribution methods."
MUSC 1350,Remixing,3,Basic techniques necessary to produce finished remixes of previously recorded musical compositions. Includes using audio and MIDI “beats” and “loops.”
