code,title,credits,description
ACC 1301,Accounting for Non-Business Majors,0,"The course will provide a working knowledge of financial statements, the accounting process and budgeting for non-business majors desirous of understanding how accounting is used in business operations, as well as to know how accounting and accounting reports are used by investors and other business stakeholders in their decision making process."
AA 3310,Administering Organizational Change,0,Change is the only constant facing an administrator. The accepted ways of reorganizing change and modifying the organization’s position and behavior to gain the most from change is the focus of this course.
AA 4303,Economics for Administrators,3,A study of economics and its role in administrative decision-making. The course is focused on individuals and institutions in the global economic environment.
AA 4308,Global Economic Environment,8,"The study of economic issues and policies generated by globalization. The course is focused on economic theoretical concepts, the effects of globalization on modern economic and financial issues, and the effects of globalization on industrial and public sector policies in developed and developing economies."
AA 4307,Network Security Administration,7,"This course provides a strategic overview of network security administration, as it relates to the total organization."
AA 3308,Negotiation and Mediation,8,"This course examines the nature of conflict and the methods to resolve conflict with an emphasis on collaborative problem solving and mediation. The theory and practice of negotiation are also studied, and students are given the opportunity to practice negotiation and mediation techniques through case study. Ethical decision making throughout these processes is addressed."
AA 4301,Administering Budgets and Cost Centers,1,"This course focuses on aspects of constructing and monitoring budgets, including appropriate actions and their effectiveness. It also includes relevant cost concepts for various types of institutions."
AA 4380,Field Experience in Applied Administration,0,"For more information and qualification, see Field Experience in the Applied Administration section of this catalog and/or the BAASAA director."
AA 4306,Administration of Technological Resources,6,An examination of the tools and methods used to manage the technological resources of the enterprise.
AA 3306,Decision Making Skills for Administrators,6,"This course emphasizes the study of important decision-making tools and their uses by administrators for planning and controlling purposes, both in public and private sector organizations."
AA 4305,Project Administration,5,"The capstone course in applied administration emphasizing the study of risk assessment and administrative techniques, methods, and models used to minimize and control risks in a high technology organizational environment. Comprehensive cases provide the opportunity to study proper interrelationships among project administration, organizational strategy, leadership, decision making, program scheduling, human resources, and cost risks."
AA 3307,Administrative Leadership,7,"This course examines the nature and scope of leadership as it relates to administration and direction of the workforce. The techniques for leadership, empowerment and team building are emphasized."
AA 3305,Human Resource Administration,5,This course examines the major trends in human resources including problems and issues faced by organizations and individuals in the public and private sector. Responsibilities of the human resources department and the roles of administrators and clients of the human resources department are emphasized.
AA 3303,Information Technology Administration,3,
AA 3302,Administrative Communication,2,
AA 3304,Budgeting for Administrators,4,"The use of accounting and budgeting information for non-financial administrators in public and private sector organizations. Emphasis is placed on the interpretation, analysis, and reporting of accounting information rather than its preparation. This course will utilize the tools necessary to sustain and enhance the organization’s performance and competence through the use of research, compliance, and application of financial information."
ART 3302,History of Modern Art,0,"A survey of world art from the Revolutionary Period (late 18th century) to contemporary times, including such artistic movements as Neoclassicism, Romanticism, Impressionism, Cubism, Surrealism and Pop Art."
ART 3301,Major Developments in the History of Art,0,"Prerequisite(s): 3 hours of art or art history, or junior standing. May be repeated for credit when topic changes."
ART 2390,Special Topics in Studio Art,9,"The course is intended as an introductory course exposing students to alternative media not standard in the UHD catalog course offerings in studio art such as ceramics, printmaking, or sculpture. Students will expand their art making skills as they learn alternate practices and develop their ideas through the incorporation of new processes and media."
ART 2308,Figure Drawing II,0,". Figure Drawing II expects the student to have a basic ability to render the figure proportionately and a basic understanding of drawing materials (charcoal and pencil) and their use in creating values that mimic three dimensional shapes. Figure Drawing II will further the student’s repertoire of materials to include ink and ink wash, drawing on toned paper with white and black pigments, and may include an introduction to color. The course is centered on direct observation of live models during class time."
ART 2307,Watercolor Painting II,0,"This course will explore the advanced techniques and materials used in watercolor painting. Emphasis on transparent application, flat brush, graded wash, dry brush, wet on wet techniques and paper preparations."
ART 2306,Watercolor Painting I,0,"This course will explore the basic techniques and materials used in watercolor painting. Emphasis on transparent application, flat brush, graded wash, dry brush, wet on wet techniques and paper preparations."
ART 2305,Film Appreciation,0,"An overview of film as a communication and esthetic medium. Films are studied for their artistic and cultural significance, and for the communication strategies they use. Topics include film genres, sound and graphics, imagery, symbolism, cultural contexts for film, and film criticism."
