code,title,credit,description
ARTS 2316,Painting I,3,Exploration of ideas using painting media and techniques.
TECM 1303,Technical Mathematics,3,"Specific mathematical calculations required by business and industry; Includes whole numbers, fractions, mixed numbers, decimals, percents, ratios, and proportions. Also covers converting to different units of measure (standard and/or metric). Solve business/industry problems using addition, subtraction, multiplication, and division; convert between whole numbers, fractions, mixed numbers, and decimals; perform calculations involving percents, ratios, and proportions; and convert numbers to different units of measurement (standard and/or metric)."
ARTS 1316,Drawing I,3,"A foundation studio course exploring drawing with emphasis on descriptive, expressive and conceptual approaches."
ARTS 1311,Design I,3,"An introduction to the fundamental terminology, concepts, theory, and application of two-dimensional design."
ARTS 1304,Art History II,3,A chronological analysis of the historical and cultural contexts of the visual arts from the 14th century to the present day.
ARTS 1312,Design II,3,"An introduction to the fundamental terminology, concepts, theory, and application of three-dimensional design."
ARTS 1317,Drawing II,3,"A studio course exploring drawing with continued emphasis on descriptive, expressive and conceptual approaches."
ARTS 1301,Art Appreciation,3,"A general introduction to the visual arts designed to create an appreciation of the vocabulary, media, techniques, and purposes of the creative process."
ARTS 1303,Art History I,3,A chronological analysis of the historical and cultural contexts of the visual arts from prehistoric times to the 14th century.
ACNT 1311,Introduction to Computerized Accounting,3,"Introduction to utilizing QuickBooks to maintain accounting records, make management decisions, and process common business applications with primary emphasis on a general ledger package."
ACNT 1403,Introduction to Accounting I,4,"A study of analyzing, classifying, and recording business transactions in a manual and computerized environment. Emphasis on understanding the complete accounting cycle and preparing financial statements, bank reconciliations, and payroll."
ACCT 2301,Principles of Financial Accounting,3,"This course is an introduction to the fundamental concepts of financial accounting as prescribed by U.S. generally accepted accounting principles (GAAP) as applied to transactions and events that affect business organizations. Students will examine the procedures and systems to accumulate, analyze, measure, and record financial transactions. Students will use recorded financial information to prepare a balance sheet, income statement, statement of cash flows, and statement of shareholders’ equity to communicate the business entity’s results of operations and financial position to users of financial information who are external to the company. Students will study the nature of assets, liabilities, and owners’ equity while learning to use reported financial information for purposes of making decisions about the company. Students will be exposed to International Financial Reporting Standards (IFRS)."
CJLE 1325,Criminal Justice Survey,3,An overview of criminal justice agencies with an emphasis on preparation for law enforcement licensure.
ACCT 2302,Principles of Managerial Accounting,3,"This course is an introduction to the fundamental concepts of managerial accounting appropriate for all organizations. Students will study information from the entity’s accounting system relevant to decisions made by internal managers, as distinguished from information relevant to users who are external to the company. The emphasis is on the identification and assignment of product costs, operational budgeting and planning, cost control, and management decision making. Topics include product costing methodologies, cost behavior, operational and capital budgeting, and performance evaluation."
BUSI 1301,Business Principles,3,"This course provides a survey of economic systems, forms of business ownership, and considerations for running a business. Students will learn various aspects of business, management, and leadership functions; organizational considerations; and decision-making processes. Financial topics are introduced, including accounting, money and banking, and securities markets. Also included are discussions of business challenges in the legal and regulatory environment, business ethics, social responsibility, and international business. Emphasized is the dynamic role of business in everyday life."
CDEC 1356,Emergent Literacy for Early Childhood,3,"An exploration of principles, methods, and materials for teaching language and literacy through a play-based integrated curriculum to children from birth through age eight. The student will define literacy and emergent literacy; analyze theories of language development; describe the teacher’s role in promoting emergent literacy; and create literacy environments and experiences for children."
CDEC 1318,Wellness of the Young Child,3,"Factors impacting the well-being of young children. Includes healthy behavior, food, nutrition, fitness, and safety practices. Focuses on local and national standards and legal implications of relevant policies and regulations. Course content is aligned with State Board of Educator Certification Pedagogy and Professional Responsibilities standards. Requires students to participate in a minimum of 16 hours field experience with children from infancy through age 12 in a variety of settings with varied and diverse populations."
CDEC 1321,The Infant and Toddler,3,"A study of appropriate infant and toddler programs (birth to age 3), including an overview of development, quality routines, learning environments, materials and activities, and teaching/guidance techniques. The student will summarize prenatal development and the birth process; discuss theories of development as they apply to infants and toddlers; outline growth and development of children from birth to age 3; analyze components of teacher/child interactions and positive guidance techniques; design learning environments; and select materials and activities for infants and toddlers."
BIOL 2420,Microbiology for Non-Science Majors,4,"This course covers basic microbiology and immunology and is primarily directed at pre-nursing, pre-allied health, and non-science majors. It provides an introduction to historical concepts of the nature of microorganisms, microbial diversity, the importance of microorganisms and acellular agents in the biosphere, and their roles in human and animal diseases. Major topics include bacterial structure as well as growth, physiology, genetics, and biochemistry of microorganisms. Emphasis is on medical microbiology, infectious diseases, and public health."
CDEC 1319,Child Guidance,3,"An exploration of guidance strategies for promoting prosocial behaviors with individual and groups of children. Emphasis on positive guidance principles and techniques, family involvement, and cultural influences. The student will describe theories related to child guidance; explain how guidance promotes autonomy, self-discipline, and pro-social skills; identify familial and cultural influences on child guidance; and apply guidance techniques."
CDEC 1313,Curriculum Resources for Early Childhood Programs,3,"A study of the fundamentals of developmentally appropriate curriculum design and implementation in early care and education programs for children birth through age eight. The student will define developmentally appropriate practices; describe the process of child-centered curriculum development; develop guidelines for creating learning environments; describe teacher roles in early childhood classrooms; prepare a developmentally appropriate schedule including routines and transitions; and select, plan, implement, and evaluate developmentally appropriate learning experiences for children."
CDEC 1311,Educating Young Children,3,"An introduction to the education of the young child. Includes developmentally appropriate practices and programs, theoretical and historical perspectives, ethical and professional responsibilities, and current issues. Course content is aligned with State Board for Educator Certification Pedagogy and Professional Responsibilities standards. Requires students to participate in a minimum of 16 hours of field experience with children from infancy through age 12 in a variety of settings with varied and diverse populations."
TECA 1354,Child Growth and Development,3,"A study of the physical, emotional, social, and cognitive factors impacting growth and development of children through adolescence."
