code,title,credit,description
ARTS 2311,Design III (Color Theory),3,"Studio art course that is a theoretical and practical study of color and composition in art  aspects of color. The course also examines the functions of color in art from different. historical and cultural perspectives. An advanced exploration of studio processes with individual expression will be emphasized. "
ARCE 2352,"Mechanical, Electrical, and Plumbing (MEP) Systems",3,"Preparation of drawings for mechanical, electrical, and plumbing (MEP) systems with emphasis on applicable building and energy codes, product references, and specifications for construction."
ARTS 1316,Drawing I,3,"A foundation studio course exploring drawing with emphasis on descriptive, expressive and conceptual approaches. Students will learn to see and interpret a variety of subjects while using diverse materials and techniques. Course work will facilitate a dialogue in which students will engage in critical analysis and begin to develop their understanding of drawing as a discipline."
ARTS 1317,Drawing II,3,"A studio course exploring drawing with continued emphasis on descriptive, expressive and conceptual approaches. Students will further develop the ability to see and interpret a variety of subjects while using diverse materials and techniques. Course work will facilitate a dialogue in which students will employ critical analysis to broaden their understanding of drawing as a discipline."
ARTS 1304,Art History II (14th century to the present),3,A chronological analysis of the historical and cultural contexts of the visual arts from the 14th century to the present day.
ARTS 1311,Design I (2-Dimensional),3,"An introduction to the fundamental terminology, concepts, theory, and application of two-dimensional design."
ARTS 1301,Art Appreciation,3,"A general introduction to the visual arts designed to create an appreciation of the vocabulary, media, techniques, and purposes of the creative process. Students will critically interpret and evaluate works of art within formal, cultural, and historical contexts."
ARCE 2344,Statics and Strength of Materials,3,"The study of internal effects of forces acting upon elastic bodies and the resulting changes in form and dimensions, including units on stress, shear, bending moments, and simple beam design."
ARTS 1303,Art History I (Prehistoric to the 14th century),3,A chronological analysis of the historical and cultural contexts of the visual arts from prehistoric times to the 14th century.
ARTS 1312,Design II (3-Dimensional),3,"An introduction to the fundamental terminology, concepts, theory, and application of three-dimensional design."
ANTH 2351,Cultural Anthropology,3,"Key concepts, methods and theory in the study of cultural diversity, social institutions and culture change among world peoples."
ACNT 2336,Financial Statement Analysis,3,Financial statement analysis from a decision-maker’s perspective. This course may also be offered for qualifying education credit for CPA examinations by Texas community colleges that meet Texas State Board of Public Accountancy standards.
ARCE 1352,Structural Drafting,3,"A study of structural systems including concrete foundations and frames, wood framing and trusses, and structural steel framing systems. Includes detailing of concrete, wood, and steel to meet industry standards including the American Institute of Steel Construction and The American Concrete Institute."
ACNT 2311,Managerial Accounting,3,"A study of practical applications of accounting with emphasis on cost behavior, capital management decisions, budgeting, financial statement analysis, and income tax effects."
ACNT 1329,Payroll and Business Tax Accounting,3,"A study of payroll procedures, taxing entities, and reporting requirements of local, state, and federal taxing authorities in a manual and computerized environment."
ACNT 1340,Accounting and Business Ethics,3,"Ethical standards and behaviors, codes of professional conduct, and the impact of unethical behavior on an individual, business, and society."
CHEM 1111,General Chemistry I Laboratory,1,Grade of C or better in high school chemistry or grade of C or better in  as a laboratory science is contingent upon successful completion of CHEM 1112. s
CHEM 1112,General Chemistry II Laboratory,1,Grade of C or better in as a laboratory science is contingent upon successful completion of CHEM 1112.
CHEM 1305,Introductory Chemistry,3,A study of basic organic and inorganic chemistry with special emphasis placed on practical applications of chemistry. Designed for students with no previous background in chemistry.
CHEM 1105,Introductory Chemistry Laboratory,1,"Successful completion of, or concurrent enrollment in as a laboratory science is contingent upon successful completion of CHEM 1112."
CETT 1325,Digital Fundamentals,3,"An entry-level course in digital electronics covering number systems, binary mathematics, digital codes, logic gates, Boolean algebra, Karnaugh maps, and combinational logic. Emphasis on circuit logic analysis and troubleshooting digital circuits. Includes asynchronous and synchronous logic as utilized in various decoders, registers, adders, and other digital computer circuits. Hands-on circuit implementation techniques are also covered."
CDEC 2380,Cooperative Education III - Teaching Methods,3,"Early childhood provider career-related activities encountered in the student’s area of specialization offered through an individualized agreement among the college, employer, and student. Under the supervision of the college and the employer, the student combines classroom learning with work experience. Includes a lecture component."
CDEC 2324,Child Development Associate Training III,3,"Continuation of the requirements for the Child Development Associate National Credential (CDA). Three of the 13 functional areas of study include family, program management, and professionalism."
CDEC 2322,Child Development Associate Training II,3,"A continuation of the study of the requirements for the Child Development Associate National Credential (CDA). The six functional areas of study include safe, healthy, learning environment, self, social, and guidance."
CDEC 2326,Administration of Programs for Children,3,"Application of management procedures for early child care education programs. Includes planning, operating, supervising, and evaluating programs. Topics cover philosophy, types of programs, policies, fiscal management, regulations, staffing, evaluation, and communication."
CDEC 2307,Math and Science for Early Childhood,3,"An exploration of principles, methods, and materials for teaching children math and science concepts and process skills through discovery and play."
CDEC 1381,Cooperative Education II - Curriculum Methods,3,"Early childhood provider career-related activities encountered in the student’s area of specialization offered through an individualized agreement among the college, employer, and student. Under the supervision of the college and the employer, the student combines classroom learning with work experience."
CDEC 1380,Cooperative Education I- Child Care and Development,3,"Early childhood provider career-related activities encountered in the student’s area of specialization offered through an individualized agreement among the college, employer, and student. Under the supervision of the college and the employer, the student combines classroom learning with work experience."
CDEC 1354,Child Growth and Development,3,"A study of the principles of child growth and development from conception though adolescence. Focus on physical, cognitive, social, and emotional domains of development."
CDEC 1319,Child Guidance,3,"An exploration of guidance strategies for promoting pro-social behaviors with individual and groups of children. Emphasis on positive guidance principles and techniques, family involvement and cultural influences. Practical application through direct participation with children."
CDEC 1321,The Infant and Toddler,3,"A study of appropriate infant and toddler programs (birth to age 3), including an overview of development, quality routines, appropriate environments, materials and activities, and teaching/guidance techniques."
CDEC 1356,Emergent Literacy for Early Childhood,3,"An exploration of principles, methods, and materials for teaching young children language and literacy through a play-based integrated curriculum."
CDEC 1318,Wellness of the Young Child,3,"Factors impacting the well-being of young children. Includes healthy behavior, food, nutrition, fitness, and safety practices. Focuses on local and national standards and legal implications of relevant policies and regulations. Course content is aligned with State Board of Educator Certification Pedagogy and Professional Responsibilities standards. Requires students to participate in a minimum of 15 hours field experience with children from infancy through age 12 in a variety of settings with varied and diverse populations."
CDEC 1317,Child Development Associate Training I,3,"Based on the requirements for the Child Development Associate National Credential (CDA). Topics on CDA overview, general observation skills, and child growth and development overview. The four functional areas of study are creative, cognitive, physical, and communication."
CDEC 1303,"Families, School, and Community",3,"Study of the child, family, community, and schools. Includes parent education and involvement, family and community lifestyles, child abuse, and current family life issues. Course content is aligned with State Board for Educator Certification Pedagogy and Professional Responsibilities standards. Requires students to participate in a minimum of 15 hours field experience with children from infancy through age 12 in a variety of settings with varied and diverse populations."
CDEC 1313,Curriculum Resources for Early Childhood Programs,3,A study of the fundamentals of curriculum design and implementation in developmentally appropriate programs for children.
CDEC 1311,Educating Young Children,3,"An introduction to the education of the young child. Includes developmentally appropriate practices and programs, theoretical and historical perspectives, ethical and professional responsibilities, and current issues. Course content is aligned with State Board for Educator Certification Pedagogy and Professional Responsibilities standards. Requires students to participate in a minimum of 15 hours of field experience with children from infancy through age 12 in a variety of settings with varied and diverse populations."
BUSI 2305,Business Statistics,3,"Descriptive and inferential statistical techniques for business and economic decision-making. Topics include the collection, description, analysis, and summarization of data; probability; discrete and continuous random variables; the binomial and normal distributions; sampling distributions; tests of hypotheses; estimation and confidence intervals; linear regression; and correlation analysis. Statistical software is used to analyze data throughout the course."
DRAM 2362,History of the Theater II,3,College-level reading and writing.
DRAM 2361,History of the Theater I,3,College-level reading and writing.
DRAM 2355,Script Analysis,3,"Examination of foundational skills for understanding the structure and content of play scripts for interpretation and conceptualization in theater productions by directors, designers, actors, and technicians. Introduces students to significant plays in the history of dramatic literature in the playwright’s social and cultural context."
DRAM 2336,Voice for the Actor: Voice Acting,3,"This class focuses on development of voice-acting technique, including animation, industrial, and commercial. Students will focus on principles, practices, and awareness, relaxation, freedom, flexibility and expressiveness in the actor’s vocal instrument"
DRAM 2331,Stagecraft II,3,"Continued study and application of the methods and components of theatrical production that may include one or more of the following: theater facilities, scenery construction and painting, properties, lighting, costume, makeup, sound and theatrical management."
DRAM 2120,Theatre Practicum III,1,Practicum in theater open to all students with emphasis on technique and procedures with experience gained in play productions.
DRAM 2121,Theatre Practicum IV,1,Practicum in theater open to all students with emphasis on technique and procedures with experience gained in play productions.
DRAM 1352,Acting II,3,"Exploration and further training within the basic principles and tools of acting, including an emphasis on critical analysis of oneself and others. The tools include ensemble performing, character and script analysis, and basic theater terminology. This will continue the exploration of the development of the actor’s instrument: voice, body and imagination."
DRAM 1342,Costume Technology,3,"Introduction to the process and application of the fundamental skills of costume production, modification, and maintenance."
DRAM 1351,Acting I,3,"An introduction to the fundamental principles and tools of acting as used in auditions, rehearsals, and performances. This may include ensemble performing, character and script analysis, and basic theater terminology. This exploration will emphasize the development of the actor’s instrument: voice, body and imagination."
DRAM 1330,Stagecraft I,3,"Study and application of the methods and components of theatrical production that may include one or more of the following: theater facilities, scenery construction and painting, properties, lighting, costume, makeup, sound, and theatrical management."
DRAM 1310,Theater Appreciation,3,"Survey of theater including its history, dramatic works, stage techniques, production procedures, and relation to other art forms."
DRAM 1341,Stage Makeup,3,Design and execution of makeup for the stage performer. Includes discussion of makeup principles and practical experience of makeup application.
DRAM 1322,Stage Movement,3,"Principles, practices, and exercises in awareness, relaxation, freedom, flexibility, and expressiveness in the actor’s physical instrument."
DRAM 1121,Theatre Practicum II,1,Practicum in theater open to all students with emphasis on technique and procedures with experience gained in play productions.
DFTG 2380,Cooperative Education III - Drafting,3,"Career related activities encountered in the student’s area of specialization offered through an individualized agreement among the college, employer, and student. Under supervision of the college and the employer, the student combines classroom learning with work experience. Includes a lecture component."
DRAM 1120,Theatre Practicum I,1,Practicum in theater open to all students with emphasis on technique and procedures with experience gained in play productions.
DFTG 2345,Advanced Pipe Drafting,3,A continuation of pipe drafting concepts building on the basic principles acquired in pipe drafting.
DFTG 2338,Final Project - Advanced Drafting,3,A drafting course in which students participate in a comprehensive project from conception to conclusion.
DFTG 2340,Solid Modeling Design,3,A computer-aided modeling course. Development of three dimensional drawings and models from engineering sketches and orthographic drawings and utilizations of three-dimensional models in design work.
ELPT 1341,Motor Control,3,"Operating principles of solid-state and conventional controls along with their practical applications. Includes braking, jogging, plugging, safety interlocks, wiring, and schematic diagram interpretations. NCCER credit available."
HART 1401,Basic Electricity for HVAC,4,"Principles of electricity as required by HVAC, including proper use of test equipment, electrical circuits, and component theory and operation. NCCER credit available."
HART 1403,Air Conditioning Control Principle,4,A basic study of HVAC and refrigeration controls; troubleshooting of control components; emphasis on use of wiring diagrams to analyze high and low voltage circuits; a review of Ohm’s law as applied to air conditioning controls and circuits. NCCER credit available.
HART 1310,Shop Practices and Tools,3,"This course is an introduction to safety, tools, tubing operations, soldering and brazing techniques, piping and electrical soldering. Wiring practices. NCCER credit available."
HART 1281,"Cooperative Education II - Heating, Air Conditioning, and Refrigeration Technicians",2,"Career related activities encountered in the student’s area of specialization offered through an individualized agreement among the college, employer, and student. Under supervision of the college and the employer, the student combines classroom learning with work experience. Includes a lecture component."
HART 1381,"Cooperative Education II - Heating, Air Conditioning, and Refrigeration Technicians",3,"Career related activities encountered in the student’s area of specialization offered through an individualized agreement among the college, employer, and student. Under supervision of the college and the employer, the student combines classroom learning with work experience. Includes a lecture component."
HART 1380,"Cooperative Education I- Heating, Air Conditioning, and Refrigeration Technology",3,"Career related activities encountered in the student’s area of specialization offered through an individualized agreement among the college, employer, and student. Under supervision of the college and the employer, the student combines classroom learning with work experience. Includes a lecture component."
GOVT 2306,Texas Government,3,"Origin and development of the Texas constitution, structure and powers of state and local government, federalism and intergovernmental relations, political participation, the election process, public policy, and the political culture of Texas."
HART 1191,"Special Topics in Heating, Air Conditioning, and Refrigeration",1,"Topics address recently identified current events, skills, knowledge, and/or attitudes and behaviors pertinent to the technology or occupation and relevant to the professional development of the student."
GOVT 2305,Federal Government,3,"Origin and development of the U.S. Constitution, structure and powers of the national government including the legislative, executive, and judicial branches, federalism, political participation, the national election process, public policy, civil liberties and civil rights."
GEOG 1303,World Regional Geography,3,"A study of physical and human characteristics making major world regions distinctive. Emphasis is on developing a spatial perspective to address why things are located where they are, as well as to explore connections (cultural, economic, and political) between places and regions."
GEOG 1302,Cultural Geography,3,"Introduction to cultural and human geography through a study of population change, migration, language, religion, settlement patterns, economic activity, political organization, and human-environment interaction."
GEOG 1301,Physical Geography,3,"Introduction to physical geography through a study of the lithosphere (earth’s crust), the atmosphere (air), the hydrosphere (water), and the biosphere (living organisms)."
FREN 2312,Intermediate French II,3,"Review and application of skills in listening comprehension, speaking, reading, and writing. Emphasizes conversation, vocabulary acquisition, reading, composition, and culture."
FREN 1412,Beginning French II,4,"Fundamental skills in listening comprehension, speaking, reading, and writing. Includes basic vocabulary, grammatical structures, and culture."
FREN 2311,Intermediate French I,3,"Review and application of skills in listening comprehension, speaking, reading, and writing. Emphasizes conversation, vocabulary acquisition, reading, composition, and culture."
EPCT 2431,Industrial Hygiene Applications,4,"A study of the industrial environment and its relation to worker’s health. This course provides training in anticipation, recognition, evaluation, and controlling health hazards-particularly chemical, physical, biological, and ergonomic factors existing in the workplace and having injurious effects on workers. The course also introduces training in instrumentation used in monitoring and measuring health hazards in the workplace and covers current issues in industrial hygiene."
FREN 1411,Beginning French I,4,"Fundamental skills in listening comprehension, speaking, reading, and writing. Includes basic vocabulary, grammatical structures, and culture."
EPCT 2333,Environmental Toxicology,3,"A review of the research determining the systematic health effects of exposures to chemicals. Discussion of risk factors, routes of entry, control measures, and acute and chronic effects."
EPCT 2459,Risk Analysis and Site Survey,4,Required techniques to perform risk analysis and site survey activities. Includes research of required documentation for site document presentation. Also covers Phase I and II site survey guidelines as defined by ASTM-E1527/E1528 and the Environmental Protection Agency (EPA). Comprehensive Environmental Response Compensation and Liability Act (CERCLA/Superfund) guidelines will be used.
EPCT 2300,DOT Regulations,3,"A detailed study of United States Department of Transportation regulations with emphasis on identifying applicable regulations recommending compliance strategies in the transport of dangerous and hazardous materials. Examination of the regulatory requirements for employees and employers involved in all modes of transportation, including road, rail, aircraft, and vessel. Designed for students working with safety and regulatory issues of pipelines, railcars and tanker trucks."
EPCT 1344,Environmental Sampling and Analysis,3,"Sampling protocol, procedures, quality control, preservation technology, and field analysis. Emphasis on analysis commonly performed by the field technician."
EPCT 1440,Industrial Chemical Processes,4, "An overview of chemical processes used in the chemical industry."
EPCT 1441,Principles of Industrial Hygiene,4,"Basic concepts in threshold limits, dose response, and general recognition of occupational hazards, including sampling statistics, calibration, and equipment use. A study of the control of occupational hazards and sample collection and evaluation methods."
EPCT 1347,Waste Minimization and Pollution Prevention,3,"Exploration of the options available for source reduction, waste minimization, and pollution prevention including regulatory standards applicable to these activities. This course is designed for persons who have process control responsibilities to explore best practices in the chemical and process control industry for waste prevention and control."
EPCT 1305,Environmental Regulations Overview,3,"An introduction to the history of the environmental movement, including basic requirements for compliance with environmental regulations. This course is designed to review the codes in some detail and will focus on the specific regulations governing air emissions, waste water discharges, hazardous waste disposal, toxic substance control, and the cleanup of old disposal sites."
EPCT 1311,Introduction to Environmental Science,3,"A foundation course for environmental studies, this course will provide an overview of environmental science and current global concerns, a brief history of environmental ethics, resource use, and conservation, and a discussion of fundamental principles of resource economics and environmental health."
INTC 1441,Principles of Automatic Control,4,"Theory of control room operations, automatic control systems and design, closed loop control systems, recorders, controllers, positioners, feedback, on/off control, proportional, reset and rate responses, ratio and cascade controllers, including both pneumatic and electronic systems."
MATH 1324,Finite Mathematics,3,"Applications of algebra, including linear systems, matrices, linear programming, probability, statistics, and interest calculation. TI-83 graphing calculator required unless otherwise noted by instructor."
MATH 1314,College Algebra,3,"Complex numbers; solution of equations and inequalities; graphing techniques; functions including polynomial, rational, exponential, and logarithmic; systems of equations; theory of equations, applications of algebra. TI-83 graphing calculator required unless otherwise noted by instructor."
MATH 1316,Trigonometry,3,"A study of the trigonometric functions. Includes definitions of trigonometric functions as functions of angles and of real numbers, identities, solutions to equations, graphing, inverse functions, and applications of trigonometry to solving triangles. TI-83 graphing calculator required unless otherwise noted by instructor."
MATH 0372,Foundations of Algebra,3,This course develops math reasoning and problem solving through the study of basic algebra with the intent to prepare students for College Algebra. The course reinforces strategies that are specific to becoming a successful math student. A graphing calculator may be required in this course.
MATH 0471,Foundations of Mathematics,4,This course introduces mathematical reasoning and problem solving through the study of arithmetic. The course includes activities and strategies that are specific to becoming a confident math student. Calculators are not allowed in this course.
MATH 0172,Foundations of Algebra Corequisite,1,This course provides students with supplementary support while taking MATH 0372: Foundations of Algebra.
MATH 0152,College Level Mathematics Corequisite,1,"Enrollment in this course is limited to students enrolling in a college level section that doesn’t have a paired corequisite. Students should consult with a counselor, advisor, or coach prior to enrollment."
MATH 0142,Statistics Corequisite,1,This course provides students with supplementary support while taking MATH 1342: Statistics. Enrollment is limited to students who are TSI liable.
MATH 0132,Quantitative Reasoning Corequisite,1,This course provides students with supplementary support while taking MATH 1332: Quantitative Reasoning. Enrollment is limited to students who are TSI liable.
MATH 0124,Finite Mathematics Corequisite,1,This course provides students with supplementary support while taking MATH 1324: Finite Mathematics. Enrollment is limited to students who are TSI liable.
ITSY 2386,Internship - Computer and Information Systems Security,3,"A work-based learning experience that enables the student to apply specialized occupational theory, skills and concepts. A learning plan is developed by the college and the employer."
MATH 0114,College Algebra Corequisite,1,This course provides students with supplementary support while taking MATH 1314: College Algebra. Enrollment is limited to students who are TSI liable.
ITSY 2359,Security Assessment and Auditing,3,"Comprehensive experience for the security curriculum. Synthesizes technical material covered in prior courses to monitor, audit, analyze, and revise computer and network security systems that ensure appropriate levels of protection are in place to assure regulatory compliance."
ITSY 2343,Computer System Forensics,3,In-depth study of system forensics including methodologies used for analysis of computer security breaches. Collect document and evaluate evidence to perform postmortem analysis of a security breach.
ITSY 2341,Security Management Practices,3,"In-depth coverage of security management practices, including asset evaluation and risk management; cyber law and ethics issues; policies and procedures; business recovery and business continuity planning; network security design; and developing and maintaining a security plan."
ITSY 2342,Incident Response and Handling,3,"In-depth coverage of incident response and incident handling, including identifying sources of attacks and security breaches; analyzing security logs; recovering the system to normal; performing postmortem analysis; and implementing and modifying security measures."
ITSY 2301,Firewalls and Network Security Design,3,"Identify elements of firewall design, types of security threats and responses to security attacks. Use Best Practices to design, implement, and monitor a network security plan. Examine security incident postmortem reporting and ongoing network security activities."
ITSY 2330,Intrusion Detection,3,"Computer information systems security monitoring, intrusion detection, and crisis management. Includes alarm management, signature configuration, sensor configuration, and troubleshooting components. Emphasizes identifying, resolving, and documenting network crises and activating the response team."
ITSY 1342,Information Technology Security,3,"Instruction in security for network computer hardware, software, virtualization, and data, including physical security; backup procedures; relevant tools; encryption; and protection from viruses. Topics may adapt to changes in industry practices."
