code,title,credit,description
AG 107,Microcomputers in Agriculture,3,"This course will enable the student to learn the various uses of microcomputers in agriculture and ag-related areas. The student will study the application of microcomputer technology to agriculture business planning, record keeping, problem solving, and general management decisions using basic computer functions."
AG 102,Principles of Animal Science (O),3,"This course will enable the student to understand basic principles in the areas of animal agriculture to include types, purposes, and products of livestock, breeding, nutrition, growth, lactation, reproduction, management, and marketing."
AR 100,"Art Appreciation  (O, T►)",3,"AR 100. Art Appreciation. 3 credit hours. This course will enable the student to become acquainted with the many aspects of the visual arts. The student will develop a personal set of standards for judging art and understanding the various aspects of art. The student will explore the various technical and formal aspects of art media (e.g. painting, printmaking, photography, sculpture, architecture, etc.), and the history of art from ancient times to the present. The learning outcomes and competencies detailed in this outline meet or exceed the learning outcomes and competencies specified by the Kansas Core Outcomes Project for this course, as approved by the Kansas Board of Regents (Transfers as ART1010)."
AG 108,Feeder Livestock Production Management,3,"This course will enable the student to study, explore, and implement the principles related to effectively managing feeder livestock."
AG 109,Breeding Livestock Production Management,3,"This course will enable the student to develop production techniques related to breeding livestock. The student will study reproduction, nutrition, selection, handling, housing, and husbandry practices of livestock."
AH 202,Health Professions Medical Terminology 2 (O),1,"This course will enable the student involved with health care professions to continue to construct, deconstruct, define, spell, and pronounce medical terms from prefixes, suffixes, word roots, and combining forms utilizing various methods of research. The student will acquire tools needed for building a medical vocabulary within the context of the structure and function of the body systems."
AH 225,Operator Training for Assisted Living.,3,This course will enable the student to analyze and apply acquired knowledge and concepts of assisted living principles to a practical setting. The student will develop knowledge and an appreciation of interpersonal skills. The student will learn to solve problems and work as a part of the health care team. The student will prepare to take the Operator state examination approved by Health Occupations Credentialing (HOC). The state requires the student to be at least 21 years of age to take the Operator state examination administered on the last day of class.
BA 130,"Financial Accounting (O, T►)",4,"This course will enable the student to analyze and journalize business transactions, prepare and analyze financial statements, and evaluate the quality of business decisions in an ethical context. The student will learn the concepts and principles underlying the measurement of profit and financial position."
BA 115,Business Law 1 (O) T►,3,"This course will enable the student to explore the evolution of law, the judicial system, and contract law. The student will use analysis principles to analyze business law case studies."
BA 112,"Personal Finance (O, T►)",3,"This course will enable the student to understand the principles and practices of money management, consumer credit, savings, investments, taxation, and consumer protection."
BA 110,"Introduction to Business (O, T►)",3,"This course will enable the student to learn about the foundational areas of a business, including entrepreneurship, small business management, marketing, accounting, and finance, and their importance to a successful business. The student will also learn about the roles of ethics, social responsibility, and information technology in a business."
BA 109,Entrepreneurship (O),3,"This course will enable the student to analyze and explore the issues and strategies involved in starting and managing a small business. The student will go through the steps required to develop a business plan including marketing, organizing, financing, controlling, and managing risk."
BA 103,Principles of Advertising (O),3,"This course will enable the student to analyze and explore the role of advertising in the world today and its relationship to the field of marketing. The student will analyze various types of media, consider current trends in advertising techniques and discover the importance of research planning. In addition, the student will focus on the significance of behavioral sciences and how they relate to the effectiveness of advertising."
BA 104,"Computer Concepts and Applications (O, T►)",3,"This course will enable the student to use the Windows operating system and Microsoft Office applications, including word processing, spreadsheet, database, and presentation graphics. The student will build technology literacy skills by practicing essential computer concepts."
