code,title,credit,description
ACCT 2010,Accounting Principles I (Financial Accounting),3,External uses of accounting information; interpretation of accounting data; analysis of financial statements; income and cash flow analysis; nature of assets and liabilities; understanding accounting reporting process.
AGRI 3305,Principles of Sustainable Agriculture,3,"This course will explore the basic principles of sustainable agriculture, including human and environmental influences and related theoretical and practical application of principles to sustainability. Plant physiology, management, pests, genetics, propagation, economics and other concepts will be explored. This course is equivalent to BIOL 3305. One of the courses will count towards the degree program and the other will be excluded."
AGRI 3306,Soil Science,3,"This course will explore the basic principles of soil science and soil ecology, including human and environmental influences and related theoretical and practical application of principles to agricultural production. Soil utilization, management, enhancement, economics and other concepts will be explored. This course is equivalent to BIOL 3306. One of the courses will count towards the degree program and the other will be excluded."
AGRI 3301,Greenhouse Management,3,This course will explore the basic principles of managing and maintaining a greenhouse. It will include basic selection and management of appropriate plants for greenhouses and specific types of greenhouse operations. Daily operations and industry related skills will be discussed. This course is equivalent to BIOL 3301. One of the courses will count towards the degree program and the other will be excluded.
AGRI 3303,Organic Farming and Gardening,3,"This course will explore the basic principles of organic farming, including human and environmental influences and related theoretical and practical application of principles to organic production. Plant physiology, management, pests, genetics, propagation, economics and other concepts will be explored. This course is equivalent to BIOL 3303. One of the courses will count towards the degree program and the other will be excluded."
AGRI 2900,Special Problems/Topics,1-3,
AGRI 3304,Plant Science,3,"This course will explore the basic principles of plant growth, including human and environmental influences and related theoretical and practical application of agronomic principles to crop production. Plant physiology, histology, pests, genetics, propagation, economics and other concepts will be explored. This course is equivalent to BIOL 3304. One of the courses will count towards the degree program and the other will be excluded."
ACCT 4900,Special Problems,1-3,ACCT 4900 is an undergraduate special problems course. This course requires program permission.
AGRI 3302,Community Gardening,3,"This course will explore the basic principles of gardening, including its relationship to public outreach and community development. Individuals will explore practical application of gardening and economics. Organic gardening, management, pests, and STEM education and other concepts will be explored. This course is equivalent to BIOL 3302. One of the courses will count towards the degree program and the other will be excluded."
ACCT 4800,Internship,3,"Supervised work in a job relative to student’s career objective. May be repeated, but only 3 hours may apply toward degree program credit."
ACCT 4400,Auditing Professional Responsibilities,3,"Introduction to auditing and the professional responsibilities of a career in any specialty of the accounting profession. Topics include the legal and ethical responsibilities of accountants; professional auditing standards; the acquisition, evaluation and documentation of audit evidence; reports on the results of the engagement. May not be taken more than twice at UNT Dallas."
ACCT 4420,International Accounting,3,"Integrates the functional areas of accounting and demonstrates how accounting relates to the disciplines in the College of Business Administration core. Cross-functional and global approaches to organizational issues are emphasized. Enhances the ability of students to think critically, and to develop knowledge, skills, and attitudes necessary to compete effectively in the global business world. Topics covered include: multinational strategy, global perspectives in accounting, environmental, social and political influences on accounting, accounting information systems in a multinational enterprise, performance evaluation in a multinational enterprise, and the exploration of timely topical issues such as NAFTA, the European Union, and the globalization of securities markets. May not be taken more than twice at UNT Dallas."
