code,title,credit,description
ACT 101,Financial Accounting,3,"This course offers a comprehensive study of basic accounting principles and procedures. Students record accounting transactions, prepare financial statements, apply internal controls, account for assets and liabilities, and utilize ratio analysis."
BMT 130,Social Media Marketing,3,"This course explores various activities related to social media marketing, including target market identification, identifying appropriate marketing strategies, analyzing performance metrics and using tools to manage and monitor social media activity."
BMT 203,Organizational Communications,3,"This course enables students to apply the theories and processes of successful communications. The focus is on the use of effective communications for correspondence, presentations and interviews. Students plan and execute strategies for solving communication problems within organizations."
BMT 125,Finance,3,"This course is designed to provide essential financial tools and knowledge to start or operate small business enterprises. Material covered includes financial and economic concepts, financial planning and management, the preparation and analysis of financial statements, forecasting, working capital management, capital budgeting and principles of personal finance."
BMT 127,Personal Finance,3,
BMT 205,Business Law,3,"This course presents the basic framework of commercial and administrative law. Students explore law as it relates to contracts, agency and employment, business torts and crimes, the organization of business ownership, product safety and liability, warranties, antitrust regulations, and real and personal property."
BMT 204,Supervisory Development,2,Students apply relevant theories and practices related to the effective management of people in organizations.
BMT 126,Fundamentals of Insurance,3,
BMT 160,Customer Relationship Management,3,"This course prepares students to apply positive guest service skills to both internal and external customers. Students develop communication skills, problem-solving skills, positive attitudes and behaviors, professionalism and the art of cordiality. Topics include exceeding guest expectations, handling difficult guests, resolving conflicts and analyzing guest comment cards to improve performance."
BMT 102,Marketing,3,"This course covers the various activities that are required for businesses to successfully develop their products and services, bring them to the consumer, encourage sales and secure earnings. Students analyze marketing situations and recommend an appropriate marketing strategy."
BMT 115,International Business,3,"This course examines the impact of international business on countries, small and large businesses, and individuals. The theoretical foundations of international business, culture and customs of various regions and countries, and the international business environment are explored. Students learn how business opportunities are analyzed, how market entrance approaches are determined and how the global enterprise is managed. Examples of international cooperation and controversy are integrated throughout the course."
BIO 221,Zoology,4,"This course, which is intended for science majors, offers an introduction to the study of biodiversity, structure and function of animals and animal-like protists, with an emphasis on evolutionary relationships."
BMT 101,Introduction to Business,3,This course covers the role and function of the business enterprise within the U.S. economic framework. Students explore the internal and external environments that impact business organizations and the various forms of business ownership. Students study the responsibilities of functional groups that work together to achieve business success and evaluate real-life business situations.
BIO 220,Microbiology,4,"This course offers an introduction to the biology of microorganisms with emphasis on bacteria. General principles of microbial classification, morphology, physiology and genetics are covered, including the role of microorganisms in natural and disease processes of man. Current trends and topics are discussed. Laboratory study includes the basic use of the microscope and aseptic techniques in the observation, isolation, identification and control of selected bacteria."
BIO 203,Anatomy and Physiology II,4,". The cardiovascular, lymphatic, respiratory, digestive, urinary, endocrine and reproductive systems are studied. Homeostatic relationships are stressed. Laboratory study involves gross and microscopic anatomy of these systems, with dissection and selected experiments in physiology."
CUL 211,Garde Manger,3,"This course is designed to familiarize students with cold food production in commercial restaurant operations. Students prepare marinades, cold sauces, force meats, mousses, hot and cold hors d’oeuvres, sandwiches and cold dishes using tools and equipment commonly found in commercial kitchens. Techniques in proper buffet presentation are also taught. Proper chef attire is required to be admitted into the laboratory."
CUL 224,Asian and Latin American Cuisine,3,"Students are introduced to popular dishes from Latin America and Asia, exploring similarities and differences. The emphasis is on foods that are presented in a traditional manner and then assimilated into American menus for use in area restaurants. Proper chef attire is required to be admitted into the laboratory."
BIO 202,Anatomy and Physiology I,4,"This course offers an introduction to the structure and function of the human body, including cellular biology and histology. Systematic study involves homeostatic mechanisms of the integumentary, skeletal, muscular and nervous systems, including special senses. Laboratory study encompasses gross and microscopic anatomy of these systems, with dissection and selected experiments in physiology."
