code,title,credit,description
ACC 2123,Managerial Accounting,3,"Introduction to managerial accounting. Examines the nature to cost-volume-profit analysis and product costing; budgets and standard costs in planning, control and performance measurements; and employs relevant costs and present value techniques in decision making. Prerequisite of"
ACC 2203,Intermediate Accounting I,3,"The study of financial accounting theory and practice relating to monetary assets, inventories, plant assets, intangible assets, current liabilities, contingencies, and stockholders' equity. Present value applications, and preparation of financial statements are examined. Coverage of the environment of financial accounting, the development of accounting standards, and the conceptual framework underlying financial accounting."
ACC 2213,Intermediate Accounting II,3,"The study of financial accounting theory and practice relating to the following topics: long term liabilities, dilutive securities, earning per share, investments, revenue recognition, accounting for income taxes, pension costs, leases, accounting changes, errors, and the preparation of cash flow statements. Prerequisite:"
ACC 3113,Financial Statement Analysis,3,"Financial statement analysis and interpretation from the managers', investors' and creditors' perspective. Principles of marketing, underwriting, rate making and loss adjusting. Prerequisite:"
ACC 3213,Cost Accounting,3,"Study of managerial accounting concepts in planning, control, and decision making. Emphasis on product costing methods. Cost drivers, cost-volume-profit analysis, budgets, standard costs,"
ACC 3313,Auditing,3,"The CPA profession, including professional ethics and legal liability; professional auditing standards; evidence; internal control; audit programs and procedures; audit reporting; introduction to operational auditing. Prerequisite:"
ACC 3913,Principles of Fraud Examination,3,"The course will cover all of the major methods employees use to commit occupational fraud. Students will learn how and why occupational fraud is committed, how fraudulent conduct can be deterred, and how allegations of fraud should be investigated and resolved. Prerequisite:"
ACC 4213,(Federal) Income Tax Accounting,3,"Provides an understanding of basic income tax laws applicable to individuals and sole proprietorships. Subjects covered include personal exemption, gross income, business expenses, non-business deductions, capital gains, and losses. Emphasis is on problems commonly encountered in the preparation of income and tax returns. Prerequisite:"
ACC 4313,Fund Accounting (Accounting for Non-Profit Entities),3,"Examination of accounting and financial reporting principles for nonprofit entities including state and local governmental units, colleges, hospitals, and other nonprofit organizations. Prerequisite:"
ACC 4413,Advanced Accounting,3,"Specific emphasis on business combinations and consolidated financial statements. Other topics include partnership accounting, international operations, branch accounting, segment reporting and interim statements. Prerequisite:"
ACC 4613,International Accounting,3,"Examines the nature of accounting theory and how it applies to the following basic accounting concepts, financial statements, accrual basis of accounting, the accounting cycle, monetary assets, inventories, fixed assets, current and non-current liabilities, and owner's equity. Prerequisite:"
ACC 4713,Advanced Tax Accounting,3,"Study of concepts and issues associated with corporate, partnerships, estate and gift taxation. Prerequisite:"
ACC 4813,Advanced Auditing,3,"In-depth analysis of selected advanced topics in auditing, including professional auditing standards, planning, evidence, internal control, statistical sampling, reporting, integrative audit case, operational auditing. Prerequisite:"
AIS 1013,American Indian Worldviews,3,"This course will examine the spirituality based knowledge of Indigenous peoples across North America. The philosophies, worldviews, sacred ways of knowing and relationships to the Natural World will be explored."
AIS 1103,Introduction to American Indian Studies,3,"This interdisciplinary course introduces students to the broad field of American Indian Studies. It provides a general introduction to the history, culture, social organization, political experience, spirituality, and Updated 08/01/2022 artistic expression of American Indians within North America. The topics are broken up into four different areas of AIS: 1) Introduction to Native American Cultures, Origins, and Colonization, 2) American Indian Policy and Its Effects, 3) Political and Social Issues Facing Native Americans, and 4) American Indian Art,Literature, Film, and Expression."
AIS 1133,Elementary Cherokee I,3,"Elementary Cherokee is a basic language course that introduces students to Cherokee phonology, morphology, and syntax with attention given to the syllabary as well as the spoken language."
AIS 1153,Tribal Languages I,3,"Tribal Language I is a basic language course which introduces students to phonology, morphology, and syntax with attention to the spoken language. This course acquaints the student with basic vocabulary, common phrases, and modern idioms. The subject language is chosen and offered when warranted by student interest and availability of faculty. PREREQUISITE:"
AIS 1213,Survey of American Indian Arts and Crafts,3,"Students will be able to identify American Indian arts and crafts styles from different regions of the country and understand how they have changed over time. Students will learn basic elements of bead work styles, feather work, basketry, and contemporary multimedia artwork. PREREQUISITE:"
AIS 1413,American Indian Art Theory,3,"This course introduces the ancient and modern tribal and textual diversity of the Indigenous arts and peoples of Native North America. By engaging with Indigenous aesthetics, Native artists’ critical and creative ways of expression, and multiple modes of media, we will analyze concepts and cultural philosophical meanings embedded in the material, visual, and artists through Indigenous-centered lenses."
AIS 2003,American Indian Government,3,This course provides students with an opportunity to analyze leadership and diverse strategies for American Indian governance. The course provides relevant material for students to gain a basic understanding of the history of traditional governance as well as the transition to tribal governance in the modern era.
AIS 2033,Tribal Studies I,3,"This course will focus on a comprehensive study of a particular tribal culture, including its history, life ways, and culture. Tribal content will be determined by student interest and offered depending on availability of faculty. PREREQUISITE:"
AIS 2333,American Indian Literature,3,"American Indian Literature examines various representative works produced by modern American Indian writers. Readings include poetry, essays, biography, and novels. CROSS LISTED AS"
AIS 2403,American Indian Dance and Song,3,"Students learn to understand and appreciate two indigenous art forms. In addition to performing dances and songs in public performances on behalf of the college, the class covers the historical significance of tribal contact with other people and its effects on tribal dress, dance, and song. Students also begin to understand the complexity of ""what it means to be an Indian"" in a diverse, contemporary world. PREREQUISITE:"
AIS1002/ 2513,American Indian Philosophy and Religion,3,"This course is designed to provide a foundational understanding of American Indian Philosophy and Religion through Socratic discussion and interaction. Throughout the course we will be looking at what philosophy is in a general context and how it applies in Indian Country. This course is also designed to give a brief overview of selected American Indian religions throughout the country. By no means is this class designed to teach Indian culture, but to examine and analyze it in an academic manner."
AIS 2733,Curriculum Development for Tribal Languages,3,"This course examines various curriculum models used in immersion teaching and learning for tribal languages and provides students with an opportunity to plan, develop, assess, and utilize instructional materials they develop in an immersion setting. Emphasis is given to the examination, preparation, integration, and application of appropriate models within specific instructional environments matched to student's needs, interests, and abilities."
AIS 2743,Methods for Tribal Languages,3,"This course provides an overview of proven models and best practices for teaching tribal languages. The course will focus on the foundational methods and principles of immersion teaching approaches and language acquisition based on communicative needs; specifically, the course will examine effective application of methods to specific teaching environments for tribal languages."
AIS 2913,Contemporary American Indian Affairs,3,"This course surveys the social, political, and religious landscape of the Indian people of North America. After a short historical examination of some of the issues that still affect Indian people today, it looks at the history of treaties, allotment, military actions, boarding schools, and a history of"
AIS 3023,Oklahoma History,3,"The American frontier in 1840, Indian resistance to American expansion, Indians in the Civil War, railroads and allotment of Indian land, Indians in World War I and 11, resurgence of Indian identity and sovereignty in the 20th century. PREREQUISITE:"
AIS 3103,American Indian Political Experience,3,"This course examines the development of the political and policy relationship between American Indian nations and the United States government using political, social, economic, and cultural context. PREREQUISITE:"
AIS 3113,American Indian Cultural Preservation and Museum Science,3,"This course is an introduction to current developments in tribal and non-tribal museums, with special attention to ideology of display and politics of repatriation. The course will address the needs of tribal cultural archives consisting of records, photographs, oral histories, maps, recordings, and physical artifacts. PREREQUISITE:"
AIS 3153,Tribal Languages III,3,"This course is a continuation of Tribal Languages II. It will consist of conversational practice, vocabulary-building, history, and culture of the tribe. This course is offered when warranted by student interest and availability of faculty. Prerequisite:"
AIS 3213,American Indian Health Management and Services,3,"This course addresses health care systems, policy, and health conditions unique to American Indians. The course examines the historical information about American Indians with emphasis on health, including behavioral health and tribal/Indian health service policy issues. Discussions include traditional medicine and healing, research needs related to American Indian health, and career opportunities in health management and services. PREREQUISITE:"
AIS 3133,Tribal Economic Development/Tribal Management,3,"This course introduces students to the concepts of tribal economic development and the various issues facing tribal and federal governments. Theories and roles of tribal economic development as it relates to the survival and continuation of tribal governments. Included in this course is the social and political context of American Indian tribal gaming, political relationships between federal and tribal governments, contemporary examples of tribal gaming, sociocultural and economic forces leading to gamin as strategy for economic development, and/or support from Indian and non-Indian communities to tribal gaming. PREREQUISITE:"
AIS 3233,American Indian Sovereignty,3,"This course will introduce and consider the concept of sovereignty involving the relationship of tribal people to federal and state governments through historical development of treaties, congressional acts, and court decisions. It will also explore the ways in which Federal Indian law and policy have been significantly influenced through many broad swings in public ideology."
AIS 3243,American Indian Women,3,"This course will examine the historical experience of Native American women with respect to their cultures. This class pursues ethno history using the cultural framework of Native Communities to interpret the historical record. Over the course of the semester, we will examine gender and gender roles in Native American culture, Indian women in the social structure, historical and contemporary roles, problems and opportunities of contemporary women, the feminist movement and Indian"
AIS 4001,American Indian Ecology & Religion,3,"American Indian Ecology and Religion approaches the histories, thought and religious traditions of American Indian peoples as providing significant insights into human-Earth relations. Some fundamental questions will frame the opening investigations. For example, what insights emerge in a critical examination of such terms as “American”, “Indian”, Religions”, and “Ecology”? Religion is not a separate set of practices among Native American peoples; rather, religion is explored in explored in this course as lifeway. That is, life lived in relation to local place in which languages, symbol systems, and rituals give expression to the intimacy and distance of communities with local ecology and biodiversity. The diverse and changing traditions of First Peoples raise interesting and challenging perspectives on environmental questions of the 21st century. For example, what is the role(s) of local environments in the formation of self and community? Does the relational character of traditional religion among American Indian communities have contemporary force? Finally, the student will determine how they will live in relationship to nature and the world around them and state a plan for their lifeway."
