code,title,credit,description
AS101–102,Foundations of the Air Force,1," This survey course briefly covers topics relating to the Air Force and defense. It focuses on the structure and missions of Air Force organizations, officership, and professionalism. It is also a good introduction into the use of communication skills."
AS111–112,Leadership Laboratory,0," This course (to be taken in conjunction with AS101 and 102) is a weekly laboratory that touches on the topics of Air Force customs and courtesies, health and physical fitness, and drill and ceremonies."
AS201–202,The Evolution of Aerospace Studies,2," This survey course is concerned with the beginnings of manned flight and the development of aerospace power in the United States, including the employment of air power in WWI, WWII, Korea, Vietnam, the Gulf War and the peaceful employment of U.S. air power in civic actions, scientific missions, and support of space exploration."
AS211–212,Leadership Laboratory,0, This course (to be taken in conjunction with AS201 and 202) provides students with the opportunity to demonstrate fundamental management skills and preparation for Field Training.
AS301–302,Leadership Studies,3," This course is a study in the anatomy of leadership, the need for quality and management leadership, the role of discipline in leadership situations, and the variables affecting leadership. Case studies are used to examine Air Force leadership and management situations as a means of demonstrating and exercising practical application of the concepts, deal with actual problems, and complete projects associated with planning and managing the Leadership Laboratory. "
AS311–312,Leadership Laboratory,0, This course (taken in conjunction with AS301 and AS302) provides the student with the opportunity to develop fundamental management skills while planning and conducting cadet activities.
AS401–402,National Security Studies and Preparation for Active Duty,3," This course is a study about the role of the professional military leader in a democratic society; societal attitudes toward the armed forces; the requisites for maintaining adequate national defense structure; the impact of technological and international developments on strategic preparedness and the overall policymaking process, and military law. In addition, topics will be studied that prepare the student for the first active–duty assignment as an officer in the Air Force."
AS411–412,Leadership Laboratory,0, This course (taken in conjunction with AS401 and AS402) provides the student with the opportunity to use leadership skills in planning and conducting cadet activities. It also prepares the student for commissioning and entry into the active–duty Air Force. 
AR200,Introduction to Fine Arts,3," This course is a survey of Western culture focusing on the great painters from the Middle Ages to the twentieth century and the great composers from J.S. Bach through Igor Stravinsky. The meaning and significance of artistic expressions will be examined from historical, philosophical, and theological points of view. Also listed as AR210."
AR210,Introduction to Humanities,3," This course is an introductory exploration of the humanities through the examination and discussion of select artistic, literary and philosophic works of Western civilization. Students will exercise hermeneutic, critical thinking, and communication skills, while laboring to uncover the power of these works and texts to express and/or form a worldview. Ultimately, students will confront their own worldviews in light of these competing visions of reality in order to better understand, embrace and share the Christian worldview. Also listed as AR200. "
BA102,Introduction to Business,3," This course provides a foundational overview of various business functions and competencies, such as management, global competition, ethics, marketing, technology, leadership and motivation."
BA105,Economics,3," This course presents a survey of basic micro and macro-economic principles and concepts. Reviews the economic dynamics of market forces affecting competition, different economic systems, the role of government in the economy, and economic aspects of international trade. Discusses the labor market, interest rates and the supply of money, and the performance of a national economy. Examines the use of economics in business decisions, considering such principles as opportunity costs, diminishing returns, and the marginal principle."
BA109,"Business Computer Skills 1: Information, People and Technology",3," This course provides introductory aspects of computing, IT infrastructure, software development and database use following CompTIA standards. This course presents basic networking connectivity, installing software, identifying/preventing basic security risks, troubleshooting theory, and preventive maintenance of devices, thereby, preparing the student to gain success in passing the Comp TIA IT Fundamentals certification exam."
BA119,IT CompTIA Core One and Two,3," An overview and introduction to technology, technology usage and its future, as well as leaders in technology and information literacy. This course provides aspects of hardware, software, and network elements following CompTIA A+ standards. This course presents mobile devices, nerworking, technology, virtualization, cloud computing and network troubleshooting, therby preparing the student to gain success in passing part on of the CompTIA A+ certificate exam. First course for IT majors."
BA179,Global Media,3," This course introduces the basic structures and practices of media around the world. By learning major globalization and global media and marketing theories, students better understand how media in various countries, regions, and cultures differ, overlap, and mutually influence one another. "
BA203,Management Information Systems,3," This course provides an overview of the role of management information systems in management, including information technology related business initiatives, electronic commerce, database development and analysis, data security, and emerging trends and technologies. These concepts are critical to gaining a competitive edge in today’s global economy. "
BA206,Advanced Networking,3," This course provides an overview of advanced networking protocols, infrastructure, and configuration related to servers. This course is guided by the recommendations and content required to find success in achieving Networking Plus certifications."
BA210,Public Relations,3, An introduction to the theory and practices of public relations and its role in influencing attitudes and actions of both internal and external publics in businesses or other complex social organizations. This course incudes analysis of the policies and actions of organizations with respect to public attitudes and the development of communication programs intended to affect public attitudes.
BA211,Financial Accounting I,3," The first of two accounting courses introduces the student to the collection, recording, summarization, and interpretation of accounting data. Students will learn generally accepted accounting principles and the accounting cycle. Topics include financial statement preparation, assets, accrual-based accounting, internal controls, and revenue and expenses."
BA212,Financial Accounting II,3," The second of two accounting courses, this course continues the introduction to the collection, recording, summarization, and interpretation of accounting data. Students will learn the liabilities and equity section of the balance sheet. Topics include accrual-based accounting, liabilities, equity, statement of cash flows, and financial statement analysis. Prerequisite: BA211."
BA215,Personal Finance,3," This course develops the students’ understanding of personal finance concepts and ability to assess these concepts critically within a biblical worldview. Topics will include personal budgeting, taxes, sources of financial information, use of credit, compound interest, and personal investing. Students will apply these concepts to their current and future personal financial situations. The course will equip students to become responsible stewards of financial resources, goods savers, and wise users of credit."
BA216,Web Design and Development,3," This course is an introduction to the design, creation, and maintenance of web pages and websites. Students learn how to critically evaluate website quality, learn how to create and maintain quality web pages, learn about web design standards and why they are important, and learn to create and manipulate images. The course progresses from introductory work on web design to a culminating project in which students design and develop websites for local community organizations."
BA217,Faith and Economic Justice,3," An examination of the economics of poverty and discrimination set within a holistic, biblical vision for empowering the poor. Alternative methods for measuring poverty and a range of policy options for dealing with poverty and discrimination in both the U.S. and globally are covered."
BA220,Marketing,3," This course introduces basic marketing principles and concepts, emphasizes the development of marketing strategy and the key components of the marketing mix, and highlights the integration of marketing with other functions in a business organization."
BA225,Strategic Human Resources Management,3, This course examines the fundamental nature and strategies associated with human resources. Students will study the traditional and modern principles of human resources in for-profit and non-profit contexts. Special attention will be given to evaluation of abilities and performance; effective recruitment and selection; motivation techniques; and developing human resources as directed by SHRM guidelines and recommendations.
BA230,Entrepreneurship,3, This course overviews the fundamental principles and processes of the establishment of new ventures and the management of small firms. Student teams will create a business plan from scratch and defend its financial viability.
BA251,Resource Allocation and Supply Chain Management,3," This course examines the necessity for leaders in organizations to address planning and resource allocation in organizations. This course emphasizes the process and strategy involved in an organization deciding how to make effective and efficient decisions with their scarce resources, as well as the principles supporting effective supply chain management. "
BA255,Entrepreneurial Innovation and Change,3," This course is an analysis of the dynamics of change and the importance of innovation within modern organizations. Emphasis is on how entrepreneurs and managers can develop a culture receptive to new ideas, products, processes, and systems for improving organizational performance."
BA280,Investment Management,3," The basic principles underlying individual and institutional investment decisions are explored. The structure and operations of the stock exchanges, as well as the functions of securities dealers and brokers, are presented together with a detailed examination of the various types of stocks and bonds. Participation in the National Collegiate Investment competition is the foundation of the course."
BA281,Financial Institutions and Markets,3," The theory and practice of commercial and central banking, with attention to the creation of money and other financial instruments, are studied. Problems encountered by both depository institutions and the economic system are analyzed. The course also explores the policies employed by commercial banks and central banks in dealing with these problems."
BA301,Management and Organization,3," This course provides a survey of fundamental management concepts and techniques. It highlights the development of management principles and their integration into contemporary management theory. Emphasis is placed on the role and the primary functions of the manager, as well as the skills and techniques used to perform these functions."
BA304,Corporation Finance,3," This course overviews the nature of financial decision–making in organizations and the valuation of financial securities such as bonds and stocks. Financial management topics include capital budgeting and capital structure management. It also examines corporate governance and ethics. Prerequisites: BA211, BA212."
BA306,Managerial Accounting,3," This course introduces students to managerial uses of accounting information. Topics include the use of accounting information for planning and control, actual and standard cost systems, budgeting, performance evaluation, decision- making, and financial statement analysis. Prerequisites: BA211, BA212."
BA308,Communication Design,3," This course emphasizes the principles of effective visual communication in theory and practice. Utilizing industry- standard tools and approaches, Communication Design surveys the concepts, layout, composition, and publishing strategies of digital and print media. Students will develop original content according to audience and purpose within authentic design contexts including marketing, social media, literary or journalistic publication, and professional communication. A required course fee is attached for the purchase and download of a one-year Adobe Creative Cloud subscription. Students are required to bring a personal laptop to class; tablets, iPads, Chromebooks, or shared devices are not permitted. Computers must utilize current operating systems with robust processing ability and hard drive space to meet minimum system requirements for Photoshop, Illustrator, and InDesign. Please check Adobe's website for details at https://helpx.adobe.com/creative-cloud/system-requirements.html."
BA309,Fundamentals of Selling,3, This course explores principles underlying the business-to-business sales process and practical application of these principles to selling situations. Students will study the role of selling in the total marketing process.
BA310,Marketing Research,3," Analysis of the principal internal and external procedures used in collecting, processing, and evaluating both quantitative and qualitative data. Students will apply research and management of information for decision making."
BA312,Consumer Behavior,3," The course examines the relationship between buyer behavior and marketing decision making. Students will develop an awareness of various aspects of consumer motivation and behavior including social, cultural, psychological, and business environments."
BA316,Introduction to Cybersecurity,3," This course teaches four basic hands-on cybersecurity defense skills: configuring a firewall, implementing a host-based intrusion detection software tool, using the Metasploit tool to do penetration testing, and implementing a network intrusion detection tool. "
