code,title,credit,description
ACCT 165,QuickBooks,3,"This course includes computerized double-entry accounting systems
and concepts for service and mercantile business enterprises using
current accounting software. Journals, ledgers and basic financial
statements are covered.  (Prerequisite:  ACCT 201)"
ACCT 201,Principles of Accounting I,3,"This course includes double-entry accounting systems and concepts
for business enterprises. Journals, ledgers and basic financial
statements are covered. (Prerequisite: None)"
ACCT 202,Principles of Accounting II,3,"This course is designed to provide an understanding of accounting
information and its use for business decision making. The emphasis
is on where accounting data is obtained, what kind of information is
needed, and how it is used in the management process.
(Prerequisites:  ACCT 201)   (2) (Prerequisite: None)"
ACCT 217,Financial Analysis,3,"This course acquaints students with the concepts and methods of
financial statement analysis and budgeting, with an emphasis on
interpretation of accounting data for planning, controlling, decision
making and budgeting. (ACCT201, Principles of Accounting I, and (Prerequisite: None)"
ACCT 245,Tax Accounting,3,"This course acquaints students with the economic and social policy
implications of the tax systems by which governments raise
revenues. In addition, it familiarizes students with federal income tax
as it applies to the individual. Students will learn how to prepare
individual federal income tax returns. (Prerequisite: None)"
ACCT 250,Certified Bookkeeper Review,3,"This is a capstone course for the accounting program and will
prepare students for the Certified Bookkeeper Exam and leads to a
national certification in bookkeeping through the American Institute of
Professional Bookkeepers (AIPB). This certification is a practical way
to demonstrate a high level of skill and experience to advance an
accounting career.  If you choose to be a candidate for the Certified
Bookkeeper designation, you must pass the exam which consists of
two test sittings offered at a third-party testing center plus two
workbook exams offered onsite.  Taking the Certified Bookkeeper
national exam is optional and is not a requirement to pass this
course. (Prerequisites: ACCT 202 or permission of instructor) (Prerequisite: None)"
ACCT 290,"Request
Accounting Clerk Internship",2,"Supervised work experience allows the student to apply skills and
office procedures in an actual office situation. Students will be
required to gain experience in the area in which they are seeking a
degree. Students will meet once a week in class and will work 80
hours during the semester in supervised work experience.
(Sophomore level)
ADVANCED MANUFACTURING
TECHNOLOGY (Prerequisite: None)"
AMT 102,Introduction to Industrial Electricity,3,"This course is designed to provide a broad range of basic information
and hands-on practice to beginning students in industrial electricity.
Topics covered at the introductory level will include basic electrical
circuits, electrical measurements, electrical relay control logic,
residential and industrial wiring.     (Corequisite:  AMT 111) (Prerequisite: None)"
AMT 104,Electrical Motor Controls,3,"This course is designed to provide a broad understanding of electric
motor
control
operations.
The
topics
covered
will
include
interpretation of schematics, diagnostic trouble shooting, electronic
sensing devices, safety, three phase power, ladder logic and timer
controls.   (Prerequisites:  AMT 102) (Prerequisite: None)"
AMT 111,Introduction to Industrial Safety,1,"This course is designed to give the students the basic safety
knowledge to obtain an “OSHA 10” card (OSHA = U.S. Occupational
Safety and Health Admin­istration).  Students will ac­cess a selected
on-line training site and complete the requirements to obtain OSHA
10 certification. (Prerequisite: None)"
AMT 112,Safety,3,"This course provides information and training to address the hazards
found in renewable energy, construction, and industrial jobs. The
course is designed to give the students the basic safety knowledge to
obtain an “OSHA 10” card (OSHA = U.S. Occupational Safety and
Health Administration). Topics include: working at heights, assisted
and self-rescue, working around heavy equipment, first aid/CPR, and
basic firefighting. (Prerequisite: None)"
AMT 122,Basic Machining,3,"This course is designed to provide a working knowledge of basic
machine tools and their safe operation. Topics covered will include:
shop safety, basic mathematics, blueprint reading, precision
measurement, metal sawing, drills and drilling, bench grinding,
engine lathes, and milling machines. (Prerequisite: None)"
AMT 123,and Print Reading,3,"This course is designed to provide a working knowledge of basic
machine measurements and print reading.  Topics covered will
include:  U.S. customary measurement, measurement conversion,
print reading, drawings and dimensions, holes and fasteners,
tolerance, control frames and specialized equipment. (Prerequisite: None)"
AMT 124,Numeric Control,3,"This course is designed to provide a working knowledge of basic
operation of CNC milling.  Topics covered will include:  Milling
machines, tooling, work holding, manual control and program
execution. (Prerequisite: None)"
AMT 126,Numeric Control,3,"This course is designed to provide a working knowledge of basic
operation of CNC turning.  Topics covered will include:  Turning
machines, turning operations, linear and circular interpolation.
Students will be instructed on the components of and the proper
operation of the lathe turning machine. (Prerequisite: None)"
AMT 132,Industrial Hydraulics,3,"This course is designed to provide a broad range of basic information
and hands-on practice to beginning students in manufacturing
hydraulics. Topics covered will include hydraulic power systems,
basic hydraulic circuits, principles of hydraulic pressure and flow,
hydraulic speed control and pressure control circuits. Students will
design, build, test, troubleshoot, and repair a typical hydraulic
system.    (Prerequisites:  AMT 111) (Prerequisite: None)"
AMT 142,Manufacturing Mechanics,3,"This course is designed to provide the students with basic knowledge
of automated manufacturing power transmission and conveyance
devices. Topics covered will include:     belt drives, chain drives,
bearing types, precision shaft alignment, types of seals, lubricants,
product conveyance devices and gear reduction.
29  V1.05

Course Descriptions

2023-24 Semester offerings based on Neosho campus/online schedule (Prerequisite: None)"
AMT 162,Industrial Process Control I,3,"This course is designed to provide a broad understanding of
Industrial Process Control as it relates to automated manufacturing.
A commercially available hands-on trainer coupled with online course
content will be used to cover industrial safety, interpretation of
schematics, loop controllers, current to pressure converters,
instrument
calibration,
and
automatic
control
methods.
(Prerequisites:  AMT 102 or permission of instructor) (Prerequisite: None)"
AMT 182,Introduction to Automated Robotics,3,"This course is designed to provide a working knowledge of industrial
robotics. Topics covered will include: robotic and industrial safety,
applications, manipulators, end effectors and beginning programming
examples.   (Prerequisites:  AMT 102) (Prerequisite: None)"
AMT 204,Programmable Logic Controllers,3,"This course is designed to provide a working knowledge of
Programmable Logic Controllers (PLCs) with hands-on practice for
students in the various technical programs. Topics covered will
include:  PLC operation, applications, configuration, programming
examples, and troubleshooting.   (Corequisites: AMT 102, AMT 104
or Permission of Instructor) (Prerequisite: None)"
AMT 206,Programmable Logic Controllers II,3,"This course is designed to provide advanced training in
programmable logic controllers as they are used in industry to
manage multiple automated processes. This is the second course
covering programmable logic controllers (PLCs) and will provide a
working knowledge of current industry applications.   (Prerequisites: (Prerequisite: None)"
AMT 204,"Permission of Instructor)
AMT 284
F,S
Automated Robotic Programming",3,"This course is designed to provide advance level knowledge of
industrial robotic programming. Topics covered will include the
utilization of special “teach pendant” accessories for remote
programming, robotic axis interfacing, and program optimization
relative to cycle times and other functions.  Students will practice the
interchange and calibration of various system components on a
robotic trainer and modify “pick and place” programs using override
function keys. This specialized training will give the students more
advanced experience in the robotic field of study.    (Prerequisites: (Prerequisite: None)"
AMT 290,Manufacturing Internship,3,"This course provides direct hands-on experience in a structured
environment under the direct supervision of experienced tradesmen
employed by a hosting organization.  The course requires that 120
clock-hours be spent at the hosting location(s) during the term of
study.  (Prerequisites:  Sophomore Standing (i.e. Completed 28
semester hours) or Permission of Instructor. (Prerequisite: None)"
