code,title,credit,description
A 101,Art Appreciation,3,"This course is an introduction to the fundamentals of the visual
arts. The course focuses on the analysis, description, and inter-
pretation of art, the importance of art in the contemporary
world, and the historical aspects of art and its influence on
western culture."
A 103,Two-Dimensional (2D) Design,3,"This course provides an introductory study of the elements and
principles of two-dimensional design. Emphasis will be placed on
two-dimensional spatial organization.  A variety of materials and
approaches will be explored and applied."
A 104,Three-Dimensional (3D) Design,3,"This studio design course covers the elements and principles
of three-dimensional design. Course projects will deal with the
linear and planar aspects of 3-D design as well as the structural
concepts of volume, mass, and form."
A 105,Prints I,3,"This course provides an introduction to the tools, methods, and
techniques used in intaglio and relief printing processes. Emphasis
will be placed on the variety of ways to create an intaglio plate,
such as etching, soft mezzotint, engraving, aquatint, and drypoint.
Relief processes such as linocut and woodcut will also be includ-
ed."
A 107,Drawing I,3,"This course will cover the fundamentals of drawing as applied
to the realistic and expressive representation of objects through
the use of various media, approaches, and techniques. Emphasis
will be placed on composition, line, value, texture, and spatial
relationships."
A 108,Drawing II,3,"This class continues the investigation of various drawing media
with an emphasis on creative expression. The course will cover
techniques as well as compositional problems. Subject matter will
include still life, landscape, the figure, and invented compositions.
Prerequisite:"
A 107,A 110 Painting I,3,"This course will provide a brief history of painting and an in-
troduction to the color wheel and various painting techniques.
The course will emphasize the use of oil and acrylic paint, and
projects will deal with line, color, form, texture, and space in both
representational and non-objective subject matter."
A 111,Painting II,3,"This course will provide a continuation of Painting I concepts and
will also emphasize individual expression and exploration.
Prerequisite:"
A 110,A 112 Ceramics I,3,"This course will provide an introduction to the use of clay as an
art medium.  The course will cover traditional techniques used in
hand-building and wheel thrown forming methods and will also
introduce ceramic glazes, slips, stains, and firing methods."
^A 113,Typography,3,"This course will provide a study of the principles of contem-po-
rary typographic design. The course will focus on size, form, con-
trast, color, spacing, and design of the printed word and printed
page. Typography production from traditional letterpress through
photomechanical processes will also be discussed. The course
will provide an introduction to the Macintosh computer and the
latest graphic design software."
