code,title,credit,description
ACCT 111,Introduction to Financial Accounting,3,"Provides an introduction to basic theory and
practices of financial accounting. Emphasis on
proper recording of business transactions and
understanding the effect of transactions on
the financial statements of proprietorships,
partnerships, and corporations. Includes
analysis of key financial statement data.
Taught at participating high schools to
selected, qualified students."
ACCT 211,Financial Accounting,3,"Basic theory and practices of financial
accounting. Emphasis on proper recording of
business transactions and understanding the
effect of transactions on the financial
statements of proprietorships, partnerships,
and corporations. Includes analysis of key
financial statement data. Prerequisite: BADM
201"
ACCT 212,Managerial Accounting,3,"Basic theories and practices of providing
accounting information to organizational
decision-makers. Prerequisites:"
ACCT 311,Intermediate Accounting I,3,"Intensive study of financial accounting issues
including
measurement,
valuation,
and
reporting
of
balance
sheet
items.
Prerequisites:"
ACCT 312,Intermediate Accounting II,3,Extension
ACCT 314,Cost Accounting,3,"Evaluation and analysis of an organization’s
internal accounting information needs with"
ACCT 315,Auditing,3,"Comprehensive introduction to the practices
and procedure used by internal auditors and
CPAs in their attestation role relative to
external financial reporting and the evaluation
of internal controls. Emphasis on the legal and
ethical requirements of the auditor, including
Sarbanes-Oxley. Prerequisite:"
ACCT 316,Federal Income Tax,3,"Introduction to history and development of
federal income tax. Study directed principally
toward preparation of individual returns
under IRS code but also includes partnership
and corporate returns and tax implications of
management decisions. Prerequisites: ACCT
211,"
ACCT 323,Tax Practicum (P/U),1,"Supervised preparation of tax returns through
the Voluntary Income Tax Assistance program
using resources and guidance provided by the
IRS. Prerequisite:"
ACCT 418,Advanced Accounting,3,"Addresses complex issues in accounting
including business combinations, consolidated
statements, partnerships, government and
not-for-profit
organizations,
foreign
operations, and other current topics in the
field."
ADC 441,Worldviews at Work,3,"Provides managers and other workers with an
enhanced understanding of how worldviews –
in
particular,
a
person’s
basic
faith
commitments – impact the workplace and vice
versa.
Introduction
to
the
relationship
between
religion
and
the
culture
of
organizations designed to help one identify
and begin to reflect (or extend reflections) on
the relevant issues. Liberal Arts."
ANTH 243,Cultural Anthropology,3,"Cultural and social aspects of human behavior;
comparison of cultures. Fulfills half of General
Education Social Science or half of Global
Competence. Liberal Arts."
ANTH 293,East African Anthropology,4,"Intensive study of East African ethnic
populations – their beliefs, behaviors, work,
and
societies.
Lectures,
which
include
foundational anthropological theory as well as
ethnic descriptions, are augmented by
frequent class discussions; field trips; and
interactions
(including
homestay)
with
Dorobo, Maasai, and other local East African
ethnic groups. Sociology, Intercultural Studies
elective credit. Houghton East Africa. Liberal
Arts.
ANTH
295,
296
Special
Topics
in
Anthropology
1–4-WSP"
ANTH 310,Intercultural Competencies,3,"Explores the knowledge, attitudes, and skills
for transitioning into, adapting to, and working
and functioning successfully in an intercultural
context. Key topics include cultural values,
intercultural
communication,
researching
culture, being a change agent, dealing with
conflict, and working with individuals from
another culture. Fulfills part of General
Education Global Competence requirement.
Required
for
INCL
311.
Liberal
Arts.
Prerequisite for INCL majors/minors:"
ANTH 315,Human Ecology,4,"Integrates knowledge from several disciplines
and seeks to combine the social and natural
sciences. Theory is interwoven with basic
concepts, and emphasis is on how humans
view
and
interact
with
the
natural
environment. Key themes are discussed in
relation to basic human societal structures in
anthropology.
Fulfills
part
of
General
Education Global Competence requirement.
Liberal Arts."
ANTH 350,Culture Change and Globalization,3,"Globalization is spreading rapidly and is
causing significant culture change to all
societies
from
traditional
to
folk
to
contemporary. Focusing on historical and
current case studies, this course makes
students aware of current cultural changes
and gives them the theoretical knowledge to
understand, empathize with, and assist people
wrestling with culture change. General
Education Global Competence requirement.
Pre- or corequisite: Cultural Anthropology.
Liberal Arts."
ARAB 101,Arabic Language,4,"Arabic is spoken in various regional dialects
throughout the Arab world. This class
introduces Modern Standard Arabic (MSA),
the commonly understood language used in all
media and in the academic and intellectual
community. While not the “street language”
of any particular country, MSA provides an
excellent grounding towards fluency in any
dialect in the Arab world. Those wishing to go
further will be directed to an intensive Arabic
program within the Arab world. Liberal Arts."
ART 131,Introduction to the Visual Arts,2,"Overview of Western cultural history, visual
arts,
basic
principles,
and
underlying
philosophy
of
art.
Emphasis
on
the
contemporary. Fulfills General Education Art &
Music requirement. Liberal Arts."
ART 211,Drawing I,2,"Basic
introduction
to
drawing
media,
techniques, and concepts. Exploration of form
and space in two dimensions in varied subject
matter. Fulfills General Education Art & Music
requirement. This course has a lab fee."
ART 212,Abstract Drawing,4,"Explores the possibilities of drawing based on
conceptual rather than perceptual knowledge.
A wide variety of conceptual sources are
introduced, such as variations of spatial
components, non-figurative images based on
biomorphic or gestural motifs, compositional
dynamics, tonal and color explorations, and
the variation of mark as an expressive
element.
Diverse
experimentation
with
surfaces, materials, and applications is
encouraged. Emphasis is placed on the
selection of an idea in terms of both process
and
materials.
The
development
of
abstraction"
ART 215,Etching,2,"Introduction
to
the
basic
techniques,
processes, and history of etching. Etching was
developed in"
