code,title,credit,description
GE117,Composition I,4,"Composition course
This course covers phases of the writing process, with special emphasis on the structure of writing and techniques for writing clearly,
precisely and persuasively. Prerequisite or Corequisite:"
GE127,College Mathematics I,4,"Mathematics course
This course will include, but is not limited to, the following concepts: quadratic, polynomial and radical equations, linear functions and
their graphs, systems of linear equations, functions and their properties and triangles and trigonometric functions. Activities will include
solving problems and using appropriate technological tools."
GE150,Survey of the Sciences,4,"Science course
This survey course is designed to familiarize the student with the methods of rational inquiry and problem solving in the physical
sciences. Students will explore a selection of topics in the scientific fields including physics, chemistry, biology and earth science to
develop basic scientific literacy and the ability to critically analyze issues of science."
GE175,American Government,4,"Social Science course
This course covers principles and theory related to the United States government, including the development and foundations of the
Constitution, the organization and function of the federal government including the legislative, executive and judicial branches, political
parties and the electoral process, and the relationship between states and the federal government."
GE184,Problem Solving,4,"Science course
This course introduces students to problem solving techniques and helps them apply the tools of critical reading, analytical thinking and
mathematics to help solve problems in practical applications."
GE217,Composition II,4,"Humanities course
This course focuses on appropriate rhetoric structures and styles for analytical and argumentative writing. Emphasis is placed on critical
thinking, reading skills and elements of research in the information age."
GE257,Microbiology,4,"Science course
This is an introductory course in microbiology, emphasizing fundamental concepts and principles with practical application."
GE258,Human Anatomy and Physiology I,4,"Science course
This course provides a systems focused study of the anatomy and physiology of the human body. Topics build from a foundation in
structural organization, basic chemistry, and the study of cells and tissues to system structure and function. These systems include
integumentary system, bones and skeletal tissues, joints, muscles, nervous system, special senses, and the endocrine system. The
course includes a wet laboratory component."
GE259,Human Anatomy and Physiology II,4,"Science course
This course is a continuation of the study of the anatomy and physiology of the human body. Building on the foundation of structural
organization, basic chemistry, and the study of cells and tissues, and study of integumentary, skeletal, muscular, nervous, sense, and
endocrine systems, this course focuses on the maintenance of the body via the cardiovascular, lymphatic, respiratory, digestive,
urinary, and reproductive systems, as well as metabolism, acid-base balance, fluid and electrolyte balance, and nutrition. This course
includes a wet laboratory component. Prerequisite or Corequisite:"
GE265,Ethics in Society,4,"Humanities course
This course provides a practical framework and a personal method for ethical thinking and decision-making on issues in contemporary
society. Students will analyze some of the major ethical dilemmas of the modern world."
GE291,Sociology,4,"Social Science course
This course introduces the theories and methods sociologists use to explain and predict the dynamics of the contemporary social world.
Through this study, the students will employ a “sociological imagination” as they make observations, gain insights, and make
predictions that can influence their choices about their own social interaction."
GE347,Group Dynamics,4,"Social Science course
In this course, students examine elements of successful teams and small decision-making groups. Emphasis is on communication,
critical thinking and group process techniques."
GE375,Psychology,4,"Social Science course
This course introduces psychological theories from behavioristic, humanistic and biological viewpoints. Primary focus is on exploring
how selected principles of psychology apply to students’ personal lives and social behavior. Students apply the skills of critical thinking,
observation, and information gathering and analysis as they practice social science and scientific methodology."
SC1130,Survey of the Sciences,4.5,"Science course
This survey course is designed to familiarize the student with the methods of rational inquiry and problem solving in the sciences.
Students will explore a selection of topics in the scientific fields, including physics, chemistry, biology, astronomy and earth science, to
develop basic scientific literacy and the ability to critically analyze issues of science. This course includes a laboratory component."
MA1210,College Mathematics I,4.5,"Mathematics course
This course focuses on fundamental mathematical concepts including quadratic, polynomial and radical equations, linear functions and
their graphs, systems of linear equations, functions and their properties and matrices. Activities will include solving problems and using
appropriate technological tools."
MA1310,College Mathematics II,4.5,"Mathematics course
This course includes the following concepts: exponential and logarithmic equations and functions, graphs of trigonometric functions,
trigonometric equations, polar coordinates, oblique triangles, vectors and sequences."
EN1320,Composition I,4.5,"Composition course
This course examines phases of the writing process, with emphasis on the structure of writing and techniques for communicating
clearly, precisely and persuasively."
PS1350,American Government,4.5,"Social Science course
This course examines principles and theory related to the United States federal government, including the development and
foundations of the U.S. Constitution, the organization and function of the federal government including the legislative, executive and
judicial branches, political parties, the electoral process, and the relationship between states and the federal
government."
EN1420,Composition II,4.5,"Composition course
This course builds on the foundations of Composition I with emphasis on rhetorical structures, argumentation and research. Students
study how to make strong arguments using visual and oral communication techniques."
CO2520,Communications,4.5,"Humanities course
This course focuses on the history, principles and techniques of interpersonal, organizational and mass communications, and on
communicating using written, verbal and visual formats. Prerequisites: Completion of a minimum of 54 credits earned in the
program of study including"
PH2530,Physics,4.5,"Science course
This course introduces students to the principles of general physics. Practical applications demonstrate the theory. This course includes
a laboratory component."
ES2550,Microeconomics,4.5,"Social Science course
This course introduces the economic way of thinking and applies basic principles of microeconomics. It is the study of choices made by
households, firms and governments and how these choices impact the market economy. Prerequisites:"
ES2555,Survey of Economics,4.5,"Social Science course
This course introduces basic principles of both microeconomics and macroeconomics. Prerequisites:"
ES2560,Macroeconomics,4.5,"Social Science course
This course is the study of aggregate economic activity. Students apply basic principles of macroeconomics to unemployment, inflation
and economic growth. Prerequisites:"
PY2750,Introduction to Psychology,3.0,"Social Science course
This course introduces psychological theories related to the human mind and human behavior. The course involves the science of
perception, learning, information analysis, and psychological development over the human life span."
SP2750,Group Theory,4.5,"Social Science course
This course is an overview of the theory related to groups of people bonded by task or culture. Emphasis is on communication, critical
thinking and group process theory, including social exchange theory, structuration theory, functional theory, group ethics, diversity and
related communication conflicts, group decision-making, creativity, leadership and gender."
MA3110,Statistics,4.5,"Mathematics course
This course introduces descriptive and inferential statistics. Topics include probability and probability distributions, confidence intervals,
hypothesis testing and linear regression. Prerequisites:"
PY3150,Psychology,4.5,"Social Science course
This course introduces psychological theories from behavioral, humanistic and biological viewpoints. Students apply the skills of critical
thinking, observation, information gathering and analysis to practice social science and scientific methodology."
SS3150,Research Methods,4.5,"Social Science course
This course introduces a step-by-step approach to conducting research. Topics include scientific reasoning, applying critical thinking
principles to assess validity and reliability in research, and production of research-based documents. Prerequisites:"
EN3220,Written Analysis,4.5,"Composition course
This course introduces theories and principles of critical and creative thinking with the goal of analysis and production of comprehensive
written documents. Focus is on critically evaluating ideas and arguments. Prerequisites:"
MA3310,Calculus I,4.5,"Mathematics course
This course is an introduction to differential and integral calculus. Topics include limits, continuity, derivatives, antiderivatives and both
definite and indefinite integrals."
MA3410,Calculus II,4.5,"Mathematics course
A continuation of Calculus I, this course introduces methods of integration, partial derivatives and double integration, integration and
differentiation of the trigonometric and logarithmic functions, series and progressions, the Laplace transform, and differential equations."
SP3450,Social Psychology,4.5,"Social Science course
This course is a survey of theories and research concerned with how individuals behave in social constructs, and how they influence
and are influenced by other people. Prerequisites:"
HU4640,Ethics,4.5,"Humanities course
This course introduces fundamentals of, and differences in, the morals and rules of conduct among individuals. Focus is on the
identification and analysis of a variety of theoretical moral constructs and their application to individual and personal behavior."
SC4730,Environmental Science,4.5,"Science course
This course explores the issues of environmental science using an integrative approach against a political, geographic, cultural and
economic backdrop. Through hands-on and virtual labs and applied problem sets, students will study the impact humans have on the
environment and the costs and benefits of mitigating the impact. This course includes a laboratory component. Prerequisites:"
AC1220,Accounting Principles I,4.5,"s
This course involves accounting principles and presents accounting standards, inventory methods, depreciation, and financial
components that comprise the income statement, balance sheet and statement of cash flows. Students will perform accounting
exercises to solve business problems."
AC1320,Accounting Principles II,4.5,"s
This course expands on the concepts taught in Accounting Principles I, and includes a broader analysis of financial statements and
their components. Students study differences between long and short-term liabilities, stocks and bonds, and the uses of management
versus financial accounting."
AC1420,Financial Accounting,4.5,"s
In this course, students practice producing financial statements using different classes of assets and inventory valuation methods. It
includes the preparation of trial balances and the use of financial ratios to determine a measure of the financial health of a company."
AC2520,Tax Preparation,4.5,"s
In this course, students compare and contrast individual and corporate tax models and analyze the tax practice environment. Topics
include the disposition of assets, accounting for tax expense, estate property valuation and auditing in the organization."
AC2620,Fundamentals of Managerial Accounting,4.5,"s
In this course, students will analyze internal business accounting statements and accounting reports used for management planning
and decision making."
AC2720,Cost Accounting,4.5,"s
This course focuses on the evaluation of business cost elements and budgeting for future periods. Topics include cost analysis,
variances, inventory costing and control of business finances."
AC2799,Accounting Capstone Project,4.5,"s
This is a project course in which students solve an accounting problem that is designed to combine elements of courses in the program.
The instructor must approve the scope and depth of the student’s project and acts as a resource for the student during the execution of
the project. A formal written document and presentation are required. Prerequisites: Must be taken during the student’s final
quarter of study"
BU1110,Introduction to Business,4.5,"s
This course explores fundamental processes of management, teamwork, motivation, customer satisfaction, and the production of goods
and services. Students will examine ethical and social responsibilities for businesses, and compare business operations in U.S.
companies to business operations in foreign countries."
BU1410,Management Information Systems,4.5,"s
This course examines fundamentals of information systems used in business. Topics include choice of hardware and software, security,
backup, virus protection, and the use of internal and external communication to solve business problems."
BU2620,Fundamentals of Business Communications,4.5,"s
This course explores methods to create effective communications within the organization. Concentration is on collaborative
communications, communicating bad-news messages and conducting persuasive presentations. Students practice with a variety of
electronic and hard copy media and will give a professional presentation at the end of the course."
BU2710,Advanced Business Productivity Software,3.0,"s
This course focuses on the advanced use of business productivity software including complex assignments that require advanced
formatting and functionality. Instruction will include embedding data and linking and combining documents using word processing,
spreadsheets, databases, and/or presentation media software. This course examines the concepts found in the Microsoft Office
Specialist (MOS) Master certification exam."
BU2715,Advanced Business Productivity Software,4.5,"s
This course focuses on the advanced use of business productivity software including complex assignments that require advanced
formatting and functionality. Instruction will include embedding data and linking and combining documents using word processing,
spreadsheets, databases, and/or presentation media software. This course examines the concepts found in the Microsoft Office
Specialist (MOS) Master certification exam."
BU2760,Business Law,4.5,"s
This course examines the legal environment in business, focusing on legal and ethical issues. Students review tort law, criminal law,
cyber crimes, contracts, bankruptcy, employment law and property law. Prerequisites:"
BU2799,Business Management Capstone Project,4.5,"s
This is a project course in which students solve a business problem that is designed to combine elements of all of the courses in the
program. The instructor must approve the scope and depth of the student’s project and acts as a resource for the student during the
execution of the project. A formal written document and presentation are required. Prerequisites: Must be taken during the student’s
final quarter of study"
BU3110,Business Negotiation,4.5,"s
This course examines topics in business negotiation, such as general contracts, labor agreements and sales contracts. Students will
use standard scenarios to practice developing settlements that are fair for all parties involved in a negotiation. Prerequisites:"
BU3315,Quantitative Analysis,4.5,"s
This course focuses on mathematical methods used in decision making. Topics include linear programming, queuing theory,
transportation method and working under conditions of uncertainty to make choices that improve business outcomes. Students will use
software to practice solving business problems."
CJ123,Criminal Law,4,"s
This course introduces the student to criminal law, which involves the imposition of penalties for engaging in criminal conduct. The
course also explores the distinction between criminal law, which typically is enforced by the government, and civil law, which may be
enforced by private parties. Prerequisites:"
CJ131,Introduction to Criminal Justice,4,"s
This survey course introduces the student to the scope, principles and purposes of the American criminal justice system with emphasis
on crime, law enforcement, courts and corrections."
CJ132,Criminal Justice Organization and Administration,4,"s
This course examines the organization, administration and practice of police, courts and correctional organizations at the federal, state
and municipal levels."
CJ133,Criminology,4,"s
This course offers an interdisciplinary and integrative approach to the study of crime. It includes an overview of criminological theories
of causation, treatment and punishment."
CJ151,Principles of Policing and Law Enforcement,4,"s
This course is an introduction to policing and law enforcement in America including a historical and social review of policing and law
enforcement. Emphasis is placed on contemporary strategies used in modern law enforcement organizations and administration to
combat and prevent crime."
CJ152,Law Enforcement Reporting and Recording,4,"s
This course introduces students to fundamental guidelines for reports common to the criminal justice community. The course also
studies how computers and technology are used as tools in this process."
CJ211,Correctional Programs: Probation and Parole,4,"s
This introduction to the probation and parole system in the United States tracks the progress of an individual through each phase of the
system."
CJ241,Criminal Investigation,4,"s
This course explores theoretical and practical aspects of criminal investigation and introduces the student to investigative processes,
procedures and challenges."
CJ242,Forensics and Crime Scene Investigation,4,"s
This course explores the evolution and role of forensics in criminal justice and scientific crime scene investigation. Emphasis is placed
on identification and detection methods and the collection and gathering of evidence. Prerequisites:"
CJ243,The Criminalistics of Cybercrime,4,"s
This course examines the scope of cybercrimes and the cybersecurity threat and legal considerations facing law enforcement and
cybersecurity professionals in dealing with discovering, investigating and prosecuting cybercrimes. The role of intrusion detection in
information security and different tools used to detect intrusion will also be discussed."
