code,title,credit,description
BI 101,Introduction to Biblical Interpretation,3,"This course explores the basic principles of biblical interpretation and provides students with the necessary tools for
reading, studying, and understanding the Bible and applying its teaching to ministry in today’s church and cultures.
This course is a prerequisite for any Bible elective course. Fall & Winter."
BI 111,Old Testament Survey,3,"This course provides a basic introduction to the Old Testament and emphasizes the historical background and content
of each Old Testament book. Students will learn how these books laid the foundation for God’s story of salvation
history, providing a basis for a biblical worldview. We will examine the impact of the Old Testament for today and
development of a biblically-informed theology that equips us for everyday living. This course is a prerequisite for an
Old Testament Bible elective course. Fall."
BI 112,New Testament Survey,3,"This course provides a basic introduction to the New Testament and emphasizes the historical background and
content of each New Testament book and how these books contribute to God’s continuing story of salvation history,
providing a basis for a biblical worldview. We examine the impact of the New Testament for today and development
of a biblically-informed theology that equips us for everyday living. This course is normally a prerequisite for any New
Testament Bible elective course. Winter."
BI 307,Spiritual Formation,3,"This course introduces the biblical and theological principles of spiritual formation. We devote particular attention to
how individuals grow in deeper communion and intimacy with their triune God. Articulating and cultivating a
biblically balanced and healthy practice of spirituality for daily living will also receive emphasis. Fall & Winter."
BI 312,The Gospel of  John (NT elective),3,"This course is an expository study of the Gospel of John. It explains the purposes and structure of the book and
discusses its major themes from a historical, expositional, and theological perspective. In this course, we also interpret
and apply its message to today’s church and culture. Fall."
BI 323,Israel Study Tour: Journey to the Land of  the Text (OT or NT elective),3,"This course is an intensive 14-day study in Israel integrated with field trips designed to introduce students to the
geography, history, and archaeology of Israel. Students will experience on-site lectures and tours of locations
significant for better understanding the biblical text and Christian history. The aim of this course is to give students a
thorough overview of the land of Israel as the setting from which the meaning of the Bible takes shape. It progresses
from the Old Testament people of Israel in the land to the life of Jesus in Galilee, and addresses matters of culture,
geography, theology, and history in a way that opens up new avenues for understanding the people of the Bible and
their world. This course also has important implications for understanding the environmental influence upon
spirituality and ministry in modern contexts. Nowhere on earth can the larger story of God be told more effectively
than in the land of the Bible. There, also, we can address the life of the heart as students worship and see the presence
of God. Spring.
72"
BI 328,Acts (NT elective),3,"This course is an expository study of the book of Acts. It explains the purposes and structure of the book and
discusses its major themes. The course focuses on the fulfillment of Old Testament prophecy, the mission and
message of the early church, the work of the Holy Spirit, the inclusion of the Gentiles in the people of God, the life
and organization of the early church, and its value for today’s church. Winter."
BI 331,Pauline Epistles I (NT elective),3,"This course is an expository study of Paul’s epistles to the Thessalonians and Corinthians. It explores the biblical,
theological, practical, and spiritual insights of these epistles and seeks to interpret and apply these insights to today’s
church and culture."
BI 335,Pentateuch (OT elective),3,"This course studies the content, theology, and form of the first five books of the Old Testament. It explains the
purposes and structure of the books and discusses their major themes from a historical, expositional, and theological
perspective, applying these insights to today’s church and culture. Winter."
BI 342,Wisdom Literature (OT elective),3,"This course examines the wisdom literature in the Old Testament books of Job, Proverbs, Ecclesiastes, and Song of
Solomon. We also examine the setting, development, and interpretation of the wisdom tradition, its impact on the
New Testament, and its relevance to the formulation of the biblical and Reformed worldview. Winter."
BI 344,Pauline Epistles II (NT elective),3,"This course interprets and applies Paul’s epistles to the Galatians and Romans. It explains the purposes and structure
of the books and discusses their major themes from a historical, expositional, and theological perspective. Fall."
BI 346,Gospels (NT elective),3,"This course explores and compares the characteristics and structure of each of the synoptic gospels, the unifying
theme of the kingdom of God, and the fundamental features of the life of Jesus."
BI 360,The Psalms (OT elective),3,"This course examines the poetic qualities, historical context, theological themes, and literary types of selected psalms
with attention given to ways in which to incorporate these psalms into worship settings and apply the messages to
today’s context."
BI 447,Major Prophets (OT elective),3,"This course examines selected portions of the Old Testament’s major prophets: Isaiah, Jeremiah, Ezekiel, and Daniel.
It explains the purposes and structure of the books and discusses their major themes from a historical, expositional,
and theological perspective, and we explore the impact of the prophets for today’s church and culture. Fall."
BI 448,Into and Out of  the Land: The Narrative Books (OT elective),3,"This course is a survey and analysis of the historical books of the Old Testament: Joshua, Judges, Ruth, Samuel, Kings,
Ezra, and Nehemiah. Beginning with the entry into Canaan of the nation of Israel under Joshua to the rebuilding of
the wall of Jerusalem under Nehemiah, we examine the history of God’s people. We give special attention to the
faithfulness of God working to prepare Israel for the coming of the Messiah and a mission to the world and to the
meaning and message the Church receives from these books today. Fall.
73"
BI 449,Minor Prophets (OT elective),3,"This course examines selected portions of the minor prophets in the Old Testament: Hosea through Malachi. It
explains the purposes and structure of the books and discusses their major themes from a historical, expositional, and
theological perspective. Attention is also given to the impact of the prophets for today’s church and culture."
BI 451,Hebrews (NT elective),3,"This course interprets and applies the book of Hebrews. It explains the purposes and structure of the book and
discusses its major themes from a historical, expositional, and theological perspective."
BI 452,Pauline Epistles III (NT elective),3,"This course interprets and applies the prison and pastoral epistles of Paul: Ephesians, Colossians, Philippians, I and II
Timothy, and Titus. It explains the purposes and structures of the books and discusses their major themes from a
historical, expositional, and theological perspective."
BI 453,General Epistles (NT elective),3,"This course interprets and applies the general epistles. It explains the purposes and structures of the books and
discusses their major themes from a historical, expositional, and theological perspective. Fall."
BI 454,Revelation (NT elective),3,"This course interprets the New Testament apocalypse, Revelation, examining a variety of interpretations of the book.
It explains the purpose and structure of the book and discusses and applies its major themes from a historical,
expositional, and theological perspective for today’s church and culture. Winter."
BU 152,Introduction to Business and Leadership,3,"This introductory course covers all major aspects of business and provides a foundation for future courses in the
Business Leadership program. The course also includes theories of leadership and the Christ-centered leadership
model, an introduction to communication styles and skills essential to succeed in leadership roles within a business
and/or nonprofit ministry. Fall."
