code,title,credit,description
121,HISTORY OF GRAPHIC DESIGN AND COMMERCIAL IMAGE-MAKING,3,"This course provides a broad introduction to the history of graphic design from the dawn of
writing until today, including the development of handwriting, typefaces, and books; Arts &
Crafts and the private press; posters, printing history, history of advertising; the Bauhaus; digital
design and typography. In addition, this course examines the changes in styles and technology
within the field and considers the relationships between the meaning/value of design and the
cultural, political, and social contexts. C-4AR."
131,BASIC DESIGN,3,"Introductory experiments and practice in various media with emphasis on understanding the
principles of composition, color theory and mechanical perspective. Lab fee required. LA-TCE."
201,ART AND LIFE,3,"A course emphasizing the role of the artist in society through an introductory study of materials,
processes and the history of art in its broadest sense. Progression from those areas with which
the contemporary student is already acquainted (advertising, design and architecture) to a
survey of the fine arts up to the present day. C-4AR. LA-EAR."
205,ELEMENTARY ART EDUCATION TECHNIQUES,2,"A course to develop skills in handling various media for use in the elementary and junior
high/middle schools. It combines a study of the art curriculum at these levels with a study of the
general elementary curriculum and how the two are interrelated. Lab fee required."
210,PAINTING I,3,"An introduction to painting. Students learn techniques for rendering objects, starting with still life,
followed by a range of subject matter. Final projects focus on subjects developed through a
structured, creative process. LA-TCE."
212,TORCHWORKING GLASS,3,"Students will learn the art of torchworking, melting and shaping rods of glass (also known as
lampworking). The course begins with standard techniques and progresses to completing glass
jewelry, marbles, and small sculptures. Lab fee required. Grading is P/NP. LA-TCE."
213,FIGURE DRAWING,3,"This course introduces students to drawing portraits and the human body. Class time is
primarily devoted to observational drawing of live models with emphasis on accurate form and
proportions, using a variety of media and techniques. LA-TCE."
216,ELEMENTARY ARTS AND CRAFTS,3,"A companion course to ART 205 with emphasis placed on the construction and application of
various craft media to the elementary and junior high/middle schools. There is further study of
the art curriculum and its relationship to the total curriculum of the elementary and junior
high/middle schools. Lab fee required."
221,DIGITAL PHOTOGRAPHY,3,"An introduction to the principles, vocabulary and techniques of photography. Students will learn
to use the functions of their cameras and explore a range of digital editing, from subtle
improvements to major alterations. Open to all majors, no photography experience needed. A
personal digital camera is required. LA-TCE."
225,FABRIC DECORATION,3,"A study of surface design on fabrics, using dyes and inks. The student will explore discharge, tie
dye, batik and silk screen methods of application of design principles to the fabric surface.
Various finishing techniques will also be explored. Generally offered in January. Lab fee
required."
230,INTRODUCTION TO VISUAL ART,3,"An overview of artistic media, genres, and stylistic periods of western art, beginning with pre-
renaissance icons through contemporary art. Students will identify definitive characteristics of
examples from each period and use those characteristics to guide classification and analysis of
other art. Lab fee required. C-4AR."
241,CERAMICS,3,"Practice in wheel throwing, sculpture, various methods of hand building and glaze formation.
Lab fee required. Prerequisite: consent of instructor. LA-TCE."
246,HISTORY OF MODERN AND CONTEMPORARY ART,3,"History of art from the 1800s to the present, including both European and American movements
and the impact of photography. C-4AR. LA-EAR."
251,ART IN CONTEXT,3,"This intensive course introduces students to the art of a specific region within its geographic,
historical and social context. This course is designed as an off-campus travel offering. May be
repeated to different locations. January. C-4AR."
253,WOMEN IN THE ARTS,3,"This course offers an introduction to women's important and exciting participation and
representation in the arts (visual art, music and literature) from a range of cultures and periods
and in various media and forms. In addition to studying the creative works of women, our
investigations will also address the ways gender identity is constructed in the arts, the
conditions under which women have struggled and the ideologies and institutions that have and
continue to shape women's relationships to the arts. C-4AR. LA-EAR."
261,GRAPHIC DESIGN CONCEPTS AND VECTORS,3,"An introduction to the broad field of graphic design. This course will include visual problem-
solving, logo development, and layouts using industry-standard software, such as Adobe
products, and will culminate in client-based projects. No Prerequisite. Lab fee required. LA-TCE."
263,GRAPHIC DESIGN LAYOUT AND TYPOGRAPHY,3,"With emphasis on typography, layout, and design for published media, students explore various
methods, together with current software applications, investigating the relationship between text
and image, as well as the impact of typography on design. Students will analyze a variety of
published materials and complete a series of client-based graphic design projects. No
Prerequisite. Lab fee required."
271,THREE-DIMENSIONAL CONSTRUCTION,3,"Problems in three-dimensional design, using paper, metal, wood, plaster and clay. Lab fee
required. LA-TCE."
303,SCULPTURE,3,"A basic course in sculpture in various media. Lab fee required. Prerequisites: ART 131, 271."
310,PAINTING II,3,"Students design a series of paintings in various media.  Emphasis is placed on organized
process, implementation of the student-designed projects, and quality of the final
pieces. Prerequisites: ART 131, 210."
313,FIGURE DRAWING II,3,"Further exploration of art based on drawing from live models.  Emphasis placed on organized
process, implementation of the student-designed projects, and quality of the final pieces.
Prerequisite: ART 131, 213."
35,315 CRAFTS,3,"Designing for and working with various craft media and processes. Specifically, proficiency is
developed in areas of printmaking, fibers (surface design and textile construction), and
ceramics. Lab fee required."
325,ADVANCED FABRIC DECORATION STUDIO,3,"Students design a series of artworks using various surface design techniques. Emphasis is
placed on organized process, implementation of the student-designed projects, and quality of
the final works. Studio fee required. Prerequisite: ART 225."
336,OUTDOOR SKETCHING AND PAINTING,3,"Drawing and painting of outdoor subjects with major emphasis on watercolor technique.
Prerequisites: ART 131, 210."
341,ADVANCED CERAMICS STUDIO,3,"Further exploration of Ceramics studio work. Emphasis placed on organized process,
implementation of the student-designed projects, and quality of the final pieces. Prerequisite:"
342,HISTORY OF ANCIENT AND MEDIEVAL ART,3,"The study of art from pre-history and ancient times through the 1200s. Spring, alternate years.
C-4AR."
344,"HISTORY OF RENAISSANCE AND BAROQUE ART- 3 hours
History of art from the 1300s through the 1700s, including the proto-Renaissance through
Rococo. Fall, alternate years. C-4AR.
348 HISTORY OF WORLD ART",3,"The study of art from specific regions of the world, with emphasis on art from non-Western
origins, including the art of China, Japan, India and areas of Africa. This course is both history
and project based. Course requirements include a practical component, whereby students are
responsible for making art related to a specific region of study. Fall, alternate years. C-3GC."
415,ADVANCED CRAFT STUDIO,3,"Students design a series of artworks in various craft media. Emphasis is placed on organized
process, implementation of the student-designed projects, and quality of the final works. Studio
fee required. Prerequisite: ART 315."
475,INTERNSHIP,1-12,"Students will work with professionals in institutions or occupations related to their educational
goals.  They might act as research assistants, helpers in photo labs, catalogers, text-panel
writers or packers/unpackers for art exhibits. This experience links classroom instruction to
actual career responsibilities. The student is supervised by a professional employed by the
specific agency. May be repeated for a maximum of twelve hours of credit. Prerequisite:
approval of the department chair."
499,SENIOR PROJECT PREPARATION,3,"This course is designed to be an elective, preparatory course to aid in successful (remedial)
completion of the Senior Comprehensive Experience (SCE) requirement for the major. Arranged
as a tutorial, the curriculum focuses on integrating professional practices and synthesis within
the major, explicitly developing and honing professional skills, competencies, and broadening"
36,"perspectives. The course is aimed at students who struggle to meet the requirements for the
SCE. Prerequisite: Junior/Senior standing and permission of department chair. Tutorial fees
apply.
380 or 480 SPECIAL PROBLEMS",1-4,"A student who has demonstrated ability to work independently may propose a course and
pursue it with a qualified and willing professor. The department chair and college dean also
must approve. A set of guidelines is available at the Office of the Registrar."
385 or 485,SEMINAR,1-4,"An in-depth consideration of a significant scholarly problem or issue. Students pursue a
supervised, independent inquiry on an aspect of the topic and exchange results through reports
and discussions."
101,GENERAL BIOLOGY,3,"An introduction to the principles of biology for the non-major. Topics may include cell biology,
evolution, anatomy and physiology of major organ systems, human biology, heredity and
ecology. May not be used for credit in the biology major. C-4NB."
102,HUMAN BIOLOGY – STAGES OF LIFE,3,"An introduction to the basic principles related to human life history, from fertilization through
death. These will serve as the vehicle for considering how scientific methodology illuminates
issues in both the personal and public arenas. Both personal decisions and public policy issues
are impacted by our understanding of underlying biological/scientific principles. Topics such as
the mechanisms of fertilization, development, homeostatic system integration, systemic
physiology of selected systems (e.g. cardiovascular, nervous, endocrine, reproductive) and the
continued changes associated with aging will be addressed. May not be used for credit in the
biology major. C-4NB."
104,THE SCIENCE OF HUMAN HEALTH,3,"An introduction to the basic scientific principles related to the human body, with a focus on
several physiological systems. The basic foundations of principles of physics and chemistry will
be discussed specifically in how they help us understand the normal biological functions of
these physiologies. In addition, pathologies of these systems will be discussed from a variety of"
38,"perspectives including current and proposed treatments. These will serve as the vehicle for
considering how scientific methodology illuminates issues in both the personal and public
arenas. Statistical analysis of effectiveness of treatments will also be included. C-4NB. LA-ENS.
106 PRINCIPLES OF BIOLOGY I",3,"An examination of the nature of science and scientific thinking through an introduction to living
organisms and their relationship to the environment. Biostatistics, biodiversity and ecological
processes will be covered. C-4NB. Fall."
106L,PRINCIPLES OF BIOLOGY I LAB,1,"An examination of the nature of science and scientific thinking through an introduction to living
organisms and their relationship to the environment. Biostatistics, biodiversity and ecological
processes will be covered. Prerequisite: Completion of or concurrent enrollment in BIOL 106.
Fall."
108,PRINCIPLES OF BIOLOGY II,3,"Integrating principles of biology, stressing the common responses of life to the problems of
existence. Major topics include cellular organization of organisms, genetics, evolution and
organismic processes that maintain life. Examples drawn primarily from vertebrates and
vascular plants. The associated laboratory (BIOL 108L) involves animal dissection. C-4NB.
Spring."
108L,PRINCIPLES OF BIOLOGY II LAB,1,"Laboratory experience in microscopy, Mendelian genetics, population genetics and anatomy
and physiology of selected animals and plants. Data interpretation and scientific writing
(laboratory reports and laboratory notebooks) will be emphasized. Prerequisite: Completion of
or concurrent enrollment in BIOL 108. Spring."
202,FUNDAMENTALS OF HUMAN ANATOMY,3,"A regional approach to the study of human structure. Emphasis is on the basic structural
organization of the human body, underlying anatomical principles and the anatomical details
appropriate for allied health students. Cannot be taken for credit within the biology major.
Spring."
202L,FUNDAMENTALS OF HUMAN ANATOMY LAB,1,"Laboratory course to complement BIOL 202. Laboratory work in identifying anatomical
structures in humans. Emphasis on musculoskeletal, circulatory and nervous systems.
Prerequisite: Completion of or concurrent enrollment in BIOL 202. Spring."
204,FUNDAMENTALS OF HUMAN PHYSIOLOGY,3,"An introduction to the basic principles of human physiology. Emphasis is on the basic functional
mechanisms operating at the cellular, organ and system levels as well as the integrative control
process that regulate each system. Cannot be taken for credit within the major following BIOL"
204L,FUNDAMENTALS OF HUMAN PHYSIOLOGY LAB,1,"Laboratory work supplements the investigation of the systems covered in BIOL 204.
Prerequisite: Completion of or concurrent enrollment in BIOL 204. Fall."
39,214 FIELD ECOLOGY,3,"A field and laboratory-oriented introduction to ecological principles and environmental issues,
including an extended off-campus field trip. C-4NB."
219,MICROBIOLOGY FOR HEALTH SCIENCES,3,"Understanding the taxonomy, morphology, and physiology of microorganisms and the
interaction between microorganisms and humans. Special emphasis on the causation and
spread of diseases. Prerequisites: BIOL 106/106L and BIOL 108/108L; or BIOL 202/202L and"
219L,MICROBIOLOGY FOR HEALTH SCIENCES LAB,1,"Laboratory experiences in growing, controlling, and identifying bacteria with mastery in
microscopy and aseptic techniques. Prerequisite: Completion of or concurrent enrollment in"
225,CONSERVATION BIOLOGY,2,"Definitions and origin of biodiversity, threats to its maintenance, value of preserving variety,
ecological and genetic principles relating to preservation and practical strategies for
preservation. Spring, alternate years."
225L,CONSERVATION BIOLOGY LAB,1,"Data collection and hypothesis testing in conservation biology. Prerequisite: Completion of or
concurrent enrollment in BIOL 225. Spring."
227,ORNITHOLOGY,3,"This course offers an overview and introduction to the evolution, morphology, physiology and
identification of birds (Class Aves). Class will include fieldwork."
229,INTRODUCTION TO MOLECULAR BIOLOGY,3,"Introduction to the major classes of biological molecules. Structures and functions of
carbohydrates, lipids, proteins and nucleic acids will be covered in addition to examples of cell
structures, enzymes and metabolic pathways. Prerequisites: One year of biology and one year
of chemistry. Fall and Spring."
229L,INTRODUCTION TO MOLECULAR BIOLOGY LAB,1,"Focus is on the isolation and measurement of carbohydrates, lipids, proteins and nucleic acids.
Experience in thin layer chromatography, spectrophotometry, electrophoresis and light
microscopy. Prerequisite: Completion of or concurrent enrollment in BIOL 229. Fall and Spring."
234,INTRODUCTION TO HISTOLOGY,3,"Cellular components of tissues from vertebrate animals. Emphasis is placed on the appearance
of primary tissues and the major organ systems. Tissue microanatomy will be examined
stressing function as well as structure. Prerequisites: BIOL 106, 106L, 108, 108L. January."
234L,INTRODUCTION TO HISTOLOGY LAB,1,"Laboratory experience in the identification and description of the microanatomy of the primary
tissues and major organ systems of vertebrates. Prerequisite: Completion of or concurrent
enrollment in BIOL 234. Prerequisites: BIOL 106, 106L, 108, 108L."
40,241 VASCULAR PLANT SYSTEMATICS,3,"Evolution and classification of ferns, fern allies and seed plants; characteristics of major plant
families; plant geography. Prerequisites: BIOL 106, 106L, 108, 108L. Fall, alternate years."
241L,VASCULAR PLANT SYSTEMATICS LAB,1,"Floristic study of a local natural area, plant identification techniques and characteristics of
important plant families. Prerequisite: Completion of or concurrent enrollment in BIOL 241. Fall,
alternate years."
243,BOTANY,2,"Biology of algae, fungi, bryophytes and vascular plants. Life cycles, ecology and interactions
with humans and the evolution of major groups. Prerequisites: BIOL 106, 106L, 108, 108L.
Spring, alternate years."
243L,BOTANY LAB,1,"Analysis of classification, morphology, life cycles and ecology of selected algal, plant and fungal
taxa. Prerequisite: Completion of or concurrent enrollment in BIOL 243. Spring, alternate years."
245,PLANT SCIENCES,3,"The biology of plants and how plants interact with the environment. Particular emphasis on
human uses including plant products, agronomy, forestry, and horticulture. Prerequisite(s): BIOL"
245L,PLANT SCIENCES LAB,1,"Techniques in studying plants, their cultivation and use. Prerequisite: Completion of or
concurrent enrollment in BIOL 245."
252,EVOLUTION,3,"Mechanisms and consequences of natural selection, genetic drift, mutation, adaptation and
speciation. Computation of heritability, relative fitness and Hardy-Weinberg equilibrium.
Macroevolution and interpretation of phylogenies and DNA sequence evolution. Discussion and
analysis of classical and contemporary primary literature relating to evolutionary theory.
Prerequisites: BIOL 106/L, BIOL 108/L. Spring, alternate years."
260,GENETICS,3,"This course will explore the nature of genetic material, inheritance patterns, gene expression
and regulation, and the methods and tools used in the field. Prerequisite: BIOL 106, 106L, 108,"
275,PRACTICUM IN BIOLOGY,1-4,"Observation of and participation in the activities of a professional in biology or an applied field
that makes significant use of biological principles. Examples of appropriate mentors include, but
are not limited to, genetic counselors, research scientists and industrial scientists. May be
repeated once for credit. Prerequisite: Appropriate course work in biology and related fields."
312,MARINE BIOLOGY,3,"The ocean as an environment, a survey of marine communities and adaptive strategies of
organisms that live there. Emphasis on the biology, ecology and life histories of marine
organisms. Prerequisites: BIOL 106 and 108. Spring, alternate years."
313,MICROBIOLOGY,3,"From the discovery of microbes to the current research driving the field forward, students will
examine the role microbes play in shaping this planet. Identification of major microbial groups,
understanding basic principles of microbiology and the relationship between microbes and the
environment and their hosts will be explored. Prerequisite: BIOL 229 or BIOL 260."
313L,MICROBIOLOGY LAB,1,"Laboratory experiences in identification, classification, and isolation of bacteria and mold from
known cultures and environmental unknowns. Students will evaluate the effectiveness of
environmental conditions and chemical compounds on controlling microbial growth. Mastery will
be achieved in aseptic techniques and microscopic examination. Prerequisites: BIOL 229/229L
or Genetics 260, and completion of or concurrent enrollment in BIOL 313."
315,ECOLOGY,3,"Relationships of individual organisms to the environment; structure and dynamics of single-
species populations; interactions between and among populations; and the structure, dynamics
and function of biotic communities. Prerequisites: BIOL 106, 106L, 108, 108L. Fall, alternate
years."
315L,ECOLOGY LAB,1,"Collection, analysis and presentation of ecological data. Prerequisite: Completion of or
concurrent enrollment in BIOL 315. Fall, alternate years."
322,PLANT PHYSIOLOGY,3,"Fundamental principles of physiology as related to higher plants. Includes vascular plant
structure, water relations, soil and mineral nutrition, metabolism with emphasis on
photosynthesis, growth, regulation and development. Prerequisites: BIOL 229, 229L."
322L,PLANT PHYSIOLOGY LAB,1,"Laboratory and field study of water relations, photosynthesis, growth and other plant processes.
Prerequisite: Completion of or concurrent enrollment in BIOL 322."
331,INVERTEBRATE ZOOLOGY,3,"An introduction to major invertebrate phyla of the animal kingdom. Morphological and taxonomic
characteristics, functional and evolutionary relationships, natural history, and ecological
relationships and life cycles of representative types will be discussed. Prerequisites: BIOL 106,"
331L,INVERTEBRATE ZOOLOGY LAB,1,"A survey of major invertebrate phyla with dissections. Some outside collections will be made. A
detailed laboratory notebook is required. Prerequisite: Completion of or concurrent enrollment in"
BIOL 331,"Fall, alternate years.
332 DNA SCIENCE",3,"A laboratory course that will introduce the student to DNA and how it can be analyzed and
manipulated in order to obtain a novel gene sequence from an organism. Topics will include
DNA extraction, polymerase chain reaction, restriction digestion, bacterial transformation,
plasmid purification and analysis, gene sequencing and bioinformatics. Laboratories will
emphasize the use of appropriate controls, troubleshooting and how the nature of science is
reflected during the execution of a novel experiment. A mandatory lab fee will be charged.
Prerequisite: BIOL 229 and 229L. Fall."
42,350 ANIMAL BEHAVIOR,3,"Mechanisms, development, ecology and adaptive significance of animal communication, social
behavior, mate selection, reproduction and parental investment. Students will develop, perform
and present a research project. Prerequisite: BIOL 106, 106L, 108, 108L. January."
