code,title,credit,description
AEC 105,Student-Athlete Academic Support Seminar,1,"This course is designed to prepare student-athletes for academic success at
Taylor University.  Information about essential skills for academic achievement
will be shared through lectures, small group discussion, homework assignments,
and guest speakers.  This seminar is required to earn credit in KIN 200Z Athletic
Participation."
AEC 140,Academic Reading,1,"An exploration and application of reading strategies to help students engage
academic reading for more effective reading rate, comprehension and retention.
The course will help students establish appropriate reading skills for academic
success in college.  Students taking this course to meet the reading proficiency
required by the university must pass the reading proficiency test in order to pass this
course."
AEC 180,Applied Learning Techniques—Verbal,1,"Emphasizes techniques for the improvement of study skills, listening and note
taking, reading and comprehension.  The course meets two hours a week, with
the third hour reserved for extra assignments.  Work is completed in a lab
setting.  May be repeated one time only.  Pass/fail only."
AEC 185,Applied Learning Techniques—Math,1,"Emphasizes techniques for the improvement of math study skills, listening and
note taking and mathematics skills.  The course meets two hours a week, with a
third hour reserved for make-up or extra assignments.  May be repeated one time only.
Pass/fail only."
AEC 190,Foundations of Learning and Academic Engagement,1,"This course is specifically designed to help increase learning and academic success for
students on academic probation. Students on academic probation will meet
individually with a faculty or staff member in the Academic Enrichment Center
throughout the entire semester. Topics covered will emphasize deep learning,
academic engagement and responsibility, and study skills."
AEC 280,Applied Learning Techniques—Verbal,1,"Emphasizes techniques for the improvement of study skills, listening and note
taking, reading and comprehension.  The course meets two hours a week, with
the third hour reserved for extra assignments.  Work is completed in a lab
setting.  May be repeated one time only.  Pass/fail only."
AEC 285,Applied Learning Techniques—Math,1,"Emphasizes techniques for the improvement of math study skills, listening and note
taking and mathematics skills.  The course meets two hours a week, with a third hour
reserved for make-up or extra assignments.  May be repeated one time only.  Pass/fail only."
AEC 350,Introduction to Peer Leadership in the First-Year Seminar,1,"An introduction to the role of a peer leader within the first-year seminar.  Topics include
peer education, group facilitation, discussion leading, lesson planning and personal
leadership development.  May be repeated twice for a total of 3 credits."
AEC 351,Peer Leadership in the First-Year Seminar I,2,"This course is designed to support the beginner peer leader within the first-year seminar.
A primary focus of the course will be the study and application of small group leadership
skills related to the Foundations of the Christian Liberal Arts course as well as personal
leadership development for the student."
AEC 352,Peer Leadership in the First-Year Seminar II,2,"This course is designed to support the intermediate peer leader within the first-year
seminar.  A primary focus of the course will be the study and application of small group
leadership skills related to the Foundations of the Christian Liberal Arts course as well
as personal leadership development for the student.  Assignments will engage the second
year leader in supporting beginner peer leaders."
AEC 353,Peer Leadership in the First-Year Seminar III,2,"This course is designed to support the advanced peer leader within the first-year
seminar.  A primary focus of the course will be the study and application of small group
leadership skills related to the Foundations of the Christian Liberal Arts course as well
as personal leadership development for the student.  Assignments will engage the third
year leader in supporting beginner and intermediate peer leaders."
AEC 410,Speed Reading,1,"Emphasis on speed reading techniques and effective comprehension.  Meets two hours a week.
Prerequisite: 13th grade-level reading; not open to freshmen.  Pass/fail only."
AEC 440,Advanced Test Preparation,1,"Individualized instruction and review of both quantitative and verbal materials in
preparation for passing exams such as the GRE, GMAT, LSAT, and MCAT.  Meets twice
a week for seven weeks.  Pass/fail only."
ESL 100,ESL Orientation,1,"Taken during a student’s first semester in the ESL Program, ESL Orientation
provides instruction and a discussion space on academic, cultural, and spiritual
issues facing ESL students."
ESL 101,English Grammar,2,"This course integrates classroom grammar instruction with meaningful,
individualized grammar practice in an independent lab setting."
ESL 102,TOEFL Preparation,2,"This course provides students with the skills and strategies needed to succeed on
the Test of English as a Foreign Language (TOEFL) through test simulations,
vocabulary building, and four-skill instruction and practice."
ESL 103,Class Audit,3,"This course, to be taken in the semester immediately preceding admittance to a
degree-seeking Taylor University program, gives students extended exposure to a
Taylor University class of their choosing. Students will learn the content of the
course as well as gain insight into the linguistic and cultural demands of an American
university."
ESL 104,Advanced Academic Vocabulary,2,"For English students who have attained their desired level of English proficiency,
but who are planning to enter graduate or professional schools where the
curriculum will be taught in English, this course provides a supplemental vocabulary
pertaining to activities and subjects commonly encountered in these programs (e.g.,
research terminology)."
ESL 105,American English Pronunciation,2,"Non-native English speakers typically have particular sounds that are troublesome
depending on their native language.  This course provides instruction in clearly and
correctly pronouncing these sounds that are important to communicating
effectively in English."
ESL 106,American Pop Culture,3,"This course is designed to cause students to reflect on their home culture while
learning through discussion, lectures, and experience key aspects of American pop
culture."
ESL 107,Academic Listening Strategies,2,"An intensive academic listening tutorial that prepares advanced level English
language learners for American undergraduate-level lectures and classroom
interactions through authentic listening texts."
ESL 108,Academic Reading Strategies,2,"An intensive academic reading tutorial that prepares advanced level students for
college undergraduate-level reading requirements through attention to strategies
for reading and using authentic texts."
