code,title,credit,description
ACES 100,Achieving Career and Education Success,3,"This course presents the skills needed for university success and initiates students to career planning and development. Students evaluate their abilities and interests in order to develop career goals and align these goals with an appropriate course of study. Through a career investigation project, students are introduced to research techniques. Students also improve on academic skills necessary to successfully complete university work, such as critical thinking, study techniques, and test taking strategies. In addition, students are introduced to important dynamics of interpersonal communication and conflict resolution. The course also orients students to the University, to the Davenport University Excellence System, and to other elements of the Davenport curriculum."
ACCT 421,EDP Computer Auditing,3,"This course is designed to cover the techniques of computer auditing. The course provides the student with an in-depth view of computer auditing activities, computer information system control, design and implementation of audit tests, computer-aided audit tools and techniques, and electronic commerce systems."
ACCT 495,Accounting Issues and Research,4,"This course is a summative capstone for the accounting program. Students will utilize and build upon their previous accounting and business knowledge. Current accounting issues and topics will be identified and discussed. Students will identify current accounting issues related to their particular interest and demonstrate both comprehensive accounting knowledge and integration of writing competencies by conducting research, assessing sources, writing a research paper, and presenting the results."
ACCT 461,CMA Prep Financial Planning/Performance Control,3,"Introduction to CMA Credential and CMA Learning System; Section A: Planning, Budgeting and Forecasting; Section B: Performance Measurement; Section C: Cost Management; Section D: Internal Controls; Section E: Professional EthicsThis course is primarily focused on preparing students to pass Part I of the CMA exam. This course is designed as a continuing study of cost management and cost control techniques. Included in the course is the study of management accounting planning and control techniques and decision-making and performance evaluation techniques. Such techniques include relevant costing, the budget process, capital budgeting, inventory and production management, and organizational performance evaluation."
ASLA 121,American Sign Language II,3,". The course will not prepare students to become interpreters but is designed to advance language skills and further promote understanding of deaf culture. This course is particularly useful for students pursuing careers such as allied health, nursing, medical management, or other healthcare related fields as well as paralegal studies where clients may be deaf. The class is designed to allow students to complement their degrees with an ASL experience."
ASLA 111,American Sign Language I,3,"American Sign Language (ASL) provides language training and cultural enrichment for people who wish to learn ASL and the uniqueness of deaf culture. This class will not prepare students to become interpreters but is designed to introduce students to the language and culture. This class is particularly useful for students pursuing careers such as allied health, nursing, medical management, or other healthcare related fields as well as paralegal studies where clients may be deaf. The class is designed to allow students to complement their degrees with an ASL experience."
ACCT 462,CMA Prep Financial Decision Making,3,"Introduction to CMA Credential and CMA Learning System; Section A: Financial Statement Analysis; Section B: Corporate Finance; Section C: Decision Analysis and Risk Management; Section D: Investment Decisions; Section E; Professional Ethics. This course is designed to enhance learning from earlier courses with a focus on financial statement analysis. The student is challenged to analyze financial statements with the ability to construct and communicate strategic decisions. Additionally they have to demonstrate an understanding of risk management throughout this process. Lastly, the students are taught to use this ability to ultimately make investment decisions."
ACCT 490,Accounting BBA Internship,3,"This bachelor-level internship is the integration of previous classroom instruction with new learning acquired through on-the-job work experience. The experience should be related as closely as possible to the student’s major field and individual interest. 150 hours of career-related work time shall be required for the 3 credit course pursued. Internship hours will be scheduled in partnership between the student and the site and reported via weekly reports filed by the student in the academic course. Students will be supported to identify site possibilities; however, responsibility for selection by the internship employer rests with the student. The internship may be either paid or unpaid. An appropriate faculty member and the internship site supervisor will evaluate the student’s performance. A criminal background check and drug screen may be required by the Internship site."
BIOL 100,Introduction to Biology,3,"This is a foundational course emphasizing the unifying themes of biology. It explores various aspects of living systems, including biological chemistry, cell biology, genetics, evolution, diversity, structure and function relationships, energy transformations, plant and animal systems, ecology, biodiversity, and conservation. The course introduces the scientific method and scientific reasoning."
ACCT 420,Governmental and Not-for-Profit Accounting,3,"This course is a study of accounting and reporting practices used in state and local governmental units as required by the Governmental Accounting Standards Board and the accounting and reporting practices used in not-for-profit entities as required by the Financial Accounting Standards Board. The unique accounting requirements of college, university, and hospital accounting are introduced in the course."
