code,title,credit,description
ACE 101W,Career Professional Development I, 2,"Introduces planning and goal setting. Provides opportunities for team building. Practices skills essential in the workplace. Introduces employment portfolio to manage academic and career information. Evaluates the student in a program-related, supervised worksite."
ACC 211,Principles of Financial Accounting, 4,"Introduces basic concepts of accounting principles. Includes the accounting cycle for service and merchandising businesses, internal control, accounting for current assets, long-term assets, current liabilities, and owner's equity. Recommended for transfer students."
ACC 216W,Volunteer Income Tax Assistance (VITA), 2,"Provides instruction in preparation of federal, state, and local individual income tax returns and uses practical experience in the preparation of these returns. Provides service to qualifying citizens within the tri-county district by preparing tax forms and filing electronically. Requires 30 hours of service-learning."
ACC 229,Practical Intermediate Accounting, 2,"Presents accounting for assets, liabilities, and equity through practical application. Focuses on supporting schedules and reconciliation of the items in the financial statements. Opportunities are provided to practice quality internal control procedures."
ACC 228W,Intermediate Accounting II, 4,"Presents accounting for current liabilities, stockholders' equity, EPS, income taxes, pensions, leases, long-term liabilities, and the statement of cash flows. Designed for transfer."
ACC 214,Computerized Accounting, 3,"Introduces microcomputer applications in general ledger, accounts receivable, accounts payable, payroll, and inventory/invoicing. Develops electronic spreadsheet applications using appropriate software. Outside laboratory assignments are required."
ACC 212,Principles of Managerial Accounting, 4,"Includes a study of corporate basic theory and methodology, statement of cash flows, accounting for manufacturing operations, and accounting data as used in performance measurement, decision making, planning, and control."
ACC 121,Accounting for Managers, 3,"Develops ability to use accounting information in planning, evaluating and decision-making as a business manager. This course is appropriate for students in business, trades, and dual-degree programs. May be substituted for"
ACC 227W,Intermediate Accounting I, 4,"Includes a study of accounting processes, theory, and principles. Includes financial statement presentation, revenue recognition, evaluation of current assets, property plant and equipment, intangible assets, and time value of money. Designed for transfer."
ACC 110,Introduction to QuickBooks, 1,"Introduces the use of QuickBooks to assist in the basic accounting function in a small business or office environment. This course is appropriate for students desiring these skills and/or in office systems, small business management, trades or medical programs."
ACC 215W,Federal Tax Accounting, 3,Studies the Federal income tax law. Emphasizes core income tax principles and relates them to individual and business entity applications. Includes preparation of individual and business entity tax returns.
ACC 111,Introductory Accounting, 4,"Practices basic accounting procedures including journalizing, posting, preparation of financial statements, special journals, subsidiary ledgers, petty cash fund, bank reconciliation, and payroll accounting. Not recommended if credit has already been earned in"
ACE 290-299,Special Projects in Academic Career Experience, N/A,
ACE 280W,Internship: Technology Management, 1,"(1) Majoring in construction management, industrial supervision, manufacturing industrial technology, or lean manufacturing, (2) employed in a major-related placement and (3) completed the program application process in the Office of Academic Career Experience (Cooperative Education) and Experiential Learning."
ACE 285W,Internship: Design Technology, 1,"(1) Majoring in architectural technology, CAD, residential construction, RHA, CNC technology, mechanical engineering technology, machine tool, manufacturing/welding engineering technology or similar program of study, (2) employed in a major-related placement, and (3) completed the program application process in the Office of Academic Career Experience (Cooperative Education) and Experiential Learning."
