code,title,credit,description
ACCT 200,Survey of Accounting,3,"Principles of financial and managerial accounting for students in technology, social sciences, health, and other applied areas. Emphasis on role of accounting in organizational decisions."
ACE 495,Critical Thinking,3,The aim of this course is to examine the human thinking process and to assess knowledge claims to make objective decisions on the basis of well-supported reasons and evidence.
AET 330,Survey of Motorsports,3,"With emphasis on drag racing, various forms of racing on land, on water, and in the air are explored. Topics include the evolution, current state, rules, and regulations, as well as economic and social issues of the world of motorsports."
AET 233,Engine Systems and Controls,3,"Theory and diagnosis of automotive engine control systems covering fuel delivery, ignition, and emissions. Includes use of electronic diagnostic equipment."
AET 239,Automotive Chassis,3,
AET 132,Theory of I.C. Engines,3,Theory and laboratory experiences utilizing contemporary engines.
AET 199,Honors Summer Seminar for High School Students,1-3,Open only to high school students on completion of their junior year.
AET 331,The Owner and the Auto,2,"Auto maintenance requirements, trouble signs, repair estimates, emergency repairs, legal requirements, and safety aspects."
ACE 350,Dimensions of Leadership,3,"An interdisciplinary survey of leadership self-assessment. Designed to provide students with acquiring the knowledge, attributes, skills, practices, and resources necessary to achieve their potential as effective, life-long leaders."
AET 334,Automotive Drive Trains,3,"Automotive drive train theory and operation. Includes investigation of power sources, power conversion techniques, and methods of moving, using, and storing power in automotive applications."
ACE 330,Career Advancement,3,"An advanced course in professional career conepts, with specific emphasis on identifying skills, abilities, and resources that are essential for successful career transitions."
ACCT 499,Accounting Research and Analysis,1-3,An investigation of significant topics and/or problems in accounting practice and theory.
ACCT 440,Emerging Technology in Accounting,3,"The study of the use of accounting data to identify, analyze, and solve business problems. Demonstrate the processes needed to develop, report, and analyze accounting data and business risks for business decision-making."
AHS 365,Food Service Management System Supervised Practice I,3,Introductory supervised work experience in the general management of quantity food production and food service in a healthcare or college/university setting.
AHS 391,Educational Methods,3,"Methods, procedures, aids, devices, and material sources appropriate for use by educators in applied health sciences."
AHS 360,Epidemiology,3,"Epidemiology is the study of the distribution and determinants of health events among the human population. Topics include: history of disease; epidemiologic study design, data collection, analysis, presentation, and application in community diagnosis, risk assessment, and program evaluation."
AHS 356,Water and Environmental Health,3,"An investigation of the relation between water pollutants and their effects on the environment and human populations. Emphasis will be given to the theory and practice of drinking water supply and sewage disposal in the public and private sectors, and to the principal regulations governing water-quality protection."
AHS 341,Health Sciences Research Methods,3,"An introduction to the scientific method and those research methods most applicable to Health Sciences. Includes interpreting scientific research; research design; sampling methods; and data collection, analysis, interpretation, and presentation."
AHS 335,Families in Crisis,3,This course describes contemporary crises families may face across the lifespan and related family policy issues. The course will identify family strengths and resources to promote healthy family functioning.
AHS 336,Family Relationships,3,"Examination of family relationships across the lifespan, including cultural variations, intimacy, love, romance, commitment, family formation, and parenting."
AHS 333,Quantity Food Production Supervised Practice,2,"Supervised practice in quantity food production settings. Participation in the various aspects of food service systems: production, use of equipment, service, receiving, storage. Continuous quality improvement and outcomes assessment are stressed."
AHS 332,Quantity Food Production,2,Quantity management of food service at all stages from menu planning through service.
AHS 327,School Health for the Elementary Teacher,3,"A thorough consideration of services related to the health of pupils, including health appraisal, counseling, and follow-up. Special emphasis is placed upon critical health issues affecting the health of the school aged child, i.e. AIDS, substance abuse, child abuse, eating disorders, suicide, and violence in the schools."
AHS 324,Nutrition Care Process,3,"Discussion and application of the Academy of Nutrition and Dietetics Nutrition Care Process. Case study driven application of assessment, diagnosis, development of PES statement, intervention, monitoring and evaluation of nutritional status."
AHS 320,Orientation to Dietetics,1,"Survey of roles of dietitians as members of management and health care teams in all areas of dietetics practice. Orientation to the profession of dietetics, including career options and professional organizations. Legal and ethical considerations for practicing dietitians and student dietitians in supervised practice experiences."
AHS 322,Nutrition Intervention Methodologies,3,"In-depth investigation of client-centered methods for developing individual and group nutrition education and delivering nutrition counseling. Includes a focus on learning theory, communication, presentation style, the use of technology, and behavior change theory."
AHS 313,Comprehensive School Health Education,3,"The field of health science instruction as a subject of public school curricula. Includes essential preparation of the health science educator, and prepares the student to plan and implement the Comprehensive School Health Education Program."
AHS 309,Applied Theory in HDFS,3,"This course integrates multiple theories, core concepts, integrative elements, and cross-cutting themes in Human Development and Family Studies. Assignments require students to apply course content to cases and scenarios."
AHS 305,Society and Aging,3,"This course provides an introduction to the social aspects of aging and the life course through multiple ways of knowing. Students will differentiate between the aging individual and the aging population, discuss the social implications of an aging society, and seek to understand the social influences on older adults."
ARTP 488,Professional Practices,3,"This course is designed to provide art majors with many of the career skills and techniques required in art. Through hands-on work, lectures, discussions, and reading assignments, students will learn about job searches, graduate schools, resumes, professional correspondence, artist’s statements, documentation of work, academe, grants, health hazards, professional ethics, and related topics."
