code,title,credit,description
ACC 100-400,Special Topics,1-3,A variable-content accounting course designed for a specific class level: freshman (100) through senior (400). Topic is announced in advance of registration. Offered as needed.
ART 226,Beginning Photography,3,
ART 227,Ceramics I,3,"An introductory course designed to expose students to the fundamental construction methods and processes of working with clay. In addition, this course is designed to introduce students to ceramic vocabulary as well as glazing and firing techniques. A student material fee will be charged to each student's account. Course materials fee will be applied."
ART 100-400,Special Topics,1-3,A variable-content course in art that is designed for a specific class level: freshman (100) through senior (400). Topic is announced in advance of registration. Studio fees apply
ART 223,Beginning Painting,3,"Introduction to studio painting. Investigation and experimentation with mixed and intense colors, large and small compositions. Color-value compositions with a variety of color media accepted for individual exploration. Six hours of studio per week. Studio fees apply"
ART 123,Art Appreciation,3,"Basic terms, theories, and techniques of the artist; major art movements; media in the visual arts."
ART 230,Stained Glass,3,"This introductory course is designed to provide students with an opportunity to have hands-on instruction in making stained glass art. Students will learn the basic technical skills required for the production of stained glass using various specialized tools and equipment. This course is intended for any student who has an interest in stained glass as a mode for artistic expression. It introduces students to the elements of pattern design concepts, execution in glass selection, cutting, grinding, foiling, soldering, applying patina, and polishing glass to construct a finished work using the principles of the copper foil technique. Students will also learn the techniques of mosaics and recycling of scrap glass. A strong emphasis is placed on design and originality."
ART 110HM,UE: Curves Ahead: Women Artists and the Female Form,3,"Through a women's studies lens, we will examine women as patrons, critics, and viewers of art. Visual language and art terminology will be used to examine a variety of artworks made by women from an assortment of historic, social, political, and personal contexts. The course will examine how images of women by women have functioned in the ongoing construction of identity. This course seeks to illuminate women's contributions to the visual cultures of their societies and to recognize the relevance of these contributions to today's global community."
ART 221,Drawing,3,"Freehand drawing from landscape, live models, and objects, with emphasis on training students to see, to understand, and to report through drawing. Six hours of studio per week. Studio fees apply"
ANT 337,Introduction to Archaeology,3,"This course is an introduction to the theory and methods of archaeology. This class includes an examination of the historical development of the discipline; dating techniques and methods of survey, excavation, and analysis; contemporary issues; and archaeology's contribution to the knowledge and understanding of the human past."
ANT 333,The Family in Cross-Cultural Perspective,3,"The course provides an overview of the nature of intimate relationships and family life, comparing various cultural groups within the United States and around the world. It examines issues related to the selection of romantic partners, marriage rituals, non-traditional living arrangements, the raising of children, the rules for separation, and other social issues that families face."
ANT 343,Anthropological Linguistics,3,A cross-cultural examination of language and the study of meaning. Special emphasis is placed on understanding the role of language in interpreting reality.
ANT 327,Cultural Anthropology,3,"An introduction to cultural anthropology and an application of anthropological principles, data, and concepts, combined with the cross-cultural perspective, to a disciplined examination of other cultures and U.S. culture and its social problems. The course emphasizes that knowledge gained from an understanding of other cultures can contribute to the solution of those societal problems. Also, emphasis is placed on learning to appreciate cultural diversity."
ANT 121,Introduction to Anthropology,3,"An examination of human, physical, and cultural development using evidence from archaeology, paleontology, genetics, ecology, cultural anthropology, and linguistics with emphasis on the historical, structural, and symbolic aspects of human culture."
ANT 335,Biological Anthropology,3,"An examination of human evolution and human origins with an emphasis on the principles of evolution, as well as a study of living primates to assist in interpreting evidence of the evolution of humankind. This course is designed to provide students with an understanding and appreciation of the relevance of knowledge of the origins of the biosocial practices that are considered ""human"" to their own lives."
